Millenium,2023,2022,2021,2020,2019
Fatturato,56.283,51.112,37.923,24.540,17.804
Acquisti consumati,40.450,37.570,28.153,18.475,13.647
Spese per il personale,4.736,3.763,3.059,1.568,1.246
Risultato d'esercizio,-1.613,-2.248,-2.721,-405,-247
Imposte sugli utili,0,0,0,0,0
Utile netto,-1.739,-2.296,-2.867,-613,-386
Utile netto: quota del gruppo,-1.739,-2.296,-2.867,-613,-386
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
