Millenium,2023,2022,2021,2020,2019
Fatturato,57.491,47.983,32.890,26.867,21.310
Proventi dalle attività ordinarie,57.491,47.983,32.890,26.867,21.310
Risultato operativo,8.822,6.404,4.655,3.684,4.133
Costo dell'indebitamento finanziario netto,-273,94,390,1.477,1.509
Risultato delle aziende associate al bilancio di Gruppo,2,6,2,,7
Risultato netto delle attività dismesse,,,,,
Utile netto,9.313,4.840,3.493,1.333,2.343
Utile netto: quota del gruppo,9.290,4.819,3.462,1.333,2.047
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
