Millenium,2023,2022,2021,2020,2019
Fatturato,229.567,155.331,129.663,135.977,134.971
Acquisti consumati,162.802,111.739,83.581,100.102,98.932
Spese per il personale,25.336,16.657,12.782,13.253,12.001
Risultato d'esercizio,21.214,13.639,11.329,10.527,8.981
Imposte sugli utili,5.136,3.171,3.075,2.330,2.090
Utile netto,9.787,7.822,6.122,6.046,5.003
Utile netto: quota del gruppo,9.830,7.692,6.049,5.968,5.055
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
