Millenium,2023,2022,2021,2020,2019
Fatturato,12.333,22.318,20.053,5.014,3.937
Acquisti consumati,7,87,147,8.835,
Spese per il personale,3.636,5.977,6.085,1.289,1.402
Risultato d'esercizio,-27.453,-7.439,1.498,3.024,1.733
Imposte sugli utili,3,51,642,804,582
Utile netto,-28.721,-8.457,528,2.131,1.102
Utile netto: quota del gruppo,,-8.314,528,2.131,1.102
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
