Millenium,2023,2022,2021,2020,2019
Fatturato,9.994.388,8.163.029,6.420.334,5.311.057,5.129.962
Proventi dalle attività ordinarie,9.994.388,8.163.029,6.420.334,5.311.057,5.129.962
Risultato operativo,475.072,321.216,-33.715,354.494,256.799
Costo dell'indebitamento finanziario netto,91.767,73.141,92.497,136.109,73.186
Risultato delle aziende associate al bilancio di Gruppo,,,-19.157,-112.003,-127.704
Risultato netto delle attività dismesse,-10.071,-17.972,232,0,-894
Utile netto,240.369,124.872,-278.766,80.593,-14.145
Utile netto: quota del gruppo,235.986,118.235,-304.949,84.996,-22.128
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
