Millenium,2023,2022,2021,2020,2019
Fatturato,9.573,8.115,8.263,7.984,12.481
Proventi dalle attività ordinarie,9.573,8.115,8.263,7.984,12.481
Risultato operativo,5.713,9.709,2.245,4.543,6.559
Costo dell'indebitamento finanziario netto,8.242,2.796,2.161,2.603,4.039
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,-87
Utile netto,-2.370,3.405,4.360,425,2.322
Utile netto: quota del gruppo,-2.370,3.405,4.360,425,2.322
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
