Millenium,2023,2022,2021,2020
Fatturato,62.656,58.873,46.674,33.733.308
Proventi dalle attività ordinarie,62.656,58.873,46.674,33.733.308
Risultato operativo,6.279,8.814,5.511,2.845.784
Costo dell'indebitamento finanziario netto,196,446,550,368.942
Risultato delle aziende associate al bilancio di Gruppo,,,,
Risultato netto delle attività dismesse,,,,
Utile netto,4.793,7.549,4.168,1.437.087
Utile netto: quota del gruppo,4.793,7.549,4.168,1.355.286
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Durata esercizio fiscale (mesi),12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS
