Millenium,2023,2022,2021,2020,2019
Fatturato,49.746,48.513,40.538,34.143,40.017
Acquisti consumati,12.691,12.338,12.063,7.819,8.587
Spese per il personale,15.846,15.216,14.185,12.387,13.294
Risultato d'esercizio,4.458,2.714,2.285,-1.100,1.012
Imposte sugli utili,710,618,358,-1.863,-239
Utile netto,3.006,1.962,1.591,229,203
Utile netto: quota del gruppo,3.006,1.962,1.591,229,203
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
