Millenium,2023,2022,2021,2020,2019
Fatturato,50.072,45.515,40.457,35.447,20.825
Acquisti consumati,1.835,1.641,2.073,275,
Spese per il personale,8.098,7.932,7.014,6.491,3.265
Risultato d'esercizio,12.669,12.160,11.790,8.124,5.758
Imposte sugli utili,3.323,3.503,3.325,2.070,1.516
Utile netto,8.191,8.675,8.620,6.111,4.325
Utile netto: quota del gruppo,8.191,8.675,8.620,6.111,4.325
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
