Millenium,2023,2022,2021,2020,2019
Fatturato,692.290,673.581,571.402,408.083,400.761
Proventi dalle attività ordinarie,699.648,679.806,571.402,408.083,400.761
Risultato operativo,72.736,81.001,64.858,30.111,38.198
Costo dell'indebitamento finanziario netto,-186,-192,-392,-381,-202
Risultato delle aziende associate al bilancio di Gruppo,-69,-79,-195,-425,-23
Risultato netto delle attività dismesse,,,,,
Utile netto,50.066,59.036,49.124,22.542,28.775
Utile netto: quota del gruppo,48.239,55.111,45.436,20.255,26.017
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
