Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,2.030.837,1.574.346,1.330.076,1.182.837,1.192.402
Oneri generali d'esercizio,1.114.474,1.049.541,744.964,735.000,804.974
Risultato di gestione lordo,916.363,524.805,491.900,361.433,305.487
Costo del rischio,-96.160,-70.004,-42.070,-117.447,-14.782
Risultato di gestione,820.203,454.801,449.830,243.986,290.705
Risultato delle aziende associate al bilancio di Gruppo,4.968,6.967,6.337,6.453,3.689
Risultato corrente ante imposte,825.140,475.189,466.181,252.526,296.387
Utile netto,562.118,326.135,352.593,201.729,201.310
Utile netto: quota del gruppo,562.118,326.119,352.427,201.595,201.310
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
