Millenium,2023,2022,2021,2020,2019
Fatturato,719.571,735.517,608.915,534.897,805.858
Proventi dalle attività ordinarie,719.571,735.517,608.915,534.897,805.858
Risultato operativo,15.579,4.264,-44.932,-124.520,-15.723
Costo dell'indebitamento finanziario netto,15.366,11.693,8.595,8.087,8.382
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,0,0,-2.460,,
Utile netto,-6.451,-13.021,-62.147,-128.205,-24.759
Utile netto: quota del gruppo,-6.451,-13.021,-62.147,-128.205,-24.759
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
