Millenium,2023,2022,2021,2020,2019
Fatturato,581.733,556.611,479.868,456.662,593.970
Proventi dalle attività ordinarie,594.899,570.689,494.616,491.316,623.204
Risultato operativo,41.569,20.127,-5.631,554,-36.896
Costo dell'indebitamento finanziario netto,12.739,9.412,18.028,21.708,24.238
Risultato delle aziende associate al bilancio di Gruppo,0,0,0,0,0
Risultato netto delle attività dismesse,,,,-12.841,-11.441
Utile netto,25.933,-15.177,-51.295,236.735,-77.964
Utile netto: quota del gruppo,19.107,-19.127,-52.977,241.468,-75.802
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
