Millenium,2023,2022,2021,2020,2019
Fatturato,123.263,90.407,46.525,40.440,130.241
Proventi dalle attività ordinarie,123.263,90.407,46.525,40.440,130.241
Risultato operativo,26.151,7.197,-9.765,-14.649,23.254
Costo dell'indebitamento finanziario netto,5.966,2.986,,,
Risultato delle aziende associate al bilancio di Gruppo,13,-242,76,101,32
Risultato netto delle attività dismesse,0,3.320,0,0,0
Utile netto,13.079,4.674,-4.860,-12.598,14.391
Utile netto: quota del gruppo,12.631,4.675,-5.256,-12.470,14.149
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
