Millenium,2023,2022,2021,2020,2019
Fatturato,615.823,617.075,491.204,400.028,390.356
Proventi dalle attività ordinarie,615.823,617.075,491.204,401.457,391.584
Risultato operativo,46.427,42.096,30.554,15.458,21.974
Costo dell'indebitamento finanziario netto,3.909,8.104,1.193,1.608,1.231
Risultato delle aziende associate al bilancio di Gruppo,,,,0,0
Risultato netto delle attività dismesse,,,,0,0
Utile netto,31.363,49.065,24.775,10.699,18.293
Utile netto: quota del gruppo,29.745,47.714,23.739,9.878,17.514
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
