Millenium,2023,2022,2021,2020,2019
Fatturato,6.303,6.540,5.267,3.947,4.206
Proventi dalle attività ordinarie,6.303,6.540,5.267,3.947,4.206
Risultato operativo,-3.013,-2.514,1.846,-641,819
Costo dell'indebitamento finanziario netto,0,0,119,131,79
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-3.159,-2.657,1.727,-724,505
Utile netto: quota del gruppo,-3.159,-2.657,1.727,-724,505
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
