Millenium,2023,2022,2021,2020,2019
Fatturato,287.350,199.484,144.171,110.188,132.221
Proventi dalle attività ordinarie,287.350,199.484,144.171,110.188,132.221
Risultato operativo,35.114,22.430,14.649,6.912,14.005
Costo dell'indebitamento finanziario netto,9.610,2.214,4.865,6.021,2.920
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,28.130,-5.932,11.402,8.819,7.375
Utile netto: quota del gruppo,28.007,-5.932,11.402,8.819,7.375
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
