Millenium,2023,2022,2021,2020,2019
Fatturato,59.169,52.191,45.457,37.643,46.304
Proventi dalle attività ordinarie,59.169,52.191,45.457,37.643,46.304
Risultato operativo,2.998,2.313,2.617,-332,-156
Costo dell'indebitamento finanziario netto,1.005,247,432,419,406
Risultato delle aziende associate al bilancio di Gruppo,,,,0,0
Risultato netto delle attività dismesse,,,,0,0
Utile netto,1.958,1.745,2.088,-255,1.121
Utile netto: quota del gruppo,1.958,1.745,2.088,-255,1.121
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
