Millenium,2023,2022,2021,2020,2019
Fatturato,91.565,94.199,90.992,82.932,108.635
Proventi dalle attività ordinarie,91.565,94.199,90.992,82.932,108.635
Risultato operativo,1.462,2.123,3.075,-4.529,-1.277
Costo dell'indebitamento finanziario netto,722,221,244,296,323
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,109,544,751,-6.177,-3.444
Utile netto: quota del gruppo,109,544,751,-6.177,-3.444
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
