Millenium,2023,2022,2021,2020,2019
Fatturato,103.821,50.371,44.810,1.598,2.314
Proventi dalle attività ordinarie,103.821,50.371,44.810,1.598,2.314
Risultato operativo,6.185,1.615,1.138,-1.128,-1.877
Costo dell'indebitamento finanziario netto,90,239,105,60,55
Risultato delle aziende associate al bilancio di Gruppo,492,-85,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,4.182,810,539,-1.291,-1.935
Utile netto: quota del gruppo,2.141,323,539,-1.269,-1.936
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
