Millenium,2023,2022,2021,2020,2019
Fatturato,2.240.039,2.077.964,1.604.255,1.294.363,1.368.618
Proventi dalle attività ordinarie,2.240.039,2.077.964,1.604.255,1.294.363,1.368.618
Risultato operativo,428.819,384.004,295.048,207.659,247.214
Costo dell'indebitamento finanziario netto,34.542,9.292,3.678,4.676,4.738
Risultato delle aziende associate al bilancio di Gruppo,627,235,283,101,-8
Risultato netto delle attività dismesse,,,,,
Utile netto,277.516,269.749,198.519,173.271,180.602
Utile netto: quota del gruppo,274.269,266.497,195.882,170.980,179.299
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
