Millenium,2023,2022,2021,2020,2019
Fatturato,2.260.084,2.119.126,1.948.075,1.503.258,1.732.063
Proventi dalle attività ordinarie,2.260.084,2.119.126,1.948.075,1.503.258,1.732.063
Risultato operativo,259.212,278.669,246.000,163.402,177.091
Costo dell'indebitamento finanziario netto,42.545,28.895,27.479,28.288,25.744
Risultato delle aziende associate al bilancio di Gruppo,555,309,120,-346,188
Risultato netto delle attività dismesse,0,0,-5.755,4.390,0
Utile netto,155.025,178.780,157.843,101.062,108.524
Utile netto: quota del gruppo,155.139,178.525,157.785,101.004,108.666
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
