Millenium,2023,2022,2021,2020,2019
Fatturato,1.529,1.446,3.831,2.011,3.054
Proventi dalle attività ordinarie,2.021,2.168,3.831,2.011,3.054
Risultato operativo,-329,-415,564,158,351
Costo dell'indebitamento finanziario netto,48,30,35,19,8
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-292,-405,339,75,187
Utile netto: quota del gruppo,-292,-405,339,75,187
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
