Millenium,2023,2022,2021,2020,2019
Fatturato,155.457,145.943,148.020,127.357,151.844
Proventi dalle attività ordinarie,155.457,145.943,148.020,127.357,151.844
Risultato operativo,-2.920,-5.992,1.381,-2.318,4.820
Costo dell'indebitamento finanziario netto,2.842,1.488,1.720,2.075,2.943
Risultato delle aziende associate al bilancio di Gruppo,0,0,0,0,0
Risultato netto delle attività dismesse,,,,,
Utile netto,-9.399,-9.896,3.293,-9.165,-1.158
Utile netto: quota del gruppo,-9.335,-10.203,3.105,-8.937,-1.333
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
