Millenium,2023,2022,2021,2020,2019
Fatturato,10.349,9.063,7.021,5.331,4.280
Acquisti consumati,51,429,358,389,525
Spese per il personale,5.096,4.312,3.667,3.410,2.429
Risultato d'esercizio,2.046,995,545,39,601
Imposte sugli utili,350,133,66,1,111
Utile netto,1.682,833,546,26,491
Utile netto: quota del gruppo,1.401,694,356,-97,382
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
