Millenium,2023,2022,2021,2020,2019
Fatturato,76.393,74.162,64.554,60.736,73.259
Proventi dalle attività ordinarie,76.393,74.162,64.554,64.723,80.110
Risultato operativo,5.512,26.413,-10.069,-14.840,-3.247
Costo dell'indebitamento finanziario netto,1.816,2.678,2.994,2.565,2.443
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,1.860,18.062,-12.952,-21.285,-8.122
Utile netto: quota del gruppo,1.028,17.335,-13.008,-20.302,-8.246
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
