asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EnterpriseValue,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInventories,OtherInvestments,OtherNonCurrentAssets,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RetainedEarnings,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital,WriteOff
2022-12-31,3M,EUR,,,-259071000.0,9828000.0,-1273000.0,2672000.0,,,,522604000.0,396747000.0,42182000.0,,,,,42182000.0,,,,,49889000.0,27380000.0,77269000.0,,5443000.0,,,1683000.0,,,,,,,0.0,,,29468000.0,,,2315000.0,,,0.0,,29640000.0,32000.0,346858000.0,60866000.0,407724000.0,29672000.0,500000.0,19887000.0,,,,6275000.0,,,,,,,,,,,,386000.0,11174000.0,3733000.0,,,,,,,,,,3144000.0,32000.0,,,,19751000.0,,3887000.0,35717000.0,,,120000.0,,0.0,,,21525000.0,48393000.0,,-3822000.0,,,,,,1189000.0,,,484993000.0,,,,,,,,,-4555000.0,-4555000.0,,683758.0,0.0,,69000.0
2023-03-31,3M,EUR,38251000.0,30029000.0,,,,,2068000.0,71234071.0,0.119325,,,,109690000.0,109690000.0,,,,112838000.0,,26933000.0,144182000.0,,,,198179000.0,30480000.0,13088000.0,13088000.0,,71234071.0,0.119325,8500000.0,-3991000.0,9097000.0,564623376.0,,95036000.0,109625000.0,,404864000.0,21176000.0,,4463000.0,112838000.0,,2068000.0,,,,,,,4233000.0,,197318376.0,464000.0,69000.0,,8500000.0,8500000.0,-8069000.0,16500000.0,8500000.0,-8000000.0,8431000.0,-2714000.0,-2714000.0,404864000.0,3213000.0,,,,7635000.0,9117000.0,-7984800.0,25167000.0,-3991000.0,48109000.0,71234071.0,52082000.0,14589000.0,,,91277000.0,713000.0,826000.0,,404864000.0,,,0.0,40519000.0,,-6931000.0,,26933000.0,13088000.0,253000.0,,71917829.0,-20000.0,112838000.0,3213000.0,-4800.0,1138000.0,0.24,,752016000.0,112838000.0,,113302000.0,52100000.0,638714000.0,607834000.0,440535000.0,-4217000.0,48109000.0,2268000.0,-20000.0,-20000.0,,683758.0,,-53997000.0,20000.0
2023-06-30,3M,EUR,52393000.0,50057000.0,,9257000.0,-1011000.0,0.0,,,,,407886000.0,42042000.0,59961000.0,136038000.0,,,42042000.0,130130000.0,,38774000.0,201440000.0,54923000.0,26875000.0,81798000.0,243131000.0,3255000.0,12357000.0,10087000.0,,,,17366000.0,22422000.0,34779000.0,541828473.0,0.0,95036000.0,108651000.0,51068000.0,381130000.0,45330000.0,1853000.0,5120000.0,200947000.0,,,46050000.0,,352963000.0,43942000.0,396905000.0,46050000.0,500000.0,,174523473.0,403000.0,62000.0,10856000.0,17366000.0,17366000.0,17304000.0,0.0,17366000.0,17366000.0,17304000.0,-2585000.0,-2585000.0,381130000.0,21479000.0,,11201000.0,3303000.0,7498000.0,34589000.0,17183670.807453,27196000.0,18134000.0,84104000.0,71234071.0,102685000.0,13615000.0,5120000.0,32000.0,1804000.0,725000.0,1895000.0,,381130000.0,5898000.0,76077000.0,0.0,54873000.0,1449000.0,18032000.0,,38774000.0,12357000.0,13648000.0,74305000.0,71917829.0,13000.0,130130000.0,21479000.0,7670.807453,728000.0,0.040373,1025000.0,783596000.0,174072000.0,478703000.0,130533000.0,65970000.0,653063000.0,583960000.0,409932000.0,,84104000.0,2480000.0,190000.0,190000.0,,683758.0,0.0,-41691000.0,29000.0
2023-09-30,3M,EUR,36685000.0,46458000.0,,,,,1569000.0,71491819.0,-0.027796,,,,120569000.0,120569000.0,,,,128036000.0,,23279000.0,176016000.0,,,,225379000.0,,12883000.0,12883000.0,,71491819.0,-0.027796,-1980000.0,-1251000.0,11632000.0,484848205.0,,95036000.0,107496000.0,,371489000.0,22327000.0,,8989000.0,128036000.0,,1569000.0,,,,,,,,,142183205.0,359000.0,44000.0,,-1980000.0,-1980000.0,-2024000.0,0.0,-1980000.0,-1980000.0,-2024000.0,-2270000.0,-2270000.0,371489000.0,20540000.0,,,4015000.0,7403000.0,11632000.0,-1980000.0,23578000.0,-1251000.0,45606000.0,71491819.0,112431000.0,12460000.0,,,90670000.0,769000.0,839000.0,,371489000.0,,,0.0,38026000.0,,-596000.0,,23279000.0,12883000.0,169000.0,,71491819.0,,128036000.0,20540000.0,0.0,1428000.0,0.24,,747240000.0,128036000.0,,128395000.0,46857000.0,618845000.0,571224000.0,393466000.0,1674000.0,45606000.0,1341000.0,,,,,,-49363000.0,
2023-12-31,3M,EUR,67022000.0,34882000.0,-304708000.0,9347000.0,,0.0,,,,561016000.0,395228000.0,41987000.0,99831000.0,136172000.0,79764000.0,20067000.0,41987000.0,147896000.0,5095000.0,50325000.0,181653000.0,54931000.0,27500000.0,82431000.0,223939000.0,4788000.0,13171000.0,8230000.0,0.0,,,21582000.0,37509000.0,50680000.0,539372129.0,,95036000.0,106262000.0,34882000.0,678177000.0,55685000.0,986000.0,2258000.0,206026000.0,,,50591000.0,32000.0,340297000.0,30630000.0,370927000.0,50623000.0,,20482000.0,196707129.0,535000.0,-176000.0,,21582000.0,21582000.0,21758000.0,0.0,21582000.0,21582000.0,21758000.0,-3364000.0,-3364000.0,373469000.0,41634000.0,,10305000.0,3396000.0,7453000.0,50680000.0,21582000.0,31517000.0,24168000.0,106010000.0,71141819.0,,11226000.0,,,355000.0,2279000.0,1190000.0,24493000.0,91584000.0,7228000.0,36341000.0,0.0,95904000.0,127000.0,25500000.0,0.0,50325000.0,13171000.0,,93861000.0,71917829.0,,147896000.0,41634000.0,0.0,3742000.0,0.146745,,754530000.0,178526000.0,453358000.0,148431000.0,81842000.0,606099000.0,572205000.0,382160000.0,,106010000.0,4389000.0,,,384000.0,776010.0,,-42286000.0,
2024-03-31,3M,EUR,48959000.0,36799000.0,,,,,854000.0,71141819.0,0.107897,,,,106663000.0,106663000.0,,,,155557000.0,,33778000.0,146462000.0,,,,181963000.0,29761000.0,12940000.0,12940000.0,,71141819.0,0.107897,7676000.0,12407000.0,25347000.0,615493875.0,,95036000.0,106169000.0,,364095000.0,38574000.0,,3000000.0,155557000.0,,854000.0,,,,,,,3921000.0,,272828875.0,484000.0,51000.0,,7676000.0,7676000.0,7625000.0,0.0,7676000.0,7676000.0,7625000.0,-1756000.0,-1756000.0,364095000.0,49388000.0,,,,7390000.0,25467000.0,7759061.002179,26167000.0,12407000.0,72352000.0,71141819.0,53597000.0,11133000.0,,,87383000.0,840000.0,1055000.0,47484000.0,364095000.0,,,0.0,98605000.0,,11016000.0,,33778000.0,12940000.0,,,71141819.0,-120000.0,155557000.0,49388000.0,-36938.997821,3391000.0,0.307825,,704963000.0,155557000.0,,156041000.0,59945000.0,548922000.0,558501000.0,366959000.0,12772000.0,72352000.0,2162000.0,-120000.0,-120000.0,,,,-35501000.0,120000.0
