symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AmortizationCashFlow,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,IssuanceOfDebt,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherIntangibleAssets,OtherNonCashItems,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PrepaidAssets,PretaxIncome,Properties,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RetainedEarnings,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockBasedCompensation,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
PRY.MI,2022-12-31,3M,EUR,,,,,,0.0,,,,,1358000000.0,,,,,,-3000000.0,,,,,,,,,,,538000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,322000000.0,,,,,,,,2746000000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,586000000.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-32000000.0,,,,,,,,,,,,,,,,,,19000000.0,,,,,,,,
PRY.MI,2023-03-31,3M,EUR,2709000000.0,2435000000.0,-2579000000.0,-95000000.0,90000000.0,,15000000.0,273220000.0,0.67,1285000000.0,,-70000000.0,208000000.0,27000000.0,757000000.0,1036000000.0,,754000000.0,3000000.0,-528000000.0,-309000000.0,-564000000.0,-862000000.0,-521000000.0,27000000.0,3723000000.0,,,2521000000.0,7257000000.0,60000000.0,351000000.0,411000000.0,5856000000.0,662000000.0,90000000.0,90000000.0,90000000.0,90000000.0,34000000.0,273309000.0,0.67,182000000.0,2000000.0,292000000.0,382000000.0,-7000000.0,757000000.0,11705005276.0,111000000.0,56000000.0,1038000000.0,-577000000.0,3000000.0,,1671000000.0,2123000000.0,2530000000.0,5590000000.0,1471000000.0,129000000.0,21000000.0,21000000.0,8000000.0,8000000.0,-33000000.0,3115000000.0,6684000000.0,-70000000.0,15000000.0,387000000.0,120000000.0,,148000000.0,2610000000.0,2758000000.0,120000000.0,0.0,387000000.0,45000000.0,,10204005276.0,181000000.0,-5000000.0,0.0,,2204000000.0,182000000.0,182000000.0,187000000.0,182000000.0,182000000.0,271000000.0,187000000.0,-3000000.0,-25000000.0,0.0,120000000.0,120000000.0,-25000000.0,-31000000.0,,3011000000.0,-67000000.0,1600000000.0,0.0,18000000.0,229000000.0,214000000.0,326000000.0,5000000.0,397000000.0,192350553.505535,-507000000.0,1195000000.0,276000000.0,3992000000.0,263669387.0,452000000.0,23000000.0,13000000.0,665000000.0,415000000.0,,166000000.0,279000000.0,,0.0,3580000000.0,,50000000.0,271000000.0,,-3000000.0,,-67000000.0,874000000.0,2521000000.0,90000000.0,0.0,,182000000.0,0.0,0.0,268144246.0,,11000000.0,3723000000.0,1600000000.0,-4649446.494465,84000000.0,0.309963,326000000.0,-37000000.0,13160000000.0,6333000000.0,3169000000.0,3904000000.0,3716000000.0,9256000000.0,5903000000.0,3400000000.0,294000000.0,12000000.0,3992000000.0,456000000.0,-15000000.0,-15000000.0,5000000.0,4474859.0,1203000000.0,1401000000.0
PRY.MI,2023-06-30,3M,EUR,2518000000.0,2583000000.0,-2747000000.0,-102000000.0,,10000000.0,15000000.0,272571838.0,0.818133,757000000.0,,-94000000.0,281000000.0,28000000.0,827000000.0,1104000000.0,,823000000.0,4000000.0,70000000.0,-8000000.0,97000000.0,106000000.0,86000000.0,28000000.0,3716000000.0,,,2564000000.0,7486000000.0,61000000.0,479000000.0,540000000.0,6130000000.0,680000000.0,88000000.0,88000000.0,88000000.0,88000000.0,73000000.0,272571838.0,0.818133,223000000.0,0.0,1505000000.0,1593000000.0,-16000000.0,827000000.0,12567049958.0,95000000.0,-195000000.0,1037000000.0,279000000.0,-6000000.0,,1674000000.0,2112000000.0,2685000000.0,5859000000.0,1447000000.0,90000000.0,1194000000.0,1194000000.0,1163000000.0,1163000000.0,-22000000.0,2543000000.0,6708000000.0,-92000000.0,15000000.0,363000000.0,0.0,,220000000.0,2513000000.0,2733000000.0,0.0,0.0,363000000.0,46000000.0,,10434049958.0,181000000.0,-3000000.0,,,2165000000.0,223000000.0,223000000.0,226000000.0,223000000.0,223000000.0,311000000.0,226000000.0,-3000000.0,-31000000.0,2000000.0,0.0,0.0,-31000000.0,-11000000.0,,3112000000.0,-91000000.0,1604000000.0,0.0,28000000.0,237000000.0,199000000.0,321000000.0,10000000.0,1587000000.0,218639871.382637,373000000.0,1139000000.0,308000000.0,4011000000.0,272571838.0,438000000.0,31000000.0,21000000.0,613000000.0,538000000.0,,783000000.0,277000000.0,,0.0,3450000000.0,,74000000.0,311000000.0,,-3000000.0,,-91000000.0,894000000.0,2564000000.0,88000000.0,0.0,,405000000.0,4000000.0,0.0,276436757.0,,6000000.0,3716000000.0,1604000000.0,1639871.382637,85000000.0,0.273312,299000000.0,-156000000.0,13451000000.0,6229000000.0,3273000000.0,3897000000.0,3703000000.0,9554000000.0,5965000000.0,3424000000.0,342000000.0,10000000.0,4011000000.0,394000000.0,6000000.0,6000000.0,24000000.0,3864919.0,612000000.0,1356000000.0
PRY.MI,2023-09-30,3M,EUR,2267000000.0,2454000000.0,-2834000000.0,-100000000.0,,9000000.0,15000000.0,272596763.0,0.623632,827000000.0,,-89000000.0,301000000.0,28000000.0,996000000.0,1089000000.0,-3000000.0,991000000.0,5000000.0,169000000.0,61000000.0,-269000000.0,-183000000.0,163000000.0,28000000.0,4037000000.0,,,2415000000.0,7370000000.0,65000000.0,450000000.0,515000000.0,5775000000.0,729000000.0,92000000.0,92000000.0,92000000.0,92000000.0,47000000.0,272596763.0,0.623632,170000000.0,,262000000.0,354000000.0,6000000.0,996000000.0,12567615619.0,89000000.0,-38000000.0,998000000.0,27000000.0,12000000.0,0.0,1700000000.0,2133000000.0,2554000000.0,6014000000.0,1407000000.0,98000000.0,24000000.0,24000000.0,8000000.0,8000000.0,-59000000.0,2491000000.0,7004000000.0,85000000.0,15000000.0,383000000.0,0.0,,236000000.0,2517000000.0,2753000000.0,0.0,0.0,383000000.0,46000000.0,,10398615619.0,191000000.0,-5000000.0,,,1971000000.0,170000000.0,170000000.0,175000000.0,170000000.0,170000000.0,238000000.0,175000000.0,-7000000.0,-16000000.0,174000000.0,0.0,0.0,-16000000.0,26000000.0,,3180000000.0,-82000000.0,1904000000.0,0.0,28000000.0,223000000.0,201000000.0,321000000.0,10000000.0,353000000.0,169264705.882353,116000000.0,1183000000.0,224000000.0,3822000000.0,272596763.0,433000000.0,16000000.0,15000000.0,631000000.0,432000000.0,,835000000.0,93000000.0,,0.0,3092000000.0,,93000000.0,238000000.0,,-7000000.0,-20000000.0,-82000000.0,851000000.0,2415000000.0,92000000.0,0.0,,575000000.0,194000000.0,0.0,276436757.0,,19000000.0,4037000000.0,1904000000.0,264705.882353,63000000.0,0.264706,301000000.0,-62000000.0,13425000000.0,6554000000.0,3268000000.0,4228000000.0,3598000000.0,9197000000.0,6055000000.0,3422000000.0,254000000.0,,3822000000.0,393000000.0,1000000.0,1000000.0,26000000.0,3839994.0,642000000.0,1595000000.0
PRY.MI,2023-12-31,3M,EUR,2199000000.0,1987000000.0,-2889000000.0,-98000000.0,,9000000.0,13000000.0,,,996000000.0,1416000000.0,-371000000.0,304000000.0,28000000.0,1741000000.0,1850000000.0,0.0,1736000000.0,5000000.0,745000000.0,168000000.0,1021000000.0,1218000000.0,773000000.0,28000000.0,3781000000.0,-2000000.0,888000000.0,2153000000.0,7244000000.0,70000000.0,538000000.0,608000000.0,6150000000.0,753000000.0,304000000.0,304000000.0,90000000.0,12000000.0,47000000.0,,,-46000000.0,,-34000000.0,270000000.0,-28000000.0,1741000000.0,13405830671.0,41000000.0,-247000000.0,976000000.0,1063000000.0,-15000000.0,0.0,1660000000.0,2071000000.0,2085000000.0,6290000000.0,1376000000.0,80000000.0,22000000.0,22000000.0,10000000.0,10000000.0,-26000000.0,2749000000.0,6573000000.0,-414000000.0,13000000.0,,0.0,325000000.0,234000000.0,2254000000.0,2488000000.0,0.0,-200000000.0,218000000.0,58000000.0,2968000000.0,11226830671.0,191000000.0,-5000000.0,,-2000000.0,1051000000.0,-46000000.0,-46000000.0,-41000000.0,-46000000.0,-46000000.0,-56000000.0,-41000000.0,-12000000.0,-33000000.0,-43000000.0,-200000000.0,-200000000.0,-33000000.0,-19000000.0,,3401000000.0,-359000000.0,1710000000.0,0.0,27000000.0,299000000.0,222000000.0,333000000.0,4000000.0,513000000.0,131910714.285714,1434000000.0,1180000000.0,196000000.0,3529000000.0,272805374.0,411000000.0,26000000.0,3000000.0,342000000.0,407000000.0,693000000.0,136000000.0,109000000.0,-16000000.0,0.0,2911000000.0,,135000000.0,-56000000.0,0.0,-12000000.0,-59000000.0,-359000000.0,755000000.0,2153000000.0,304000000.0,-200000000.0,-2000000.0,529000000.0,16000000.0,0.0,276534448.0,-236000000.0,21000000.0,3781000000.0,1710000000.0,-65089285.714286,-15000000.0,0.267857,298000000.0,-73000000.0,13323000000.0,6035000000.0,3096000000.0,3972000000.0,3333000000.0,9351000000.0,6079000000.0,3201000000.0,-30000000.0,21000000.0,3529000000.0,305000000.0,-243000000.0,-243000000.0,26000000.0,3729074.0,1018000000.0,1094000000.0
PRY.MI,2024-03-31,3M,EUR,2132000000.0,2407000000.0,-2951000000.0,-98000000.0,,8000000.0,13000000.0,272835000.0,0.68,1741000000.0,,-102000000.0,304000000.0,28000000.0,1155000000.0,1207000000.0,-9000000.0,1152000000.0,3000000.0,-586000000.0,-204000000.0,-520000000.0,-728000000.0,-590000000.0,28000000.0,4093000000.0,,,2271000000.0,7352000000.0,70000000.0,415000000.0,485000000.0,6065000000.0,756000000.0,100000000.0,100000000.0,100000000.0,100000000.0,29000000.0,292927000.0,0.64,185000000.0,3000000.0,294000000.0,394000000.0,4000000.0,1155000000.0,14447052047.0,62000000.0,-167000000.0,1065000000.0,-481000000.0,-8000000.0,,1681000000.0,2080000000.0,2505000000.0,6420000000.0,1416000000.0,104000000.0,29000000.0,29000000.0,16000000.0,16000000.0,-59000000.0,3023000000.0,6765000000.0,-44000000.0,13000000.0,231000000.0,0.0,,234000000.0,2257000000.0,2491000000.0,0.0,-100000000.0,231000000.0,57000000.0,,13201052047.0,191000000.0,-5000000.0,,,1517000000.0,185000000.0,185000000.0,190000000.0,185000000.0,185000000.0,265000000.0,190000000.0,-2000000.0,-24000000.0,58000000.0,-100000000.0,-100000000.0,-24000000.0,1000000.0,,3469000000.0,-100000000.0,2013000000.0,0.0,26000000.0,303000000.0,242000000.0,333000000.0,3000000.0,362000000.0,162056603.773585,-379000000.0,1160000000.0,256000000.0,3687000000.0,272893584.0,399000000.0,22000000.0,8000000.0,598000000.0,441000000.0,,166000000.0,52000000.0,,0.0,2907000000.0,-5000000.0,148000000.0,265000000.0,,-2000000.0,,-100000000.0,788000000.0,2271000000.0,100000000.0,-100000000.0,,185000000.0,58000000.0,,276534448.0,,14000000.0,4093000000.0,2013000000.0,9056603.773585,75000000.0,0.283019,289000000.0,-27000000.0,13550000000.0,6350000000.0,2976000000.0,4284000000.0,3431000000.0,9266000000.0,6198000000.0,3201000000.0,287000000.0,11000000.0,3687000000.0,334000000.0,32000000.0,32000000.0,23000000.0,3640864.0,1170000000.0,1287000000.0
