symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,DividendsReceivedCFI,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfBusiness,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,NetBusinessPurchaseAndSale,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetIssuancePaymentsOfDebt,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfPPE,ShortTermDebtIssuance,ShortTermDebtPayments,TaxesRefundPaid
TYA.MI,2019-12-31,12M,EUR,7132000.0,,,-13188000.0,,-2002000.0,-173000.0,,,,,-13188000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000.0,,,,
TYA.MI,2020-12-31,12M,EUR,,19863000.0,-11951000.0,,56481000.0,-6502000.0,-9890000.0,-7674000.0,-1679000.0,-19243000.0,56482000.0,,-3289000.0,10444000.0,10444000.0,58000.0,76344000.0,100263000.0,-43845000.0,-101000.0,,-819000.0,-11887000.0,105543000.0,0.0,-12470000.0,-12598000.0,-9174000.0,100883000.0,1000.0,1000.0,-2771000.0,100883000.0,-31894000.0,-1000.0,1338000.0,-317000.0,-4463000.0,0.0,-9174000.0,-2777000.0,-4660000.0,,6000.0,105543000.0,-4660000.0,-2847000.0
TYA.MI,2021-12-31,12M,EUR,,76344000.0,-15075000.0,,-22197000.0,,1730000.0,6541000.0,-3037000.0,5234000.0,-22196000.0,,-7412000.0,10391000.0,10391000.0,58000.0,54147000.0,-5587000.0,-16013000.0,-76000.0,0.0,-1631000.0,-15671000.0,57200000.0,-999000.0,-5256000.0,-4860000.0,-11825000.0,-4724000.0,,-1000.0,-2904000.0,-4724000.0,-938000.0,-1000.0,827000.0,-635000.0,-3092000.0,-999000.0,-11825000.0,-3250000.0,-61924000.0,0.0,346000.0,57200000.0,-61924000.0,0.0
TYA.MI,2022-12-31,12M,EUR,,54147000.0,-9106000.0,-7000000.0,1625000.0,150000.0,919000.0,12005000.0,2530000.0,14685000.0,1625000.0,-7000000.0,1578000.0,10493000.0,10493000.0,13000.0,55772000.0,-18392000.0,21328000.0,,-4002000.0,-2295000.0,-10417000.0,59500000.0,-1464000.0,4675000.0,4674000.0,-7722000.0,-10506000.0,1000.0,-1000.0,-1243000.0,-10506000.0,30434000.0,,3808000.0,-518000.0,1714000.0,-2075000.0,-7722000.0,-1384000.0,-70006000.0,611000.0,141000.0,59500000.0,-70006000.0,-53000.0
TYA.MI,2023-12-31,12M,EUR,,55772000.0,-13839000.0,-7300000.0,-29629000.0,563000.0,,4136000.0,-6684000.0,-1985000.0,-29629000.0,-7300000.0,6291000.0,9892000.0,9892000.0,13000.0,26143000.0,-42096000.0,12545000.0,,0.0,-6029000.0,-13917000.0,53500000.0,-99000.0,12631000.0,13079000.0,-12987000.0,-34056000.0,,,-844000.0,-34056000.0,26384000.0,,4246000.0,-273000.0,2077000.0,-99000.0,-12987000.0,-852000.0,-87556000.0,0.0,8000.0,53500000.0,-87556000.0,-1762000.0
TYA.MI,2024-03-31,TTM,EUR,,37362000.0,-13916000.0,,-18904000.0,,,1798000.0,-2817000.0,-90000.0,-18903000.0,,6715000.0,9945000.0,9945000.0,,18459000.0,-37063000.0,15036000.0,,,-6488000.0,-10792000.0,50000000.0,3104000.0,13730000.0,14123000.0,-13155000.0,-29005000.0,,,-753000.0,-29005000.0,28952000.0,,4522000.0,-230000.0,1409000.0,-96000.0,-13155000.0,-761000.0,-79005000.0,3200000.0,,50000000.0,-79005000.0,
