asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendPaidCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PretaxIncome,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RetainedEarnings,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
2019-12-31,12M,EUR,,,,45692.0,7000000.0,0.087381,,,,,,,,,,893692.0,,,,,,,,,,,,,,,,,,,,7000000.0,0.087381,,0.0,,,,,,,,,,,,,,,,,,,,,,400000.0,,,,400000.0,-1405626.0,,,,,,,,,,,,,,,,,,,-727836.0,-414692.0,,,,89320.0,,,,,,,,,,,,-1.0,164510.0,,,2.0,,,,,,,,,,,,,,,-5910.0,,,,,-1405626.0,,,,,,,,,,,,,,,,,,,,,,46162.0,,,,
2020-12-31,12M,EUR,198939.0,4714.0,-177975.0,139231.0,7000000.0,0.116984,1475766.0,-283223.0,123376.0,700000.0,3110270.0,3110270.0,-420000.0,3106844.0,3426.0,1634504.0,730742.0,151365.0,426726.0,1308833.0,1634504.0,700000.0,6867544.0,122662.0,38317970.0,5618251.0,38482.0,141225.0,179707.0,884533.0,393241.0,198378.0,198378.0,198378.0,198378.0,7000000.0,0.116984,818888.0,,1220500.0,1418878.0,3110270.0,29771585.0,-421107.0,2169468.0,2050967.0,294159.0,1730819.0,2256324.0,318575.0,2811759.0,8371.0,8371.0,0.0,0.0,-8370.0,2169468.0,7132905.0,-278579.0,122662.0,,84894.0,124136.0,209030.0,,-123769.0,,20427.0,30800000.0,122662.0,,818888.0,818888.0,818888.0,818888.0,818888.0,818888.0,818888.0,-283223.0,-8371.0,0.0,-123769.0,-123769.0,-8371.0,,,140600.0,4644.0,4611220.0,,12682.0,50235.0,13904.0,9157.0,1418878.0,818888.0,2334190.0,1591260.0,1220499.0,41129729.0,7000000.0,,189981.0,525505.0,8371.0,,11767.0,-126644.0,1455210.0,189981.0,298148.0,61115.0,0.0,632733.0,8090.0,10056.0,1212129.0,0.0,-283223.0,0.0,,38317970.0,198378.0,25084.0,25084.0,-123769.0,1024259.0,4644.0,184229.0,478388.0,7000000.0,6867544.0,4611220.0,0.0,393241.0,0.324422,272684.0,-393241.0,8037013.0,6991680.0,388737.0,6867544.0,39909230.0,1169469.0,2418763.0,284936.0,1220500.0,,41129729.0,243813.0,,4733718.0
2021-12-31,12M,EUR,164830.0,309964.0,-229935.0,138902.0,7018050.0,-0.014317,3110270.0,-5305.0,79057.0,701805.0,1255814.0,1255814.0,-700000.0,1255302.0,512.0,-1854455.0,-416946.0,-447396.0,-182150.0,-1046492.0,-1854457.0,701805.0,6052564.0,-79217.0,28765465.0,4320406.0,35564.0,128662.0,164226.0,429038.0,-40149.0,190865.0,190865.0,190865.0,190865.0,7018050.0,-0.014317,-100477.0,,-127568.0,63297.0,1255815.0,19304409.0,-895521.0,2586414.0,-958936.0,456498.0,1730819.0,2122356.0,320045.0,1500083.0,13058.0,13058.0,0.0,0.0,-13058.0,2586414.0,6181226.0,-5305.0,-79217.0,,43493.0,0.0,43493.0,,-181018.0,10000.0,20427.0,19423378.0,-14503.0,,-100477.0,-100477.0,-100477.0,-100477.0,-100477.0,-100477.0,-100477.0,-3835.0,-13058.0,0.0,-181018.0,-181018.0,-13058.0,,,90110.0,-1470.0,3930208.0,,55166.0,43956.0,18146.0,9157.0,63297.0,-100477.0,-953631.0,1627651.0,-127568.0,30265548.0,7018050.0,2.0,70020.0,391537.0,13058.0,-200.0,9999.0,,1446487.0,3120.0,299618.0,62555.0,0.0,194792.0,4242.0,30791.0,-140626.0,-1768.0,-3835.0,0.0,-1470.0,28765465.0,190865.0,61179.0,61179.0,-181018.0,104894.0,,147819.0,604317.0,7018050.0,6052564.0,3930208.0,0.0,-40149.0,0.285502,105659.0,40149.0,6597196.0,6052564.0,207719.0,6052564.0,30393116.0,544632.0,2276789.0,115594.0,-127568.0,21176.0,30265548.0,29962.0,,3891368.0
2022-12-31,12M,EUR,201192.0,513843.0,-280047.0,178706.0,7025475.0,0.064672,1255815.0,-99436.0,37036.0,702548.0,704592.0,704592.0,,703364.0,1228.0,,-2153289.0,438822.0,-52846.0,-1767313.0,-2850795.0,702548.0,6522728.0,15073.0,40560569.0,6019965.0,37036.0,803150.0,840186.0,1550099.0,171948.0,206800.0,206800.0,228817.0,228817.0,7025475.0,0.064672,454349.0,,642701.0,871518.0,704592.0,11414866.0,-551222.0,4739703.0,-1199505.0,474369.0,1730819.0,2064853.0,320297.0,2558270.0,16404.0,16404.0,2.0,2.0,-16404.0,4739703.0,7325878.0,-1199504.0,15073.0,632467.0,0.0,0.0,0.0,632467.0,,,20427.0,12821491.0,15816.0,98558.0,454349.0,454349.0,454349.0,454349.0,454349.0,454349.0,454349.0,-99184.0,-16402.0,0.0,632467.0,632467.0,-16402.0,-1199505.0,-1100068.0,40250.0,-252.0,4457875.0,,10519.0,37676.0,31656.0,9157.0,871518.0,454349.0,-1100069.0,1915569.0,642701.0,43118839.0,7025480.0,2299572.0,439867.0,334034.0,16404.0,-1.0,2585.0,,1730395.0,439867.0,299870.0,60552.0,0.0,709913.0,13510.0,,626297.0,-7415.0,-99184.0,0.0,-252.0,40560569.0,206800.0,34456.0,34456.0,,559243.0,,55343.0,529712.0,7025480.0,6522728.0,4457875.0,0.0,171948.0,0.274547,1275.0,-171948.0,8144744.0,6522728.0,840186.0,6522728.0,42476138.0,1622016.0,2124778.0,71917.0,642700.0,21176.0,43118839.0,68854.0,,4469866.0
2023-12-31,12M,EUR,568057.0,107598.0,-337242.0,,,,704592.0,-355062.0,302734.0,704291.0,292556.0,292556.0,-701947.0,278915.0,13641.0,,-1092231.0,-42107.0,403323.0,-731015.0,-1040306.0,704291.0,6185785.0,-1743.0,38789864.0,6303484.0,55842.0,1306772.0,1362614.0,2048576.0,131948.0,222481.0,222481.0,223952.0,223952.0,,,352747.0,,561935.0,785887.0,292556.0,11856254.0,-412036.0,5831935.0,-491666.0,341737.0,1730819.0,1928479.0,646446.0,1770518.0,77240.0,77240.0,404.0,404.0,-77240.0,5831935.0,7492557.0,-491666.0,-1743.0,769320.0,246892.0,0.0,246892.0,769320.0,,,22227.0,11252840.0,12258.0,1014216.0,352747.0,352747.0,352747.0,352747.0,352747.0,352747.0,352747.0,-348746.0,-103238.0,,769320.0,769320.0,-103238.0,-491667.0,-136604.0,309204.0,-6316.0,4257306.0,,3874.0,31397.0,41546.0,9157.0,785887.0,352747.0,-136604.0,1182584.0,587934.0,40560382.0,7036910.0,628270.0,,197660.0,77240.0,-1.0,1.0,,369072.0,84950.0,624219.0,60941.0,0.0,685962.0,9890.0,,484695.0,-2585.0,-348746.0,,-6316.0,38789864.0,222481.0,26175.0,26175.0,,457641.0,,90099.0,431836.0,7042910.0,6185785.0,4257306.0,0.0,131948.0,0.272229,10454.0,-131948.0,8554197.0,6185785.0,1609506.0,6185785.0,39972448.0,2368412.0,2250713.0,319836.0,561531.0,26402.0,40560382.0,32955.0,6000.0,4254908.0
