symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,IssuanceOfDebt,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfInvestment,SaleOfPPE,SellingGeneralAndAdministration,ShareIssued,ShortTermDebtPayments,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TreasurySharesNumber,TreasuryStock,WorkingCapital,WriteOff
TB.MI,2019-12-31,12M,EUR,,,,,,,46000.0,,,,,,,,,,-2000000.0,,,,,,,,,,-2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,175000.0,,,,,,,,-1000.0,3686000.0,149000.0,1000.0,,1167000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
TB.MI,2020-12-31,12M,EUR,60394000.0,46135000.0,-2109000.0,7069000.0,7070000.0,325000.0,23000.0,28437000.0,0.02,8703000.0,7364000.0,-5077000.0,4377000.0,28740000.0,12939000.0,12939000.0,,12923000.0,16000.0,4235000.0,0.0,11466000.0,-13120000.0,-1654000.0,4235000.0,28740000.0,,33601000.0,-333000.0,0.0,51738000.0,68087000.0,623000.0,6345000.0,6968000.0,,73518000.0,1046000.0,8116000.0,8115000.0,1046000.0,28437000.0,0.02,592000.0,2170000.0,10286000.0,12939000.0,41013034.0,-398000.0,0.0,5080000.0,1020000.0,28708000.0,48843000.0,48244000.0,8613000.0,29702000.0,507000.0,507000.0,39000.0,39000.0,0.0,51866000.0,-5524000.0,23000.0,1241000.0,9178000.0,7000.0,3754000.0,11920000.0,15674000.0,9178000.0,-9243000.0,1241000.0,20000.0,1175000.0,30048034.0,451000.0,-197000.0,0.0,-333000.0,5326000.0,592000.0,592000.0,789000.0,,592000.0,592000.0,789000.0,789000.0,-4766000.0,-665000.0,-876000.0,-65000.0,-65000.0,-665000.0,-1000.0,1000.0,8613000.0,118000.0,-4525000.0,-15242000.0,2130000.0,1724000.0,2792000.0,120000.0,10276000.0,2696400.0,10157000.0,26185000.0,3517000.0,81440000.0,28347202.0,1000.0,,2141000.0,,20135000.0,,,2000.0,2732000.0,4154000.0,74000.0,7354000.0,448000.0,-198000.0,0.0,66543000.0,718000.0,464000.0,1663000.0,0.0,2188000.0,-4766000.0,-876000.0,-311000.0,51738000.0,8116000.0,238000.0,238000.0,-9243000.0,-333000.0,,592000.0,,429000.0,1020000.0,28740210.0,-4525000.0,-1182000.0,33601000.0,-15242000.0,-285600.0,874000.0,0.24,870000.0,129169000.0,45521000.0,22642000.0,34052000.0,77923000.0,95117000.0,61082000.0,21599000.0,2336000.0,197000.0,81440000.0,1995000.0,10000.0,-1190000.0,393008.0,417000.0,-5431000.0,180000.0
TB.MI,2021-12-31,12M,EUR,51283000.0,33238000.0,-2031000.0,7129000.0,7129000.0,0.0,,28291000.0,0.06,12939000.0,11594000.0,-6495000.0,8588000.0,28740000.0,24471000.0,24471000.0,,24454000.0,17000.0,11533000.0,-812000.0,-8629000.0,10900000.0,1459000.0,11533000.0,28740000.0,0.0,35514000.0,-184000.0,7000.0,61164000.0,68844000.0,1286000.0,7719000.0,9005000.0,1146000.0,70202000.0,1557000.0,8686000.0,8686000.0,1557000.0,28291000.0,0.06,1817000.0,2512000.0,11198000.0,24471000.0,55902980.0,2518000.0,812000.0,9443000.0,1883000.0,28567000.0,46677000.0,35269000.0,13702000.0,33491000.0,669000.0,669000.0,0.0,0.0,812000.0,60116000.0,-6923000.0,373000.0,,10075000.0,0.0,7302000.0,16883000.0,24185000.0,10075000.0,-7373000.0,2297000.0,7000.0,1666000.0,43992980.0,584000.0,-566000.0,-338000.0,-184000.0,131000.0,1817000.0,1817000.0,2383000.0,,1817000.0,1817000.0,2383000.0,2383000.0,-5430000.0,-256000.0,-90000.0,2702000.0,2702000.0,-256000.0,,,13702000.0,-1065000.0,,-11163000.0,1877000.0,494000.0,2955000.0,486000.0,11277000.0,1877040.0,15938000.0,31313000.0,2178000.0,94655000.0,28291306.0,-1000.0,,5197000.0,,18110000.0,,,2000.0,5322000.0,7304000.0,435000.0,6701000.0,492000.0,-8000.0,0.0,61169000.0,720000.0,436000.0,1843000.0,0.0,2515000.0,-5430000.0,-90000.0,-1065000.0,61164000.0,8686000.0,747000.0,747000.0,-7373000.0,-184000.0,,1817000.0,,0.0,1883000.0,28740210.0,,-254000.0,35514000.0,-11163000.0,-18960.0,-540000.0,0.24,2040000.0,134325000.0,52397000.0,33190000.0,36098000.0,92477000.0,98227000.0,65482000.0,28025000.0,1828000.0,-413000.0,94655000.0,2582000.0,-79000.0,-79000.0,448904.0,601000.0,-1358000.0,262000.0
TB.MI,2022-12-31,12M,EUR,47695000.0,33667000.0,-2501000.0,7211000.0,7211000.0,0.0,,27938000.0,0.02,24471000.0,8939000.0,-6647000.0,5370000.0,28740000.0,9315000.0,9801000.0,-536000.0,9296000.0,19000.0,-15156000.0,389000.0,-10474000.0,-3617000.0,-13702000.0,-15156000.0,28740000.0,-536000.0,34077000.0,-440000.0,7000.0,56940000.0,58861000.0,727000.0,6619000.0,7346000.0,2899000.0,60619000.0,1353000.0,8564000.0,8564000.0,1353000.0,27938000.0,0.02,638000.0,2651000.0,11215000.0,9315000.0,44346448.0,-5581000.0,423000.0,-9047000.0,1918000.0,28464000.0,45588000.0,36168000.0,10858000.0,33701000.0,635000.0,635000.0,0.0,0.0,423000.0,56955000.0,-7175000.0,573000.0,,6234000.0,0.0,4643000.0,16259000.0,20902000.0,6234000.0,-10839000.0,2178000.0,10000.0,1203000.0,29797448.0,849000.0,-132000.0,-482000.0,-440000.0,13563000.0,638000.0,638000.0,1230000.0,-460000.0,638000.0,1098000.0,770000.0,770000.0,-5846000.0,-709000.0,-46000.0,-4605000.0,-4605000.0,-709000.0,,,10858000.0,-801000.0,,-11511000.0,1746000.0,653000.0,2548000.0,255000.0,12012000.0,2308818.452381,-2400000.0,29890000.0,3811000.0,90641000.0,27938397.0,,3707000.0,4153000.0,,17124000.0,,313000.0,,3338000.0,2812000.0,709000.0,8273000.0,486000.0,-31000.0,0.0,51932000.0,751000.0,35000.0,2016000.0,0.0,1054000.0,-5846000.0,-46000.0,-801000.0,56940000.0,8564000.0,784000.0,784000.0,-10839000.0,-440000.0,778000.0,638000.0,,,1918000.0,28740210.0,,-1247000.0,34077000.0,-11511000.0,-486181.547619,786000.0,0.389881,2955000.0,120031000.0,50336000.0,28248000.0,34926000.0,86830000.0,85105000.0,61256000.0,24486000.0,2527000.0,74000.0,90641000.0,1425000.0,-797000.0,-1247000.0,801813.0,1041000.0,-1758000.0,50000.0
TB.MI,2023-12-31,12M,EUR,36794000.0,25802000.0,-2514000.0,6759000.0,6759000.0,0.0,,27823000.0,-0.16,9315000.0,8512000.0,-5880000.0,4668000.0,28740000.0,5480000.0,5810000.0,,5462000.0,18000.0,-3835000.0,-700000.0,-13118000.0,8350000.0,-5468000.0,-3835000.0,28740000.0,0.0,29831000.0,-116000.0,0.0,47290000.0,46579000.0,672000.0,12943000.0,13615000.0,,54839000.0,1175000.0,7934000.0,7934000.0,1175000.0,27823000.0,-0.16,-4350000.0,-2615000.0,5319000.0,5480000.0,43082592.0,-158000.0,,-4334000.0,2197000.0,26781000.0,41857000.0,28316000.0,10234000.0,28259000.0,1162000.0,1162000.0,2000.0,2000.0,1123000.0,54592000.0,-5223000.0,1403000.0,,5620000.0,,3996000.0,11818000.0,15814000.0,5620000.0,-5662000.0,1319000.0,16000.0,1318000.0,21423592.0,732000.0,-335000.0,-248000.0,-116000.0,19281000.0,-4350000.0,-4350000.0,-3072000.0,-943000.0,-4350000.0,-3407000.0,-4015000.0,-4015000.0,-4857000.0,-1443000.0,-61000.0,-42000.0,-42000.0,-1443000.0,,,10234000.0,-57000.0,,-12026000.0,2815000.0,744000.0,2449000.0,,6025000.0,362332.803813,1546000.0,28248000.0,11000.0,75549000.0,27822848.0,,1587000.0,,,15076000.0,,328000.0,1000.0,3326000.0,2498000.0,404000.0,9163000.0,330000.0,-60000.0,0.0,40140000.0,633000.0,35000.0,-3777000.0,0.0,2339000.0,-4857000.0,-61000.0,-1023000.0,47290000.0,7934000.0,674000.0,674000.0,-5662000.0,-116000.0,766000.0,-4350000.0,,966000.0,2197000.0,28740210.0,,-2468000.0,29831000.0,-12026000.0,-460667.196187,-705000.0,0.186656,3059000.0,104459000.0,41649000.0,29429000.0,30563000.0,75538000.0,73896000.0,57956000.0,19057000.0,-2513000.0,283000.0,75549000.0,848000.0,-706000.0,-2468000.0,917362.0,1157000.0,-8260000.0,0.0
