symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,CommonStockPayments,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFF,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfInvestment,RepurchaseOfCapitalStock,TaxesRefundPaid
GML.MI,2020-12-31,12M,EUR,,-3347000.0,,,,2186000.0,-2077000.0,,3194000.0,-2943000.0,-1826000.0,2186000.0,526000.0,0.0,280000.0,280000.0,-1161000.0,3498000.0,375000.0,-177000.0,,-1687000.0,526000.0,,,526000.0,1820000.0,1959000.0,,-1687000.0,3149000.0,3149000.0,,,,375000.0,,,293000.0,-1687000.0,0.0,-313000.0
GML.MI,2021-12-31,12M,EUR,454000.0,1230017.0,-1907175.0,-1100000.0,78889.0,-484380.0,-2215950.0,-217270.0,710143.0,-3744828.0,-5389016.0,-484380.0,0.0,-1200000.0,836382.0,836382.0,745637.0,3428434.0,-3922814.0,-304000.0,-303797.0,-1897175.0,0.0,4225000.0,4225000.0,0.0,2453555.0,2453556.0,-925194.0,10000.0,4628440.0,4225000.0,-100006.0,-981981.0,403440.0,-2015639.0,,303797.0,145382.0,-1824000.0,-1200000.0,0.0
GML.MI,2022-12-31,12M,EUR,,745637.0,-3230600.0,,332401.0,343936.0,1260203.0,-1490671.0,-1186410.0,-4065438.0,-5149915.0,343936.0,1657770.0,,1677421.0,1677421.0,1089573.0,3526017.0,-4625860.0,,-976166.0,-1786821.0,1657770.0,4533326.0,4533326.0,1657770.0,2012447.0,2012447.0,-3230600.0,-39247.0,1868246.0,4533326.0,1.0,1483026.0,-2665080.0,-1395260.0,,976166.0,197828.0,,,0.0
GML.MI,2023-12-31,12M,EUR,1439096.0,1089573.0,-7968427.0,-250000.0,4228.0,827267.0,-13471078.0,-128730.0,2751293.0,4418830.0,-6425457.0,827268.0,,-2052.0,819858.0,2258954.0,1916840.0,10792487.0,-9849398.0,,-1155590.0,-8084248.0,,14106386.0,14106386.0,-2052.0,2040401.0,2040403.0,-2417858.0,-115821.0,11044539.0,14106386.0,,-5550569.0,-3061847.0,-1880971.0,-1.0,1155590.0,244829.0,,-2052.0,0.0
GML.MI,2023-12-31,TTM,EUR,1439096.0,1089573.0,-7968427.0,-250000.0,4228.0,827267.0,-13471078.0,-128730.0,2751293.0,4418830.0,-6425457.0,827268.0,,-2052.0,819858.0,2258954.0,1916840.0,10792487.0,-9849398.0,,-1155590.0,-8084248.0,,14106386.0,14106386.0,-2052.0,2040401.0,2040403.0,-2417858.0,-115821.0,11044539.0,14106386.0,,-5550569.0,-3061847.0,-1880971.0,-1.0,1155590.0,244829.0,,-2052.0,0.0
