symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NormalizedEBITDA,NormalizedIncome,OtherunderPreferredStockDividend,PretaxIncome,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxRateForCalcs,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
FARM.MI,2022-06-30,TTM,EUR,129701688.0,-0.047308,129701688.0,-0.047308,,,,,,,,,,,,,,,,,,,,,,
FARM.MI,2023-08-31,TTM,EUR,,0.068534,,0.068534,,,,,,,,,,,,,,,,,,,,,,
FARM.MI,2024-02-29,TTM,EUR,200156925.0,-0.064608,200156925.0,-0.064608,-9869846.0,-8961198.0,-5330198.0,887656.0,887656.0,247.0,-9869846.0,-9869846.0,-9870093.0,-9869846.0,-9869846.0,-9870093.0,-2386268.0,-6925916.0,0.0,-9848854.0,3631000.0,0.0,0.0,-2943930.0,-2943930.0,705101.0
