symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,Depreciation,DepreciationAndAmortization,DividendReceivedCFO,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,RepaymentOfDebt,SaleOfInvestment,TaxesRefundPaid
EDNR.MI,2023-06-30,3M,EUR,,,,,,,,,,,,,,,,,,,,,,-101000000.0,,,,,,,,,,,,,,,,
EDNR.MI,2023-09-30,3M,EUR,,,,,,,,,,,,,,,,,,,,,,299000000.0,,,,,,,,,,,,,,,,
EDNR.MI,2023-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,29000000.0,,,,,,,,,,,,,,,,
EDNR.MI,2024-03-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,322000000.0,,,,,,,,,,,,,,,,
EDNR.MI,2024-06-30,3M,EUR,,,,,,,,,,,,,,,,,,,,,,-101000000.0,,,,,,,,,,,,,,,,
EDNR.MI,2024-06-30,TTM,EUR,933000000.0,-560000000.0,1029000000.0,-66000000.0,-66000000.0,1029000000.0,0.0,476000000.0,476000000.0,2000000.0,0.0,1962000000.0,124000000.0,948000000.0,-603000000.0,0.0,627000000.0,627000000.0,-46000000.0,-76000000.0,0.0,549000000.0,814000000.0,-484000000.0,-36000000.0,581000000.0,581000000.0,-18000000.0,-23000000.0,1508000000.0,43000000.0,700000000.0,-76000000.0,-560000000.0,-36000000.0,-46000000.0,0.0,-440000000.0
