asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AllowanceForDoubtfulAccountsReceivable,Amortization,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,ImpairmentOfCapitalAssets,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentInsideChangeinCash,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInventories,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherProperties,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,ShortTermDebtPayments,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,5377000671.0,,,,-376000000.0,,,,,-50000000.0,283000000.0,,,,,,-50000000.0,,0.0,,,,,,,,,,,,,5377000671.0,,,6000000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,382000000.0,,,,,,,,,,,,,,,,-78000000.0,,3000000.0,,,,,,,,,,,,,0.0,-61000000.0,,,,,,,,,,,,,,,-1000000.0,,,,,,,-376000000.0,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,174000000.0,,,,,,,,
2020-12-31,12M,EUR,1256000000.0,1053000000.0,-26000000.0,,551000000.0,14000000.0,5377000671.0,0.003534,344000000.0,-491000000.0,-491000000.0,256000000.0,5377000000.0,313000000.0,320000000.0,-51000000.0,313000000.0,-13000000.0,-253000000.0,-255000000.0,-13000000.0,5377000000.0,-51000000.0,5349000000.0,0.0,395000000.0,4830000000.0,2840000000.0,31000000.0,185000000.0,216000000.0,2260000000.0,387000000.0,387000000.0,352000000.0,352000000.0,187000000.0,5377000671.0,0.003534,19000000.0,8000000.0,273000000.0,660000000.0,0.0,313000000.0,6025770677.0,201000000.0,-12000000.0,-13000000.0,11000000.0,3000000.0,520000000.0,2174000000.0,2439000000.0,1079000000.0,3447000000.0,1560000000.0,428000000.0,35000000.0,-27000000.0,113000000.0,5937000000.0,-418000000.0,14000000.0,0.0,116000000.0,225000000.0,403000000.0,628000000.0,116000000.0,-99000000.0,123000000.0,699000000.0,2336000000.0,5430770677.0,131000000.0,-14000000.0,-20000000.0,0.0,275000000.0,19000000.0,19000000.0,191000000.0,-158000000.0,19000000.0,177000000.0,230000000.0,33000000.0,-488000000.0,-22000000.0,194000000.0,17000000.0,17000000.0,-22000000.0,22000000.0,-104000000.0,3447000000.0,3000000.0,,2910000000.0,189000000.0,92000000.0,37000000.0,728000000.0,233440000.0,478000000.0,1287000000.0,273000000.0,6390000000.0,5377000671.0,-61000000.0,-18000000.0,359000000.0,195000000.0,265000000.0,16000000.0,23000000.0,60000000.0,5000000.0,39000000.0,614000000.0,414000000.0,7000000.0,-3000000.0,0.0,1309000000.0,-2000000.0,230000000.0,302000000.0,60000000.0,-20000000.0,-491000000.0,-37000000.0,-491000000.0,97000000.0,4830000000.0,387000000.0,-99000000.0,19000000.0,3000000.0,231000000.0,3000000.0,,520000000.0,5377000671.0,,-65000000.0,5349000000.0,2910000000.0,-11560000.0,39000000.0,0.17,16000000.0,-35000000.0,9383000000.0,5752000000.0,844000000.0,5480000000.0,6117000000.0,3903000000.0,6543000000.0,1643000000.0,239000000.0,-2000000.0,6390000000.0,53000000.0,-68000000.0,-68000000.0,,580000000.0,33000000.0
2021-12-31,12M,EUR,2872000000.0,3542000000.0,-163000000.0,67000000.0,69000000.0,15000000.0,4736117250.0,0.087202,313000000.0,-592000000.0,,241000000.0,4736000000.0,910000000.0,913000000.0,,910000000.0,597000000.0,-751000000.0,-753000000.0,597000000.0,4736000000.0,,5934000000.0,,669000000.0,10049000000.0,8981000000.0,34000000.0,348000000.0,382000000.0,7914000000.0,358000000.0,358000000.0,356000000.0,356000000.0,891000000.0,4736117250.0,0.087202,413000000.0,,521000000.0,879000000.0,0.0,910000000.0,7395453529.0,863000000.0,136000000.0,-502000000.0,-6000000.0,,175000000.0,2184000000.0,2523000000.0,3705000000.0,3744000000.0,1690000000.0,3843000000.0,2000000.0,-9000000.0,176000000.0,6307000000.0,371000000.0,15000000.0,,235000000.0,241000000.0,373000000.0,614000000.0,235000000.0,-156000000.0,160000000.0,823000000.0,2320000000.0,7009453529.0,419000000.0,-17000000.0,-53000000.0,,,413000000.0,413000000.0,431000000.0,-1000000.0,413000000.0,414000000.0,488000000.0,430000000.0,-158000000.0,-26000000.0,582000000.0,79000000.0,79000000.0,-26000000.0,57000000.0,,3744000000.0,,0.0,3411000000.0,329000000.0,44000000.0,37000000.0,909000000.0,440490000.0,90000000.0,1169000000.0,521000000.0,11739000000.0,4736117250.0,0.0,,432000000.0,402000000.0,339000000.0,11000000.0,4000000.0,71000000.0,15000000.0,-20000000.0,287000000.0,438000000.0,3000000.0,-24000000.0,0.0,3008000000.0,,488000000.0,317000000.0,99000000.0,-53000000.0,-592000000.0,-286000000.0,,165000000.0,10049000000.0,358000000.0,-156000000.0,413000000.0,434000000.0,868000000.0,,16000000.0,191000000.0,4736117250.0,0.0,-20000000.0,5934000000.0,3411000000.0,-3510000.0,57000000.0,0.117,6000000.0,-65000000.0,16708000000.0,6307000000.0,996000000.0,6353000000.0,11218000000.0,10355000000.0,7727000000.0,2441000000.0,,8000000.0,11739000000.0,136000000.0,-30000000.0,-30000000.0,17000000.0,1067000000.0,42000000.0
2022-12-31,12M,EUR,3778000000.0,4281000000.0,-171000000.0,91000000.0,150000000.0,86000000.0,4736117250.0,0.031883,910000000.0,-543000000.0,,273000000.0,4736000000.0,456000000.0,473000000.0,-350000000.0,,-454000000.0,-21000000.0,-24000000.0,-454000000.0,4736000000.0,,5659000000.0,0.0,565000000.0,28330000000.0,9432000000.0,39000000.0,161000000.0,200000000.0,8592000000.0,439000000.0,439000000.0,383000000.0,383000000.0,1153000000.0,4736117250.0,0.031883,151000000.0,10000000.0,576000000.0,1015000000.0,0.0,456000000.0,7353119459.0,468000000.0,-492000000.0,200000000.0,5000000.0,,190000000.0,2228000000.0,2568000000.0,4452000000.0,3967000000.0,1979000000.0,3706000000.0,56000000.0,-2000000.0,387000000.0,6295000000.0,-705000000.0,86000000.0,0.0,125000000.0,234000000.0,475000000.0,709000000.0,125000000.0,-268000000.0,216000000.0,687000000.0,2642000000.0,6441119459.0,389000000.0,-31000000.0,-206000000.0,0.0,180000000.0,151000000.0,151000000.0,153000000.0,29000000.0,151000000.0,122000000.0,595000000.0,182000000.0,-529000000.0,-50000000.0,47000000.0,-143000000.0,-143000000.0,-50000000.0,1000000.0,-17000000.0,3967000000.0,,0.0,3091000000.0,427000000.0,76000000.0,34000000.0,1093000000.0,181280000.0,743000000.0,1403000000.0,576000000.0,30309000000.0,4736117250.0,,,372000000.0,680000000.0,340000000.0,13000000.0,5000000.0,162000000.0,37000000.0,58000000.0,447000000.0,423000000.0,17000000.0,-3000000.0,0.0,4170000000.0,,595000000.0,337000000.0,-19000000.0,-206000000.0,-543000000.0,-7000000.0,,374000000.0,28330000000.0,439000000.0,-268000000.0,151000000.0,14000000.0,54000000.0,,19000000.0,209000000.0,4736117250.0,0.0,-85000000.0,5659000000.0,3091000000.0,-18720000.0,442000000.0,0.24,63000000.0,-265000000.0,17336000000.0,6134000000.0,909000000.0,6048000000.0,29733000000.0,11288000000.0,7904000000.0,2696000000.0,,13000000.0,30309000000.0,392000000.0,-78000000.0,-78000000.0,,840000000.0,32000000.0
2023-12-31,12M,EUR,2246000000.0,2561000000.0,-170000000.0,112000000.0,547000000.0,89000000.0,,0.108739,456000000.0,-501000000.0,,330000000.0,4736000000.0,1234000000.0,1383000000.0,,,778000000.0,247000000.0,246000000.0,778000000.0,4736000000.0,,6460000000.0,0.0,722000000.0,15526000000.0,6114000000.0,51000000.0,294000000.0,345000000.0,4591000000.0,460000000.0,460000000.0,451000000.0,339000000.0,152000000.0,,0.108739,515000000.0,0.0,1201000000.0,1661000000.0,0.0,1234000000.0,7103148330.0,181000000.0,-125000000.0,960000000.0,-6000000.0,,208000000.0,2107000000.0,2494000000.0,2731000000.0,3811000000.0,2910000000.0,1037000000.0,9000000.0,-65000000.0,174000000.0,7171000000.0,-558000000.0,89000000.0,0.0,59000000.0,279000000.0,417000000.0,696000000.0,59000000.0,-43000000.0,291000000.0,1059000000.0,2272000000.0,7284148330.0,435000000.0,-81000000.0,-84000000.0,0.0,,515000000.0,515000000.0,582000000.0,14000000.0,515000000.0,501000000.0,790000000.0,596000000.0,-425000000.0,-52000000.0,-30000000.0,16000000.0,16000000.0,-52000000.0,-4000000.0,-19000000.0,3811000000.0,,,3966000000.0,401000000.0,85000000.0,33000000.0,1682000000.0,516477000.0,1461000000.0,1709000000.0,1201000000.0,18436000000.0,4736117250.0,,,376000000.0,364000000.0,387000000.0,7000000.0,59000000.0,229000000.0,116000000.0,-384000000.0,608000000.0,468000000.0,149000000.0,-14000000.0,0.0,2503000000.0,,790000000.0,349000000.0,431000000.0,-84000000.0,-501000000.0,-30000000.0,,167000000.0,15526000000.0,460000000.0,-43000000.0,515000000.0,76000000.0,0.0,,22000000.0,230000000.0,4736117250.0,,-25000000.0,6460000000.0,3966000000.0,-5523000.0,208000000.0,0.263,36000000.0,-436000000.0,13627000000.0,6877000000.0,1041000000.0,6895000000.0,17235000000.0,6732000000.0,7513000000.0,2141000000.0,,14000000.0,18436000000.0,257000000.0,-21000000.0,-21000000.0,,1523000000.0,30000000.0
