symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,NetBusinessPurchaseAndSale,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,SaleOfPPE,TaxesRefundPaid
TRN.MI,2020-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,-13300000.0,,,,,,,,,,,,,,27500000.0,,,
TRN.MI,2022-12-31,3M,EUR,,,-671600000.0,-208100000.0,-790300000.0,,,,,,180300000.0,-790300000.0,-208100000.0,,220200000.0,220200000.0,,-734000000.0,,,,,,-730900000.0,,,,,,-515900000.0,,,,46100000.0,,,
TRN.MI,2023-03-31,3M,EUR,,-314900000.0,-314900000.0,,,,-309000000.0,,,,-309000000.0,-255600000.0,,,186600000.0,186600000.0,,,-255600000.0,-4000000.0,,,,-314900000.0,,,199500000.0,,,,,59300000.0,,-13800000.0,,,
TRN.MI,2023-06-30,3M,EUR,,-479200000.0,,,,,295200000.0,,,,-73700000.0,460200000.0,,,180200000.0,180200000.0,,,-148400000.0,,,,,-427600000.0,,211200000.0,208400000.0,,,,,330800000.0,,27300000.0,,,
TRN.MI,2023-09-30,3M,EUR,,-639500000.0,,15800000.0,-1114500000.0,,-158500000.0,,,,176200000.0,-1114500000.0,15800000.0,,209700000.0,209700000.0,,-1009200000.0,-34300000.0,,,,,-710500000.0,,230300000.0,229800000.0,,,,,605200000.0,,,,,
TRN.MI,2023-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,243700000.0,,,,,,,,,,,
TRN.MI,2024-03-31,3M,EUR,,-482700000.0,-482700000.0,,,,-62200000.0,,,,,,,,,,,,-84100000.0,,,,,,,268200000.0,267600000.0,,,,,398600000.0,,-15400000.0,,,
TRN.MI,2024-06-30,3M,EUR,,-521300000.0,,,,,66100000.0,,,,,,,,,,,,-391900000.0,,,,,,,276600000.0,277300000.0,,,,,129400000.0,,22300000.0,,,
TRN.MI,2024-06-30,TTM,EUR,2371600000.0,-2474900000.0,,-682600000.0,-623400000.0,-41600000.0,11300000.0,-100200000.0,289900000.0,-769500000.0,-643800000.0,-623400000.0,-682600000.0,424300000.0,825300000.0,825300000.0,1748200000.0,995300000.0,-1252100000.0,,-12600000.0,-341200000.0,145600000.0,-2841500000.0,-4200000.0,1018800000.0,1019800000.0,-432100000.0,838800000.0,,-178800000.0,1222800000.0,129600000.0,47100000.0,0.0,16800000.0,-371300000.0
