asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalExpenditureReported,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,IssuanceOfCapitalStock,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInvestments,OtherNonCashItems,OtherNonCurrentAssets,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,ShareIssued,SpecialIncomeCharges,StockBasedCompensation,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,-1286000.0,,,,,,,3551000.0,,-580000.0,,,,,,,,79000.0,,,,,,,,,,-581000.0,,,,2533000.0,,941000.0,,,,,,,,,,,,,,,,,,-33000.0,,,33077000.0,,,,,,,,61000.0,,,,,,,,8968000.0,,-1119000.0,1078000.0,,,,,,,,1920000.0,,,,,,,,,,,,,,955000.0,,,,,,,,165000.0,,,,,,,,,,,1078000.0,,,-1288000.0,3555000.0,,193000.0,,,,,,,,,,-1328000.0,,,,,-1119000.0,-581000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10973000.0,82536.0,,,
2020-12-31,12M,EUR,14688000.0,31044000.0,,450000.0,,5000.0,5521692.0,0.32,9581000.0,2592000.0,-325000.0,,3191000.0,588000.0,18840000.0,18922000.0,18835000.0,5000.0,9259000.0,61000.0,4107000.0,2038000.0,-2540000.0,244000.0,3910000.0,9259000.0,588000.0,31142000.0,-2652000.0,-181000.0,40100000.0,54173000.0,776000.0,4632000.0,776000.0,,41292000.0,722000.0,1749000.0,1749000.0,1749000.0,1299000.0,3115000.0,5521692.0,0.32,1792000.0,3130000.0,4879000.0,18840000.0,21220283.0,0.0,91000.0,9259000.0,-96000.0,31755000.0,32405000.0,,3978000.0,34339000.0,586000.0,586000.0,587000.0,587000.0,-307000.0,0.0,31142000.0,-416000.0,5000.0,1169000.0,-2652000.0,2666000.0,2415000.0,11439000.0,2415000.0,,1169000.0,222000.0,14000.0,38919283.0,254000.0,-30000.0,,-2833000.0,,,1792000.0,1792000.0,1822000.0,1792000.0,1792000.0,1822000.0,1822000.0,-35000.0,-91000.0,-950000.0,-950000.0,-35000.0,4541000.0,,3978000.0,-325000.0,-1263000.0,1470000.0,84000.0,5087000.0,,5860000.0,2494587.264151,9584000.0,30117000.0,4222000.0,74439000.0,5497074.0,2205000.0,2240000.0,650000.0,,697000.0,204000.0,-178000.0,4380000.0,1298000.0,111000.0,82000.0,,0.0,16376000.0,4380000.0,561000.0,2544000.0,0.0,1077000.0,-91000.0,,40100000.0,1749000.0,57000.0,,-181000.0,,2027000.0,5609610.0,-1077000.0,564000.0,31142000.0,-1263000.0,-278412.735849,722000.0,0.283805,1441000.0,-554000.0,95050000.0,31142000.0,3191000.0,31396000.0,70217000.0,63654000.0,40877000.0,22362000.0,3145000.0,36000.0,74439000.0,1688000.0,-981000.0,-981000.0,,112536.0,1093000.0,12881000.0,1077000.0
2021-12-31,12M,EUR,14184000.0,36040000.0,,530000.0,,5000.0,5492345.0,0.78,18840000.0,4591000.0,-1940000.0,,5482000.0,596000.0,10458000.0,10542000.0,10453000.0,5000.0,-8382000.0,0.0,-3000.0,1402000.0,-678000.0,-2008000.0,-1287000.0,-8382000.0,596000.0,36376000.0,-9645000.0,-759000.0,46825000.0,50741000.0,1473000.0,,1473000.0,,38665000.0,1498000.0,2408000.0,2408000.0,2408000.0,1878000.0,6575000.0,5492345.0,0.78,4263000.0,6390000.0,8798000.0,10458000.0,115263798.0,55000.0,-12212000.0,5476000.0,308000.0,41249000.0,42112000.0,,7141000.0,48210000.0,621000.0,621000.0,44000.0,44000.0,-250000.0,,36376000.0,-3586000.0,5000.0,,-9645000.0,4660000.0,4009000.0,,4009000.0,,,222000.0,11000.0,125149798.0,323000.0,-8000.0,-1949000.0,-10404000.0,,,4263000.0,4263000.0,4271000.0,4263000.0,4263000.0,4271000.0,4271000.0,-621000.0,303000.0,-1606000.0,-1606000.0,-621000.0,829000.0,-1949000.0,7141000.0,-1940000.0,-5736000.0,1789000.0,18000.0,6361000.0,,9540000.0,4812329.519847,7416000.0,41103000.0,7107000.0,95035000.0,5527192.0,2210000.0,2384000.0,863000.0,,543000.0,241000.0,,5213000.0,2470000.0,,84000.0,-31000.0,0.0,16465000.0,5213000.0,675000.0,5769000.0,0.0,487000.0,,-1940000.0,46825000.0,2408000.0,80000.0,,-759000.0,0.0,6106000.0,5527192.0,-456000.0,769000.0,36376000.0,-5736000.0,-192670.480153,1498000.0,0.259664,1274000.0,-1331000.0,103818000.0,36376000.0,5482000.0,36699000.0,87928000.0,67119000.0,53077000.0,28454000.0,6620000.0,44000.0,95035000.0,2281000.0,-742000.0,-742000.0,,,1743000.0,12076000.0,487000.0
2022-12-31,12M,EUR,16217000.0,41541000.0,,866000.0,,5000.0,5530892.0,1.01,10458000.0,,-2542000.0,,4770000.0,596000.0,9115000.0,9406000.0,9110000.0,5000.0,-1343000.0,,522000.0,-3215000.0,2046000.0,-3642000.0,-4289000.0,-1343000.0,596000.0,43007000.0,-2733000.0,-435000.0,49440000.0,55023000.0,1345000.0,,1345000.0,,42614000.0,1484000.0,3226000.0,3226000.0,3226000.0,2360000.0,13436000.0,5530892.0,1.01,5583000.0,8191000.0,11417000.0,9115000.0,56111247.0,576000.0,-1445000.0,2726000.0,,54868000.0,56802000.0,,6842000.0,57116000.0,1093000.0,1093000.0,107000.0,107000.0,-407000.0,,43007000.0,-5166000.0,5000.0,,-2733000.0,3780000.0,3425000.0,,3425000.0,,,100000.0,14000.0,60991247.0,399000.0,-31000.0,-4361000.0,-3168000.0,,,5583000.0,5583000.0,5614000.0,5583000.0,5583000.0,5614000.0,5614000.0,-1030000.0,1737000.0,2336000.0,2336000.0,-1030000.0,,-4361000.0,6842000.0,-2542000.0,-13795000.0,2206000.0,128000.0,5543000.0,,11095000.0,5328321.499014,5268000.0,49273000.0,7843000.0,106556000.0,5534596.0,1408000.0,3675000.0,1934000.0,,408000.0,267000.0,,,3048000.0,,291000.0,,0.0,17839000.0,5465000.0,603000.0,7098000.0,0.0,337000.0,,-2542000.0,49440000.0,3226000.0,170000.0,,-435000.0,-306000.0,10718000.0,5685460.0,-31000.0,518000.0,43007000.0,-13795000.0,67321.499014,1484000.0,0.209073,2065000.0,-1623000.0,121733000.0,43007000.0,4770000.0,43406000.0,98713000.0,78327000.0,66710000.0,35713000.0,7506000.0,44000.0,106556000.0,1622000.0,322000.0,322000.0,,150864.0,1793000.0,12409000.0,337000.0
2023-12-31,12M,EUR,16196000.0,45929000.0,,1337000.0,1337000.0,5000.0,5535771.0,0.63,9115000.0,5036000.0,-1977000.0,,6506000.0,596000.0,12029000.0,12136000.0,12025000.0,4000.0,2914000.0,,-791000.0,5165000.0,76000.0,-5001000.0,-551000.0,2914000.0,596000.0,47243000.0,-2686000.0,,52566000.0,62793000.0,2110000.0,,2110000.0,,50045000.0,1304000.0,2852000.0,4189000.0,4189000.0,2852000.0,9553000.0,5535771.0,0.63,3463000.0,6915000.0,11104000.0,12029000.0,69740172.0,236000.0,-4522000.0,7228000.0,309000.0,54871000.0,56950000.0,,8213000.0,64913000.0,2076000.0,2076000.0,367000.0,367000.0,-838000.0,,47243000.0,-1769000.0,5000.0,,-2686000.0,60000.0,4396000.0,,4396000.0,,,107000.0,16000.0,50877172.0,473000.0,-72000.0,0.0,-2806000.0,,721000.0,3463000.0,3463000.0,3535000.0,3463000.0,3463000.0,3535000.0,3535000.0,-1772000.0,208000.0,1560000.0,1560000.0,-1772000.0,,,8213000.0,-1977000.0,-9707000.0,1818000.0,18000.0,6477000.0,,12123000.0,4207402.769167,9205000.0,57184000.0,7729000.0,117479000.0,5536145.0,1728000.0,2728000.0,2079000.0,,774000.0,295000.0,,,3101000.0,,107000.0,-2000.0,0.0,19370000.0,5249000.0,742000.0,4839000.0,0.0,839000.0,,-1977000.0,52566000.0,4189000.0,240000.0,,,-127000.0,14795000.0,5685460.0,-710000.0,212000.0,47243000.0,-9707000.0,-274597.230833,1304000.0,0.269477,2258000.0,-1289000.0,130319000.0,47243000.0,6506000.0,47716000.0,109750000.0,82603000.0,67526000.0,32558000.0,6890000.0,63000.0,117479000.0,3174000.0,-1019000.0,-1019000.0,,149315.0,1776000.0,12748000.0,839000.0
