asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnSaleOfPPE,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TreasurySharesNumber,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,14478260.0,0.052285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14478260.0,0.052285,,,,,,,,,,,,54000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181000.0,745000.0,,,252000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000.0,76000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,12M,EUR,4974970.0,5596568.0,-404725.0,0.0,324095.0,40000.0,14478260.0,0.067782,661151.0,-113767.0,2800000.0,3601514.0,3601514.0,-65000.0,3576512.0,25002.0,45762.0,2940363.0,-2056479.0,-263819.0,1056974.0,-789959.0,-2007521.0,2940363.0,2800000.0,5586236.0,,,16907353.0,15663898.0,627940.0,627940.0,18531.0,6377407.0,527544.0,449301.0,449301.0,449301.0,125206.0,5366.0,14478260.0,0.067782,981360.0,,1590091.0,2039392.0,3601514.0,,,3684608.0,6126228.0,-512245.0,,38000.0,1978248.0,2065263.0,1709431.0,7944680.0,,81187.0,81187.0,-76168.0,6234709.0,13424655.0,-345767.0,40000.0,12000.0,182067.0,,4700000.0,7210479.0,7210479.0,4700000.0,-154827.0,194067.0,,316424.0,,,,,,4236905.0,981360.0,981360.0,981360.0,981360.0,981360.0,981360.0,981360.0,-22684.0,-76168.0,-232000.0,3749123.0,4545173.0,-76168.0,485.0,1304706.0,-91083.0,-796050.0,3520973.0,3857.0,334588.0,2139392.0,1046397.934819,-398478.0,6286932.0,1657748.0,24852033.0,14478260.0,137000.0,767000.0,87015.0,76168.0,-1.0,,3445107.0,570038.0,387233.0,138222.0,250000.0,0.0,5694874.0,,1508904.0,1005774.0,212181.0,,-22684.0,-252000.0,-91083.0,108481.0,16907353.0,449301.0,5678763.0,-154827.0,,,981360.0,,,20000.0,,19000.0,57000.0,14478260.0,-100000.0,5586236.0,3520973.0,-34962.065181,527544.0,0.349621,74354.0,-519749.0,19517933.0,12796715.0,7838419.0,5586236.0,23194285.0,13931697.0,3854035.0,7554290.0,-5019.0,24852033.0,149866.0,-100000.0,-100000.0,,,9286491.0,100000.0
2021-12-31,12M,EUR,6409082.0,10251254.0,-534378.0,9799997.0,764877.0,,14478260.0,0.16416,3601514.0,-2445828.0,5000000.0,13554428.0,14540401.0,-460000.0,13508059.0,46369.0,52002.0,9952914.0,564079.0,468081.0,1434112.0,-4689590.0,-2171316.0,9952914.0,5000000.0,19505098.0,11999997.0,0.0,29334968.0,30902584.0,1593146.0,1593146.0,35076.0,9956674.0,1146459.0,894531.0,894531.0,894531.0,129654.0,2108.0,14478260.0,0.16416,2376753.0,,3632216.0,4526747.0,13554428.0,55219866.0,0.0,10949078.0,5537331.0,-446097.0,,,1695641.0,3596564.0,1859079.0,13173643.0,,109004.0,109004.0,-92378.0,5670630.0,27106736.0,-2995895.0,0.0,1.0,48160.0,11999997.0,0.0,6008492.0,6008492.0,0.0,-1558237.0,48161.0,,333337.0,59360866.0,,,,11999997.0,,2376753.0,2376753.0,2376753.0,2376753.0,2376753.0,2376753.0,2376753.0,-2296178.0,-92378.0,-550067.0,-593031.0,-1558237.0,-92378.0,2112.0,1324701.0,-149650.0,965206.0,15908534.0,30.0,399608.0,4863153.0,2603691.932349,1999731.0,9189651.0,3983992.0,42508611.0,14478260.0,,,1900923.0,92378.0,,,5338122.0,856157.0,519968.0,319130.0,985973.0,0.0,8256933.0,,3523212.0,1005774.0,144910.0,,-2296178.0,-985973.0,-149650.0,133299.0,29334968.0,894531.0,722232.0,-1558237.0,0.0,,2376753.0,,,435906.0,,,,14478260.0,-150000.0,19505098.0,15908534.0,-109467.067651,1146459.0,0.325402,86093.0,-304631.0,35872010.0,25513590.0,7601638.0,19505098.0,38524619.0,16366912.0,4969426.0,6410238.0,-16626.0,42508611.0,991694.0,-336406.0,-336406.0,,,20945910.0,150000.0
2022-12-31,12M,EUR,7963048.0,11207209.0,-716499.0,9799997.0,1199485.0,3374.0,14478260.0,0.144408,13554428.0,-3813458.0,5000000.0,5168900.0,7139260.0,-939968.0,4938425.0,230475.0,29273.0,-8385528.0,-4310307.0,259661.0,1524240.0,-991024.0,-3488157.0,-8385528.0,5000000.0,18348208.0,0.0,-2484512.0,40511694.0,28898950.0,2551247.0,2551247.0,38690.0,11967113.0,1107086.0,1357364.0,1357364.0,1357364.0,157879.0,810.0,14478260.0,0.144408,2090771.0,0.0,3233243.0,4590607.0,5168900.0,54384738.0,3374.0,-1594123.0,9697012.0,-4520849.0,0.0,,3812027.0,5987579.0,2106279.0,9226998.0,0.0,94262.0,94262.0,-94261.0,9980937.0,27618833.0,-6084014.0,3374.0,1.0,1330956.0,0.0,2983500.0,6719378.0,6719378.0,2983500.0,-1364480.0,1330956.0,,426444.0,60221735.0,-8635.0,58876.0,0.0,-2484512.0,4101725.0,2090771.0,2090771.0,2031895.0,2090771.0,2090771.0,2031895.0,2031895.0,-3590500.0,-72429.0,-2270556.0,1648798.0,1619020.0,-72429.0,-2302953.0,1389780.0,-222958.0,29778.0,12360629.0,2056.0,581711.0,4853360.0,2260853.745622,-707391.0,5720372.0,3506626.0,49738692.0,13968412.0,,,2175552.0,122934.0,-80.0,-2.0,689796.0,1145253.0,659271.0,240462.0,1970360.0,0.0,9279998.0,0.0,3138981.0,1020564.0,212247.0,0.0,-3590500.0,-2270556.0,-222958.0,283925.0,40511694.0,1357364.0,1207537.0,-1364480.0,-2484512.0,212247.0,2090771.0,0.0,0.0,0.0,0.0,,,14478260.0,-262753.0,18348208.0,12360629.0,-92670.254378,1107086.0,0.35269,292392.0,-1927083.0,37610639.0,25067586.0,9270625.0,18339573.0,46232066.0,19271066.0,8711689.0,7303953.0,-21833.0,49738692.0,171697.0,-262753.0,-262753.0,509848.0,0.0,16931837.0,50506.0
2023-12-31,12M,EUR,13681479.0,12560632.0,-935545.0,9799997.0,1334767.0,,,,5168900.0,-2193435.0,5000000.0,1500506.0,4382896.0,,1162601.0,337905.0,25316.0,-3668394.0,-2803615.0,-1019815.0,5718431.0,-1568412.0,351905.0,-3668394.0,5000000.0,4996170.0,,,46546938.0,31768042.0,3682918.0,3682918.0,259839.0,19494835.0,-43965.0,1553814.0,1553814.0,1553814.0,219047.0,122172.0,,,-14876971.0,0.0,-14504869.0,-12951055.0,1500506.0,41898823.0,230.0,7295248.0,12005113.0,-12701118.0,0.0,,2408442.0,4958359.0,3284435.0,6295891.0,0.0,709270.0,709270.0,-648176.0,12784552.0,19937637.0,-455959.0,,,947939.0,,7061361.0,11258549.0,11258549.0,7061361.0,-2617493.0,947939.0,3349180.0,734842.0,38294418.0,-286534.0,293203.0,0.0,,13440961.0,-14876971.0,-14876971.0,-15170174.0,-14876971.0,-14876971.0,-15170174.0,-15170174.0,-959110.0,-569361.0,1737476.0,5670842.0,4443868.0,-569361.0,1624406.0,2348890.0,-1234325.0,1226974.0,37811.0,1702.0,1087386.0,-5201636.0,-7149945.853923,-10507683.0,13112435.0,-6816544.0,52842829.0,14342479.0,,,2549917.0,648176.0,,,5676870.0,1527975.0,977611.0,810872.0,2882390.0,0.0,15650733.0,0.0,-15214139.0,1571982.0,3793209.0,0.0,-959110.0,-912030.0,-1234325.0,779439.0,46546938.0,1553814.0,1588734.0,-2617493.0,,294920.0,-15086816.0,0.0,0.0,2649506.0,0.0,,,14478260.0,-7809315.0,4996170.0,37811.0,-22393.853923,-43965.0,0.00289,969251.0,-339414.0,40023460.0,16254719.0,14941467.0,4709636.0,59659373.0,35313824.0,8255418.0,15818989.0,-139909.0,52842829.0,441279.0,-7749419.0,-7749419.0,135781.0,0.0,12273207.0,7514395.0
