asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AssetsHeldForSaleCurrent,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnSaleOfPPE,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentsinAssociatesatCost,IssuanceOfCapitalStock,LandAndImprovements,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,552000.0,11182315.0,-0.39,,233000.0,,,,,,,232000.0,,,-119000.0,,,,,,,,,,,,,,,,378000.0,,,,,,11182315.0,-0.39,,,,,,,,0.0,,,,,,1492000.0,,,,,-45000.0,,,,,,2369000.0,648000.0,,,,,15000.0,,,,,,,,,,,,,,,,,,,,36000.0,,,,,,,,,,,,,,1000.0,,,,,18000.0,,,,,,,118000.0,,,,259000.0,,,,,-23000.0,,,25000.0,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,12M,EUR,1588000.0,1826000.0,-2206000.0,-314000.0,376000.0,376000.0,0.0,11182315.0,-0.08,232000.0,280000.0,-229000.0,1393000.0,1729000.0,658000.0,676000.0,658000.0,658000.0,426000.0,329000.0,,-188000.0,232000.0,-357000.0,-256000.0,427000.0,1729000.0,1608000.0,500000.0,,6103000.0,3364000.0,135000.0,2349000.0,2484000.0,6057000.0,115000.0,7000.0,412000.0,788000.0,788000.0,412000.0,11182315.0,-0.08,-864000.0,-1358000.0,-570000.0,658000.0,1522000.0,8000.0,-1086000.0,-23000.0,5195000.0,5450000.0,2140000.0,4117000.0,-838000.0,0.0,160000.0,160000.0,37000.0,37000.0,,291000.0,3957000.0,-238000.0,31000.0,500000.0,2285000.0,0.0,1258000.0,0.0,1258000.0,31000.0,27000.0,1098000.0,563000.0,500000.0,1691000.0,-864000.0,-864000.0,-1524000.0,97000.0,-864000.0,-961000.0,-1524000.0,-1427000.0,-229000.0,-128000.0,-50000.0,921000.0,0.0,-128000.0,101000.0,,1911000.0,41000.0,921000.0,-3842000.0,786000.0,50000.0,-987000.0,-1277920.0,-857000.0,968000.0,-1806000.0,5265000.0,11182315.0,-1000.0,,554000.0,-606000.0,255000.0,31000.0,-14000.0,-1000.0,180000.0,305000.0,1525000.0,47000.0,18000.0,-604000.0,0.0,2282000.0,81000.0,-1518000.0,0.0,166000.0,-229000.0,,6103000.0,788000.0,19000.0,19000.0,,117000.0,-7327000.0,41000.0,11182315.0,417000.0,1608000.0,-3842000.0,100080.0,7000.0,0.24,524000.0,0.0,10815000.0,1608000.0,3742000.0,2706000.0,7071000.0,8109000.0,7451000.0,2052000.0,-1389000.0,5000.0,5265000.0,389000.0,417000.0,417000.0,283000.0,-2693000.0,70000.0
2021-12-31,12M,EUR,1812000.0,1287000.0,-2361000.0,-216000.0,225000.0,225000.0,0.0,11182315.0,-0.25,658000.0,280000.0,-647000.0,1778000.0,1729000.0,445000.0,445000.0,445000.0,0.0,-212000.0,-65000.0,,-74000.0,15000.0,809000.0,685000.0,-213000.0,1729000.0,-245000.0,0.0,0.0,6882000.0,2356000.0,152000.0,2073000.0,2225000.0,5770000.0,71000.0,7000.0,175000.0,400000.0,400000.0,175000.0,11182315.0,-0.25,-2724000.0,-2673000.0,-2273000.0,445000.0,1620000.0,8000.0,-1825000.0,0.0,4709000.0,4879000.0,1503000.0,4605000.0,-1641000.0,486000.0,147000.0,147000.0,129000.0,129000.0,,356000.0,3323000.0,-655000.0,31000.0,0.0,2803000.0,0.0,1626000.0,1495000.0,3121000.0,31000.0,0.0,89000.0,102000.0,0.0,3123000.0,-2724000.0,-2724000.0,-2827000.0,0.0,-2724000.0,-2724000.0,-2827000.0,-2827000.0,-140000.0,-21000.0,-8000.0,1602000.0,1861000.0,-21000.0,18000.0,,2244000.0,-507000.0,-259000.0,-5124000.0,828000.0,58000.0,-1778000.0,-2347800.0,-1178000.0,659000.0,-2300000.0,5241000.0,11182315.0,,2000.0,583000.0,-601000.0,170000.0,31000.0,-97000.0,-1000.0,259000.0,189000.0,1522000.0,72000.0,,-31000.0,0.0,2232000.0,,-2820000.0,3083000.0,168000.0,-140000.0,-507000.0,6882000.0,400000.0,,,0.0,6000.0,-9082000.0,,11182315.0,-495000.0,-245000.0,-5124000.0,-118800.0,7000.0,0.24,196000.0,0.0,9569000.0,1250000.0,5346000.0,-156000.0,7541000.0,9725000.0,7212000.0,3955000.0,-2795000.0,3000.0,5241000.0,231000.0,-495000.0,-495000.0,348000.0,-3414000.0,34000.0
2022-12-31,12M,EUR,1091000.0,1395000.0,-1958000.0,-220000.0,158000.0,158000.0,,11182315.0,-0.21,445000.0,,-105000.0,1626000.0,1729000.0,98000.0,98000.0,98000.0,0.0,-347000.0,87000.0,,-152000.0,-479000.0,-259000.0,-803000.0,-347000.0,1729000.0,-2264000.0,300000.0,0.0,4977000.0,2095000.0,168000.0,3986000.0,4154000.0,7279000.0,122000.0,8000.0,227000.0,385000.0,385000.0,227000.0,11182315.0,-0.21,-2387000.0,-2206000.0,-1821000.0,98000.0,1809000.0,8000.0,-2157000.0,0.0,4090000.0,4207000.0,1615000.0,3973000.0,32000.0,619000.0,236000.0,236000.0,59000.0,59000.0,,269000.0,2973000.0,-104000.0,31000.0,300000.0,,,1458000.0,1251000.0,2709000.0,31000.0,,33000.0,63000.0,300000.0,5139000.0,-2387000.0,-2387000.0,-2450000.0,0.0,-2387000.0,-2387000.0,-2450000.0,-2450000.0,-105000.0,-185000.0,0.0,1509000.0,-420000.0,-185000.0,,,2015000.0,1000.0,1929000.0,-6471000.0,651000.0,58000.0,-1578000.0,-1112880.0,-2052000.0,1423000.0,-1391000.0,5009000.0,11182315.0,,,603000.0,-600000.0,117000.0,,-47000.0,-1000.0,299000.0,147000.0,891000.0,122000.0,,-8000.0,0.0,1431000.0,43000.0,-2442000.0,3082000.0,811000.0,-105000.0,,4977000.0,385000.0,,,0.0,176000.0,-11470000.0,1000.0,11182315.0,-862000.0,-2264000.0,-6471000.0,-206880.0,8000.0,0.24,211000.0,0.0,8407000.0,-1013000.0,6863000.0,-2231000.0,6400000.0,10638000.0,6311000.0,3359000.0,-2255000.0,8000.0,5009000.0,193000.0,-243000.0,-862000.0,261000.0,-5184000.0,75000.0
2023-12-31,12M,EUR,1108000.0,1029000.0,-2174000.0,-198000.0,221000.0,220000.0,,,,98000.0,,-465000.0,1483000.0,1729000.0,90000.0,90000.0,90000.0,,-8000.0,126000.0,,-37000.0,-98000.0,72000.0,-37000.0,-7000.0,1729000.0,-2862000.0,900000.0,0.0,4963000.0,1844000.0,207000.0,5076000.0,5283000.0,8196000.0,,8000.0,221000.0,441000.0,442000.0,221000.0,,,-1481000.0,-1089000.0,-647000.0,90000.0,1471000.0,8000.0,-1479000.0,,4090000.0,4404000.0,1227000.0,4016000.0,315000.0,,422000.0,422000.0,114000.0,114000.0,,143000.0,3089000.0,-464000.0,31000.0,900000.0,,,1276000.0,875000.0,2151000.0,31000.0,,-7000.0,38000.0,900000.0,5861000.0,-1481000.0,-1481000.0,-1519000.0,0.0,-1481000.0,-1481000.0,-1519000.0,-1519000.0,-417000.0,-331000.0,0.0,572000.0,-557000.0,-331000.0,-1000.0,1000.0,1842000.0,-48000.0,1129000.0,-7266000.0,702000.0,58000.0,-523000.0,-1386760.0,-1014000.0,1370000.0,-1055000.0,5278000.0,11182315.0,-1000.0,,624000.0,-601000.0,314000.0,,1000.0,-1000.0,198000.0,145000.0,934000.0,370000.0,,-92000.0,0.0,1470000.0,47000.0,-1511000.0,3082000.0,46000.0,-417000.0,-48000.0,4963000.0,441000.0,,,0.0,170000.0,-12950000.0,,11182315.0,-124000.0,-2862000.0,-7266000.0,-29760.0,8000.0,0.24,212000.0,0.0,8179000.0,-1987000.0,7434000.0,-2869000.0,6333000.0,11048000.0,6335000.0,2852000.0,-1181000.0,23000.0,5278000.0,217000.0,-124000.0,-124000.0,135000.0,-6352000.0,46000.0
