symbol,asOfDate,periodType,currencyCode,ChangeInCashSupplementalAsReported,ChangesInCash,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,NetIncome,OperatingCashFlow
BWZ.MI,2023-03-31,3M,EUR,109000.0,109000.0,616000.0,-373000.0,-134000.0,-464000.0,-373000.0
BWZ.MI,2023-06-30,3M,EUR,-99000.0,-99000.0,-106000.0,-127000.0,-194000.0,-209000.0,201000.0
BWZ.MI,2023-09-30,3M,EUR,0.0,1000.0,470000.0,-116000.0,-25000.0,-356000.0,-444000.0
BWZ.MI,2023-12-31,3M,EUR,-18000.0,-18000.0,491000.0,-863000.0,-111000.0,-452000.0,-398000.0
BWZ.MI,2024-03-31,3M,EUR,21000.0,21000.0,788000.0,-741000.0,-26000.0,-453000.0,-741000.0
BWZ.MI,2024-03-31,TTM,EUR,-96000.0,-95000.0,1643000.0,-1847000.0,-356000.0,-1470000.0,-1382000.0
