asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangesInCash,CommonStock,CommonStockEquity,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,FinancingCashFlow,FinishedGoods,FreeCashFlow,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MinorityInterest,MinorityInterests,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NetPPE,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PretaxIncome,Properties,ReconciledCostOfRevenue,ReconciledDepreciation,RestructuringAndMergernAcquisition,RetainedEarnings,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WorkInProcess,WorkingCapital,WriteOff
2022-12-31,3M,EUR,,,-1958000.0,,-220000.0,,,,1626000.0,1729000.0,98000.0,98000.0,98000.0,0.0,,,1729000.0,,,,168000.0,3986000.0,4154000.0,,122000.0,,,,,,,,,,,,,,3973000.0,,,,,,31000.0,,1458000.0,1251000.0,2709000.0,,,,5139000.0,,,,,,,,,,,,,58000.0,,,,,,,,603000.0,-600000.0,,-1000.0,,147000.0,891000.0,,-189000.0,,,,3082000.0,,,0.0,-11470000.0,,,,,,,,211000.0,,,6863000.0,,,,,,,,193000.0,,,,,
2023-03-31,3M,EUR,1246000.0,1600000.0,,0.0,,58000.0,11182315.0,-0.041494,,1729000.0,207000.0,207000.0,,,109000.0,109000.0,1729000.0,-2727000.0,1500000.0,2643000.0,,,,8473000.0,199000.0,87000.0,87000.0,11182315.0,-0.041494,-464000.0,-304000.0,-217000.0,616000.0,8000.0,-373000.0,4090000.0,4301000.0,1600000.0,,-170000.0,343000.0,-2727000.0,-134000.0,58000.0,31000.0,,,,,31000.0,10000.0,22000.0,,-464000.0,-464000.0,-486000.0,0.0,-464000.0,-464000.0,-486000.0,-107000.0,-107000.0,1969000.0,-7028000.0,681000.0,,-140000.0,-387000.0,-373000.0,134000.0,-304000.0,1330000.0,11182315.0,2113000.0,-600000.0,211000.0,1000.0,47000.0,,,493000.0,,0.0,1246000.0,-486000.0,,1500000.0,87000.0,0.0,-11933000.0,11182315.0,-77000.0,-2727000.0,-7028000.0,0.0,0.0,0.0,,9002000.0,-2727000.0,,-2717000.0,1634000.0,11719000.0,6359000.0,3246000.0,-379000.0,1330000.0,,-77000.0,-77000.0,335000.0,-5830000.0,77000.0
2023-06-30,3M,EUR,1165000.0,1702000.0,-1996000.0,,-220000.0,,,,1264000.0,1729000.0,108000.0,108000.0,108000.0,0.0,-99000.0,-99000.0,1729000.0,-2629000.0,913000.0,2548000.0,200000.0,4431000.0,4631000.0,8508000.0,122000.0,114000.0,25000.0,,,-209000.0,-109000.0,5000.0,-106000.0,8000.0,-127000.0,4090000.0,4406000.0,1922000.0,3940000.0,219000.0,281000.0,3179000.0,-194000.0,,31000.0,3082000.0,1064000.0,1377000.0,2441000.0,31000.0,22000.0,-10000.0,5700000.0,-209000.0,-209000.0,-199000.0,,-209000.0,-209000.0,-199000.0,19000.0,19000.0,1944000.0,-7035000.0,647000.0,58000.0,102000.0,-135280.0,201000.0,335000.0,-116000.0,1132000.0,11182315.0,762000.0,-600000.0,316000.0,,-17000.0,160000.0,858000.0,260000.0,,0.0,1534000.0,-194000.0,0.0,913000.0,114000.0,90000.0,-12142000.0,11182315.0,-97000.0,-2629000.0,-7035000.0,-23280.0,4000.0,0.24,197000.0,8989000.0,-1252000.0,7072000.0,-2607000.0,1248000.0,11596000.0,6439000.0,3088000.0,-213000.0,1132000.0,209000.0,-97000.0,-97000.0,273000.0,-5960000.0,
2023-09-30,3M,EUR,1080000.0,1156000.0,,0.0,,58000.0,,,,1729000.0,,,,,0.0,1000.0,1729000.0,-2685000.0,1973000.0,1843000.0,,,,3108000.0,122000.0,113000.0,202000.0,,,-356000.0,-379000.0,-266000.0,470000.0,8000.0,-116000.0,4090000.0,4405000.0,1156000.0,,-458000.0,373000.0,-2685000.0,-25000.0,58000.0,31000.0,,,,7135000.0,31000.0,13000.0,9000.0,,-356000.0,-356000.0,-365000.0,,-356000.0,-356000.0,-365000.0,-122000.0,-122000.0,1895000.0,-7090000.0,661000.0,,-398000.0,-456320.0,-444000.0,-86000.0,-372000.0,1515000.0,11182315.0,,-600000.0,315000.0,,39000.0,1906000.0,,314000.0,-88000.0,0.0,2986000.0,-364000.0,,1973000.0,113000.0,-90000.0,-12498000.0,11182315.0,132000.0,-2685000.0,-7090000.0,31680.0,2000.0,0.24,,8232000.0,-2685000.0,7135000.0,-2672000.0,1887000.0,10904000.0,6389000.0,7796000.0,-241000.0,1515000.0,,132000.0,132000.0,365000.0,-1265000.0,46000.0
2023-12-31,3M,EUR,1108000.0,1029000.0,-2174000.0,,-198000.0,,,,1483000.0,1729000.0,90000.0,90000.0,90000.0,,-18000.0,-18000.0,1729000.0,-2862000.0,577000.0,1844000.0,207000.0,5076000.0,5283000.0,8196000.0,,128000.0,-93000.0,,,-452000.0,-220000.0,-92000.0,491000.0,8000.0,-863000.0,4090000.0,4404000.0,1227000.0,4016000.0,724000.0,143000.0,3089000.0,-111000.0,,31000.0,,1276000.0,875000.0,2151000.0,31000.0,-7000.0,17000.0,5861000.0,-452000.0,-452000.0,-469000.0,0.0,-452000.0,-452000.0,-469000.0,-121000.0,-121000.0,1842000.0,-7266000.0,702000.0,58000.0,67000.0,-331160.0,-398000.0,910000.0,-186000.0,1301000.0,11182315.0,624000.0,-601000.0,314000.0,-1000.0,52000.0,145000.0,934000.0,370000.0,-11000.0,0.0,1470000.0,-467000.0,3082000.0,577000.0,128000.0,170000.0,-12950000.0,11182315.0,-159000.0,-2862000.0,-7266000.0,-38160.0,2000.0,0.24,212000.0,8179000.0,-1987000.0,7434000.0,-2869000.0,1487000.0,11048000.0,6335000.0,2852000.0,-348000.0,1301000.0,217000.0,-159000.0,-159000.0,135000.0,-6352000.0,0.0
2024-03-31,3M,EUR,1116000.0,1547000.0,,,,58000.0,,,,,,,,,21000.0,21000.0,,-3015000.0,1511000.0,2431000.0,,,,3257000.0,,99000.0,99000.0,,,-453000.0,-336000.0,-237000.0,788000.0,8000.0,-741000.0,4090000.0,4374000.0,1547000.0,,-190000.0,89000.0,-3015000.0,-26000.0,58000.0,,,,,7811000.0,31000.0,-26000.0,18000.0,,-453000.0,-453000.0,-471000.0,0.0,-453000.0,-453000.0,-471000.0,-133000.0,-133000.0,1800000.0,-7389000.0,667000.0,,-237000.0,-453000.0,-741000.0,146000.0,-336000.0,1321000.0,11182315.0,1000.0,,284000.0,,47000.0,2140000.0,,795000.0,,0.0,3256000.0,-469000.0,,1511000.0,99000.0,,,11182315.0,0.0,-3015000.0,-7389000.0,0.0,2000.0,0.4,,8694000.0,-3015000.0,7811000.0,-3041000.0,1657000.0,11735000.0,6263000.0,8478000.0,-336000.0,1321000.0,,0.0,0.0,81000.0,-826000.0,0.0
