symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,RepurchaseOfCapitalStock,SaleOfPPE,TaxesRefundPaid
BWZ.MI,2019-12-31,12M,EUR,,,,,,-119000.0,,,,,,,,,,,,,,0.0,-45000.0,,,,,,,,,,,36000.0,,,,1000.0,,259000.0,,,-23000.0,,,
BWZ.MI,2020-12-31,12M,EUR,376000.0,232000.0,-229000.0,426000.0,329000.0,,-188000.0,232000.0,-357000.0,-256000.0,427000.0,500000.0,,7000.0,412000.0,788000.0,658000.0,1522000.0,-1086000.0,-23000.0,,-238000.0,500000.0,500000.0,-864000.0,-1524000.0,-229000.0,-50000.0,921000.0,0.0,101000.0,,41000.0,921000.0,-857000.0,-1000.0,-14000.0,81000.0,166000.0,-229000.0,,,41000.0,0.0
BWZ.MI,2021-12-31,12M,EUR,225000.0,658000.0,-647000.0,-212000.0,-65000.0,,-74000.0,15000.0,809000.0,685000.0,-213000.0,0.0,0.0,7000.0,175000.0,400000.0,445000.0,1620000.0,-1825000.0,0.0,,-655000.0,0.0,0.0,-2724000.0,-2827000.0,-140000.0,-8000.0,1602000.0,1861000.0,18000.0,,-507000.0,-259000.0,-1178000.0,,-97000.0,,168000.0,-140000.0,-507000.0,0.0,,0.0
BWZ.MI,2022-12-31,12M,EUR,158000.0,445000.0,-105000.0,-347000.0,87000.0,,-152000.0,-479000.0,-259000.0,-803000.0,-347000.0,300000.0,0.0,8000.0,227000.0,385000.0,98000.0,1809000.0,-2157000.0,0.0,,-104000.0,300000.0,300000.0,-2387000.0,-2450000.0,-105000.0,0.0,1509000.0,-420000.0,,,1000.0,1929000.0,-2052000.0,,-47000.0,43000.0,811000.0,-105000.0,,0.0,1000.0,0.0
BWZ.MI,2023-12-31,12M,EUR,220000.0,98000.0,-465000.0,-8000.0,126000.0,,-37000.0,-98000.0,72000.0,-37000.0,-7000.0,900000.0,0.0,8000.0,221000.0,441000.0,90000.0,1471000.0,-1479000.0,,,-464000.0,900000.0,900000.0,-1481000.0,-1519000.0,-417000.0,0.0,572000.0,-557000.0,-1000.0,1000.0,-48000.0,1129000.0,-1014000.0,-1000.0,1000.0,47000.0,46000.0,-417000.0,-48000.0,0.0,,0.0
BWZ.MI,2024-03-31,TTM,EUR,,,,-96000.0,,,,,,,-95000.0,,,,,,,1643000.0,-1847000.0,,,-356000.0,,,-1470000.0,,,,,,,,,,-1382000.0,,,,,,,,,
