asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,DerivativeProductLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,7910000.0,10928000.0,8633000.0,-313000.0,55000.0,5319000.0,8462000.0,8462000.0,8462000.0,5319000.0,20652000.0,35506000.0,253000.0,5714000.0,5714000.0,373000.0,16897000.0,0.0,42000.0,578000.0,9159000.0,11241000.0,7065000.0,107000.0,-326000.0,10032000.0,39758000.0,452000.0,55000.0,13392000.0,13392000.0,613000.0,423000.0,-55000.0,10644000.0,7065000.0,11493000.0,984000.0,563000.0,1104000.0,41000.0,13794935.0,2453000.0,806000.0,,8581000.0,,16000.0,1000.0,2550000.0,896000.0,700000.0,2755000.0,10460000.0,395000.0,151000.0,5746000.0,7182000.0,656000.0,13794935.0,20652000.0,11493000.0,2300000.0,53166000.0,34044000.0,19106000.0,20597000.0,32569000.0,17660000.0,15672000.0,3134000.0,18609000.0
2023-06-30,3M,EUR,6385000.0,9389000.0,11546000.0,-315000.0,,7233000.0,5359000.0,10279000.0,5359000.0,7233000.0,26419000.0,38055000.0,,6166000.0,6166000.0,466000.0,17025000.0,,161000.0,578000.0,10032000.0,9704000.0,7489000.0,92000.0,-381000.0,12779000.0,44134000.0,,,11549000.0,11549000.0,576000.0,415000.0,-65000.0,12356000.0,7489000.0,16387000.0,1181000.0,555000.0,1153000.0,39000.0,17623887.0,2742000.0,1000.0,1000.0,9454000.0,1000.0,21000.0,,2651000.0,1225000.0,241000.0,4920000.0,9036000.0,303000.0,473000.0,5849000.0,8854000.0,237000.0,17623887.0,26419000.0,16387000.0,1594000.0,57212000.0,37968000.0,17715000.0,26354000.0,30858000.0,19157000.0,13833000.0,4144000.0,21030000.0
2023-12-31,3M,EUR,7579000.0,10904000.0,13230000.0,-302000.0,,7233000.0,7026000.0,12173000.0,7026000.0,7233000.0,26935000.0,38771000.0,,7618000.0,7618000.0,342000.0,18275000.0,,98000.0,578000.0,10277000.0,11206000.0,7600000.0,87000.0,-456000.0,10671000.0,45341000.0,,,10788000.0,10788000.0,440000.0,387000.0,1000.0,11380000.0,7600000.0,16658000.0,1130000.0,546000.0,1226000.0,39000.0,17623887.0,2286000.0,,1000.0,9699000.0,,-2000.0,,2182000.0,1372000.0,700000.0,5147000.0,9761000.0,,334000.0,5841000.0,7939000.0,799000.0,17623887.0,26935000.0,16658000.0,1274000.0,58211000.0,37723000.0,18406000.0,26936000.0,31275000.0,19439000.0,13000000.0,3090000.0,20496000.0
