symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,InterestPaidCFF,InvestingCashFlow,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfPPE,TaxesRefundPaid
VIM.MI,2020-12-31,12M,EUR,6782000.0,-2620000.0,,-1745000.0,43000.0,-1985000.0,1279000.0,-663000.0,-1745000.0,0.0,-1000.0,-556000.0,4284000.0,4284000.0,5037000.0,-2231000.0,318000.0,-20000.0,-479000.0,-2452000.0,-7301000.0,0.0,-1000.0,-255000.0,-255000.0,-887000.0,0.0,-7301000.0,-7301000.0,5550000.0,,-1565000.0,2938000.0,,628000.0,-25000.0,0.0,-887000.0,0.0,-1733000.0,-7301000.0,-1000.0,168000.0,-455000.0
VIM.MI,2021-12-31,12M,EUR,5037000.0,-2025000.0,,-3126000.0,-1774000.0,1628000.0,-1663000.0,-1809000.0,-3126000.0,0.0,0.0,188000.0,3221000.0,3221000.0,1911000.0,-4641000.0,1515000.0,-10000.0,-341000.0,-2025000.0,-7300000.0,0.0,0.0,2088000.0,2088000.0,-771000.0,0.0,-7300000.0,-7300000.0,3000000.0,,-1254000.0,3540000.0,,-152000.0,14000.0,0.0,-771000.0,0.0,-1254000.0,-7300000.0,0.0,0.0,0.0
VIM.MI,2022-12-31,12M,EUR,1911000.0,-2615000.0,,-365000.0,-1767000.0,-2072000.0,1005000.0,-2834000.0,-365000.0,0.0,0.0,208000.0,3765000.0,3765000.0,1546000.0,109000.0,-518000.0,-44000.0,-359000.0,-2571000.0,-4956000.0,0.0,0.0,1745000.0,1745000.0,-578000.0,0.0,-4956000.0,-4956000.0,5424000.0,,-1993000.0,2097000.0,,-390000.0,-292000.0,0.0,-578000.0,0.0,-2037000.0,-4956000.0,0.0,44000.0,-61000.0
VIM.MI,2023-12-31,12M,EUR,1546000.0,-1980000.0,-714000.0,1446000.0,955000.0,322000.0,-3284000.0,-2007000.0,1447000.0,-714000.0,0.0,241000.0,4651000.0,4651000.0,2991000.0,1961000.0,3179000.0,4000.0,-1174000.0,-5673000.0,-4470000.0,-3694000.0,0.0,1958000.0,1958000.0,-434000.0,0.0,-4470000.0,-4470000.0,8319000.0,1000.0,-1546000.0,5159000.0,-2000.0,456000.0,-78000.0,-3694000.0,-434000.0,0.0,-1546000.0,-4470000.0,0.0,0.0,-66000.0
VIM.MI,2023-12-31,TTM,EUR,1546000.0,-1980000.0,-714000.0,1446000.0,955000.0,322000.0,-3284000.0,-2007000.0,1447000.0,-714000.0,0.0,241000.0,4651000.0,4651000.0,2991000.0,1961000.0,3179000.0,4000.0,-1174000.0,-5673000.0,-4470000.0,-3694000.0,0.0,1958000.0,1958000.0,-434000.0,0.0,-4470000.0,-4470000.0,8319000.0,1000.0,-1546000.0,5159000.0,-2000.0,456000.0,-78000.0,-3694000.0,-434000.0,0.0,-1546000.0,-4470000.0,0.0,0.0,-66000.0
