symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
VIM.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,113000.0,58000.0,,,,,,,,,,,,,,,,,,,,,,1000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,3850000.0,
VIM.MI,2020-12-31,12M,EUR,7531000.0,9642000.0,-45744000.0,9820000.0,-102000.0,4088000.0,4043000.0,9322000.0,5037000.0,5037000.0,5034000.0,3000.0,9322000.0,25996000.0,36000.0,24834000.0,850000.0,3665000.0,4515000.0,15925000.0,112000.0,103000.0,7716000.0,14210000.0,15999000.0,9744000.0,62559000.0,9423000.0,42773000.0,5694000.0,3193000.0,13112000.0,16305000.0,112000.0,46081000.0,11740000.0,16815000.0,9997000.0,768000.0,5398000.0,3000.0,1211000.0,13317000.0,-1000.0,,1789000.0,4000.0,2810000.0,3058000.0,6660000.0,386000.0,11180000.0,0.0,1707000.0,3638000.0,13317000.0,25996000.0,9997000.0,347000.0,63233000.0,39108000.0,20820000.0,25996000.0,37237000.0,38399000.0,21312000.0,591000.0,,3723000.0,8909000.0
VIM.MI,2021-12-31,12M,EUR,9507000.0,10458000.0,-49041000.0,8955000.0,-84000.0,4088000.0,3364000.0,9646000.0,1911000.0,1911000.0,1910000.0,1000.0,9646000.0,28199000.0,194000.0,25092000.0,848000.0,4958000.0,5806000.0,21579000.0,,0.0,9213000.0,14210000.0,16448000.0,10541000.0,63969000.0,11197000.0,40677000.0,5712000.0,2516000.0,7520000.0,10036000.0,112000.0,46946000.0,10567000.0,14928000.0,11751000.0,947000.0,5485000.0,7000.0,1225000.0,13463321.0,-1000.0,1000.0,2238000.0,-3000.0,-1000.0,5310000.0,7029000.0,244000.0,15229000.0,0.0,1984000.0,7642000.0,13601321.0,28199000.0,11751000.0,1283000.0,62104000.0,35719000.0,15842000.0,28199000.0,33905000.0,37011000.0,12326000.0,412000.0,138000.0,,3513000.0
VIM.MI,2022-12-31,12M,EUR,9139000.0,9758000.0,-52379000.0,8955000.0,-91000.0,4088000.0,2687000.0,9646000.0,1546000.0,1546000.0,1544000.0,2000.0,9646000.0,30257000.0,752000.0,25636000.0,762000.0,9863000.0,10625000.0,24213000.0,,,10329000.0,14210000.0,16783000.0,9849000.0,65998000.0,12964000.0,43201000.0,5790000.0,1925000.0,3081000.0,5006000.0,112000.0,47881000.0,11398000.0,13619000.0,13474000.0,998000.0,5421000.0,44000.0,896000.0,13462821.0,,1000.0,2573000.0,-3000.0,1000.0,3398000.0,7487000.0,492000.0,12973000.0,0.0,2635000.0,9082000.0,13601321.0,30257000.0,13474000.0,876000.0,61527000.0,33338000.0,15631000.0,30257000.0,31270000.0,35891000.0,7057000.0,436000.0,138500.0,,1423000.0
VIM.MI,2023-12-31,12M,EUR,9509000.0,15609000.0,-60897000.0,8955000.0,-208000.0,5944000.0,4339000.0,9646000.0,2991000.0,2991000.0,2989000.0,2000.0,9646000.0,31349000.0,208000.0,34649000.0,1187000.0,9577000.0,10764000.0,30755000.0,,,10225000.0,17448000.0,19884000.0,15817000.0,76933000.0,13381000.0,49428000.0,5811000.0,3152000.0,8502000.0,11654000.0,120000.0,56732000.0,15088000.0,16036000.0,11465000.0,1036000.0,5675000.0,7000.0,1610000.0,13462821.0,,-1000.0,2436000.0,99000.0,1000.0,8104000.0,8238000.0,511000.0,19122000.0,0.0,3156000.0,10510000.0,13601321.0,31349000.0,11465000.0,2157000.0,76532000.0,39851000.0,22418000.0,31349000.0,45183000.0,41882000.0,14428000.0,1509000.0,138500.0,,3894000.0
