symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
MQSPA.MI,2022-12-31,3M,EUR,11865516.0,31281033.0,-2826623.0,,687929.0,2795496.0,1829588.0,7548858.0,7668377.0,7297979.0,250879.0,1829588.0,25431246.0,58405020.0,480085.0,,480085.0,40774425.0,489307.0,46052783.0,55991322.0,4422885.0,489307.0,25431246.0,888354.0,2315411.0,39938135.0,2315411.0,640834.0,86188.0,7877723.0,32389277.0,4422885.0,-30560076.0,32130.0,2010768.0,751171.0,57079747.0,18966303.0,16637269.0,9451827.0,1.0,-3.0,1406253.0,4422885.0,936352.0,119519.0,15460548.0,,0.0,7314777.0,57079747.0,25431246.0,-30560076.0,5713607.0,119739710.0,25431246.0,2795496.0,33308969.0,86430741.0,61334691.0,45656316.0,3595032.0,,17630595.0
MQSPA.MI,2023-06-30,3M,EUR,14102992.0,34886759.0,-2826623.0,363394.0,1002189.0,423367.0,2326859.0,3714720.0,4845389.0,3426788.0,287932.0,2326859.0,25879100.0,53690112.0,65317.0,6238044.0,6303361.0,33424750.0,295361.0,38275350.0,51861653.0,4661086.0,295361.0,70805279.0,363394.0,358050.0,38688135.0,39046185.0,389956.0,73755.0,6416959.0,41211459.0,1834463.0,-25982553.0,5557.0,2010768.0,1152948.0,62871469.0,7975531.0,5208009.0,13586303.0,565489.0,,2031858.0,3585142.0,958428.0,1130669.0,19208541.0,831555.0,0.0,-2542606.0,63387370.0,25879100.0,-25982553.0,4728644.0,108320666.0,64567235.0,45349546.0,32296059.0,76024607.0,54630556.0,42599857.0,3073691.0,515901.0,20265362.0
