symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
MQSPA.MI,2019-12-31,12M,EUR,7194000.0,9112000.0,,-78000.0,,2544000.0,50000.0,2537000.0,2537000.0,2537000.0,,50000.0,3208000.0,16896000.0,522000.0,1348000.0,1870000.0,14501000.0,,,10349000.0,9280000.0,4246000.0,391000.0,6024000.0,45000.0,2022000.0,1468000.0,3490000.0,,,,279000.0,4246000.0,-7141000.0,,109000.0,654000.0,50714000.0,117000.0,3004000.0,,573000.0,-2000.0,257000.0,4246000.0,2454000.0,,9049000.0,,3111000.0,50714000.0,3208000.0,-7141000.0,2285000.0,32108000.0,4676000.0,5360000.0,3208000.0,28900000.0,15213000.0,14399000.0,1598000.0,,2395000.0
MQSPA.MI,2020-12-31,12M,EUR,4340060.0,11410648.0,-2442383.0,-104000.0,2099885.0,3529650.0,50000.0,2135640.0,2396159.0,2065267.0,70373.0,50000.0,6383949.0,22064176.0,762432.0,3860000.0,762432.0,14457797.0,715912.0,9309076.0,9874027.0,11517000.0,7507759.0,715912.0,18622738.0,231553.0,2767218.0,12238789.0,15006007.0,675841.0,159717.0,0.0,10103149.0,5065376.0,-3490078.0,33035.0,97165.0,647407.0,50714000.0,2770158.0,1664499.0,564951.0,-1.0,,1106094.0,5248157.0,862211.0,260519.0,7753131.0,0.0,4588503.0,50714000.0,6383949.0,-3490078.0,3909088.0,37268166.0,18622738.0,15768439.0,6383949.0,30884217.0,15203990.0,16426420.0,2306977.0,,7606379.0
MQSPA.MI,2021-12-31,12M,EUR,6302790.0,23045070.0,-1930313.0,,1032700.0,3120294.0,1282100.0,6482690.0,7384634.0,6318288.0,164402.0,1282100.0,20198701.0,40363751.0,512396.0,,512396.0,21606113.0,392845.0,19312633.0,20501336.0,,6667520.0,392845.0,34638899.0,183072.0,2607898.0,14440198.0,17048096.0,303781.0,83172.0,5568889.0,7957508.0,4737207.0,-302635.0,22762.0,328315.0,754231.0,51257748.0,6232721.0,6426461.0,1188703.0,,1.0,460462.0,5551648.0,521314.0,901944.0,9988279.0,0.0,6264711.0,52321000.0,20198701.0,-302635.0,2787167.0,65808127.0,34638899.0,17560492.0,25767590.0,40040537.0,25444377.0,18434424.0,3225027.0,1063252.0,18757638.0
MQSPA.MI,2022-12-31,12M,EUR,11865516.0,31281033.0,-2826623.0,,687929.0,2795496.0,1829588.0,7548858.0,7668377.0,7297979.0,250879.0,1829588.0,25431246.0,58405020.0,480085.0,,480085.0,40774425.0,489307.0,46052783.0,55991322.0,,4422885.0,489307.0,25431246.0,888354.0,2315411.0,39938135.0,2315411.0,640834.0,86188.0,7877723.0,32389277.0,4422885.0,-30560076.0,32130.0,2010768.0,751171.0,57079747.0,18966303.0,16637269.0,9451827.0,1.0,-3.0,1406253.0,4422885.0,936352.0,119519.0,15460548.0,0.0,7314777.0,57079747.0,25431246.0,-30560076.0,5713607.0,119739710.0,25431246.0,2795496.0,33308969.0,86430741.0,61334691.0,45656316.0,3595032.0,,17630595.0
