symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfPPE,StockBasedCompensation,TaxesRefundPaid
FF.MI,2022-06-30,TTM,EUR,982094.0,4606334.0,-19529193.0,-3866869.0,16078465.0,-12702627.0,4188263.0,3223919.0,-12026591.0,-17317036.0,16078466.0,,,-5427745.0,13360231.0,14342325.0,20684800.0,55598375.0,-24908520.0,4560587.0,-46045.0,-946783.0,-34140582.0,135316742.0,135316742.0,-58533737.0,-8708048.0,-5401450.0,-995630.0,-995630.0,-943185.0,-6106943.0,76783005.0,76783005.0,,-18382406.0,-5379327.0,-1.0,1232085.0,-198859.0,,-8708048.0,-943185.0,-18586008.0,-58533737.0,,203602.0,551783.0,-4041490.0
FF.MI,2022-12-31,3M,EUR,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-111000.0,0.0,,,,,,0.0,0.0
FF.MI,2023-03-31,3M,EUR,196564.0,10232262.0,-4842509.0,,-8239193.0,-8951249.0,1676930.0,8552478.0,-12438848.0,-11160689.0,-8239193.0,,-87963.0,1322783.0,3551938.0,3748502.0,1993070.0,2598366.0,-8983518.0,-1101887.0,15709.0,-1021690.0,-6696550.0,15348796.0,15348796.0,-12499411.0,,-87963.0,2906338.0,2906338.0,-256346.0,-1859409.0,2849385.0,2849385.0,-1.0,-4580794.0,-4141009.0,1.0,1033936.0,-122835.0,,,-256346.0,-4586163.0,-12499411.0,-87963.0,5369.0,,
FF.MI,2023-06-30,3M,EUR,214987.0,1993070.0,-4354959.0,,47250142.0,-2177093.0,-1584197.0,-3849873.0,2688706.0,-4922457.0,47250142.0,,,232760.0,3805326.0,4020313.0,49243212.0,-1731141.0,-5603036.0,-600649.0,-37597.0,-1197995.0,50229360.0,11935725.0,11935725.0,-10992138.0,,0.0,-4569610.0,-4569610.0,-179766.0,54229814.0,943587.0,943587.0,0.0,-3820688.0,-1248077.0,0.0,1224073.0,-51279.0,,,-179766.0,-4175193.0,-10992138.0,,354505.0,,
FF.MI,2023-09-30,3M,EUR,224903.0,49243212.0,-3827004.0,0.0,-7968757.0,4388993.0,35637.0,-7428712.0,6981339.0,3977257.0,-7968757.0,,,716773.0,3764603.0,3989506.0,41274454.0,-12276966.0,4134265.0,-983.0,-77148.0,-1090782.0,-3653060.0,-173607.0,-173607.0,-11822718.0,,-133795.0,-97065.0,-97065.0,-122628.0,12755.0,-11996325.0,-11996325.0,,-3543188.0,7961269.0,,1101320.0,-108254.0,-32600.0,,-122628.0,-3704376.0,-11822718.0,,161188.0,,
FF.MI,2023-12-31,3M,EUR,250823.0,41274454.0,-5843474.0,0.0,-22274408.0,4285791.0,2909385.0,1645101.0,3712021.0,12552298.0,-22274408.0,0.0,,-605416.0,4794297.0,5045120.0,19000047.0,-44248361.0,10122538.0,0.0,72789.0,-1240225.0,6007941.0,-24807301.0,-24807301.0,-19205589.0,,-118817.0,-1761761.0,-1761761.0,-182875.0,11733596.0,-44012890.0,-44012890.0,,-5542780.0,15966012.0,,1265395.0,-42067.0,-1600.0,,-182875.0,-5660599.0,-19205589.0,,117819.0,,
FF.MI,2024-03-31,3M,EUR,196420.0,19000047.0,-5542767.0,,-5111405.0,2398005.0,1165008.0,831104.0,-6093584.0,-1699467.0,-5111404.0,,,408250.0,3599686.0,3796106.0,13888641.0,-5473809.0,86989.0,19496.0,-23926.0,-1074706.0,-5267351.0,162734.0,162734.0,-5382224.0,,-118327.0,2817791.0,2817791.0,-238482.0,195783.0,-5219490.0,-5219490.0,1.0,-5224653.0,5629756.0,-2.0,1074706.0,6982.0,,,-238482.0,-5304285.0,-5382224.0,,79632.0,,
FF.MI,2024-03-31,TTM,EUR,887133.0,1993070.0,-19568204.0,,11895572.0,8895696.0,2525833.0,-8802380.0,7288482.0,9907631.0,11895573.0,,,752367.0,15963912.0,16851045.0,13888643.0,-63730277.0,8740756.0,-582136.0,-65882.0,-4603708.0,47316890.0,-12882449.0,-12882449.0,-47402669.0,,-370939.0,-3610645.0,-3610645.0,-723751.0,66171948.0,-60285118.0,-60285118.0,,-18131309.0,28308960.0,-2.0,4665494.0,-194618.0,,,-723751.0,-18844453.0,-47402669.0,,713144.0,,
