asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,23140137.0,73078439.0,-12599432.0,-3239623.0,494255.0,36486205.0,16683267.0,169457.0,61096981.0,87923871.0,61096981.0,169457.0,273389786.0,1264471.0,221783835.0,3508203.0,132844952.0,136353155.0,229005112.0,1230814.0,1909267.0,7130074.0,7546160.0,160198596.0,254170864.0,76318062.0,47352092.0,48303035.0,406262087.0,494255.0,5295977.0,3917110.0,13175064.0,27349.0,13202413.0,9213087.0,1048879.0,98993.0,71775320.0,34752660.0,19218922.0,82382.0,12554038.0,21142434.0,7799034.0,268692.0,69087221.0,26852658.0,93972268.0,17.0,6261896.0,82383.0,12247027.0,8552537.0,4907531.0,26826890.0,23140137.0,3295122.0,36486205.0,33814146.0,11625204.0,69121137.0,273389786.0,19218922.0,4275837.0,546629421.0,273417135.0,149555568.0,273488779.0,273140642.0,324845583.0,44135530.0,8278830.0,,33916.0,6942729.0,-7221277.0
2023-06-30,3M,EUR,21484765.0,111024014.0,-14552828.0,-3521319.0,1750864.0,37237184.0,15395932.0,169457.0,51265971.0,77072030.0,51265971.0,169457.0,295334277.0,1505401.0,258538320.0,3529467.0,15481948.0,19011415.0,109104093.0,1064521.0,,,13732618.0,164769902.0,256848865.0,114545333.0,49506325.0,57325715.0,449268518.0,1750864.0,5765732.0,4009137.0,11866465.0,138452293.0,150318758.0,9774869.0,1099408.0,618.0,102668270.0,34953497.0,38485412.0,,15129347.0,19931283.0,8518357.0,289270.0,69087221.0,,92078963.0,250735.0,,140175.0,14889165.0,9664332.0,4900215.0,25806059.0,38269594.0,2704023.0,0.0,29429923.0,37895491.0,69121137.0,295334277.0,38485412.0,5512323.0,584398929.0,433786570.0,169330173.0,295334895.0,289064034.0,325860609.0,179959941.0,1895664.0,142052.0,33916.0,14163174.0,149434227.0
2023-12-31,3M,EUR,25339586.0,73537997.0,-16569165.0,-4473118.0,2000875.0,,16534239.0,169457.0,43364784.0,56606492.0,43364784.0,169457.0,167809951.0,2953519.0,186645444.0,3650046.0,147396779.0,151046825.0,228679876.0,1689970.0,880757.0,4865026.0,8798071.0,96821373.0,183504145.0,78011115.0,52975282.0,47872121.0,315264949.0,2000875.0,2745032.0,3813952.0,12884193.0,58219.0,12942412.0,6558984.0,1173739.0,-93264.0,104090214.0,36406117.0,-15694194.0,216939.0,9985714.0,16488270.0,9515619.0,212344.0,69087221.0,1.0,86682772.0,17.0,6261896.0,,14408361.0,11010551.0,2771996.0,13241708.0,42458353.0,2411932.0,37837473.0,25300966.0,-84226137.0,69121137.0,167809951.0,-15694194.0,3444906.0,436440560.0,167868170.0,163989237.0,167716687.0,268723873.0,249795118.0,40043997.0,2710406.0,,33916.0,13773084.0,-42034432.0
