symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,PurchaseOfBusiness,RepaymentOfDebt,SaleOfInvestment,TaxesRefundPaid
AV.MI,2022-06-30,TTM,EUR,12784661.0,91693669.0,-18293665.0,-32487446.0,-15185437.0,-5469000.0,7508685.0,-1246806.0,-14713499.0,-29106057.0,-32487446.0,-23259.0,-363559.0,3320814.0,16105475.0,3158599.0,59206223.0,772332.0,-19306543.0,-32246900.0,-23259.0,129475756.0,129475756.0,-137092098.0,-15764474.0,-23259.0,13259168.0,13544699.0,-15582290.0,1811239.0,-7616342.0,-7616342.0,9710976.0,-2711375.0,-1012878.0,2437813.0,-192013.0,-15764474.0,-137092098.0,,-3439235.0
AV.MI,2023-12-31,TTM,EUR,16852621.0,61096981.0,-17202395.0,-19841916.0,-3348062.0,2956299.0,-2121742.0,3106405.0,-4649884.0,-4056984.0,-19841916.0,0.0,77317.0,4334546.0,21187167.0,2109719.0,43364784.0,-3066139.0,-23991353.0,-9986819.0,0.0,21248102.0,21248102.0,-13069078.0,-7713660.0,0.0,-99647074.0,-99883918.0,-10425955.0,14929236.0,8179024.0,8179024.0,-11245163.0,-6776440.0,-6788958.0,11549217.0,,-7713660.0,-13069078.0,14929236.0,-5257845.0
