asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCashItems,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,-18000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,213000.0,,2759000.0,,,,,,,,,,,,,,,-441000.0,,,,,,,,,,,,,,,,,,,1000.0,-1000.0,,,,,,3319.0,,,,,,,,1000.0,,227039.0,,,1000.0,,686000.0,-17000.0,,,,,-57000.0,,,,67000.0,,,,-1373.0,,,,,153862.0,153862.0,-441000.0,-1.0,,,0.0,0.0,24000.0,,,,,,,,,,,,,,,,,,,,,,,691000.0,,,
2020-12-31,12M,EUR,3176422.0,4059143.0,-623379.0,1124900.0,,495927.0,,3152420.0,0.053734,448899.0,-947756.0,3152420.0,2491453.0,2491453.0,2489826.0,1627.0,34035.0,2097311.0,-1004952.0,-303341.0,727152.0,-1291664.0,-1838770.0,2097311.0,3152420.0,,4745680.0,2923453.0,0.0,0.0,4993981.0,12007705.0,2574719.0,2574719.0,,6438636.0,72491.0,587924.0,587924.0,587924.0,91997.0,3152420.0,0.053734,169393.0,,427697.0,1015621.0,2546210.0,13883082.0,157.0,4099251.0,1162491.0,-1998974.0,,,,1991823.0,,1021095.0,2930864.0,185813.0,185813.0,-185791.0,4861705.0,10151547.0,-950722.0,3310.0,2923453.0,1350571.0,2831148.0,2831148.0,1350571.0,,126545.0,337297.0,10529082.0,2923453.0,2914414.0,169393.0,169393.0,169393.0,169393.0,169393.0,169393.0,169393.0,-918568.0,-185791.0,-2966.0,1175798.0,1350571.0,-185791.0,,,397716.0,-29188.0,-174773.0,2753857.0,262171.0,3469.0,1015621.0,169393.0,-1051218.0,2509943.0,420921.0,7924845.0,3152420.0,,337144.0,359236.0,11075.0,1991823.0,,185791.0,,,225053.0,359236.0,683798.0,78164.0,,0.0,3671492.0,99931.0,,241884.0,92271.0,-918568.0,-2966.0,-29188.0,2400793.0,4993981.0,587924.0,169263.0,169263.0,,0.0,,169393.0,,,,3152420.0,0.0,4745680.0,2753857.0,0.0,72491.0,0.299693,180096.0,-72491.0,14404180.0,7576828.0,5405867.0,4745680.0,7503924.0,9658500.0,2396475.0,3219864.0,-22.0,7924845.0,135834.0,0.0,0.0,,1298421.0,5569069.0,0.0
2021-12-31,12M,EUR,3188144.0,6324534.0,-694742.0,1477608.0,,591250.0,,3446343.0,0.068924,2491453.0,-1269697.0,3446343.0,1483059.0,1483059.0,1480222.0,2837.0,-75935.0,-1008394.0,-386921.0,-146765.0,11722.0,-2265391.0,-2863290.0,-1008394.0,3446343.0,,5626988.0,643771.0,,2275.0,7424084.0,13960183.0,1847767.0,1847767.0,,5809266.0,18846.0,679112.0,679112.0,679112.0,87862.0,3446343.0,0.068924,237537.0,,416671.0,1095783.0,1483059.0,15925194.0,322.0,2113117.0,1303968.0,-3213425.0,,,,2549743.0,,1028823.0,2977280.0,160288.0,160288.0,-160245.0,5248626.0,12502201.0,-1177783.0,3310.0,643771.0,3000000.0,5027446.0,5027446.0,3000000.0,-803702.0,129570.0,370838.0,11200614.0,643771.0,5392154.0,237537.0,237537.0,237537.0,237537.0,237537.0,237537.0,237537.0,-1149170.0,-160245.0,-4386.0,1469346.0,2196298.0,-160245.0,,,334081.0,-24227.0,-726952.0,3077245.0,262059.0,,1191409.0,326133.799172,-1943728.0,2509364.0,467916.0,10401364.0,3446343.0,,101265.0,,11075.0,2549743.0,,160245.0,,,322712.0,239303.0,655710.0,67772.0,,0.0,3499221.0,93538.0,,256383.0,95626.0,-1149170.0,-4386.0,-120527.0,3007214.0,7424084.0,679112.0,213194.0,213194.0,-803702.0,,95626.0,237537.0,,,96300.0,3446343.0,-95626.0,5626988.0,3077245.0,-7029.200828,18846.0,0.073507,734927.0,-18846.0,16855329.0,10654434.0,6875213.0,5626988.0,9933448.0,11228341.0,2895146.0,5419075.0,-43.0,10401364.0,71774.0,-95626.0,-95626.0,,937444.0,8150917.0,0.0
2022-12-31,12M,EUR,5014148.0,5799047.0,-811648.0,1569056.0,,801821.0,,3510743.0,0.093964,1483059.0,-1289962.0,3510743.0,2210596.0,2210596.0,2210079.0,517.0,11425.0,727536.0,-1102236.0,-400216.0,1826003.0,525487.0,860463.0,727536.0,3510743.0,,6228520.0,271648.0,,0.0,12070068.0,15855102.0,2141017.0,2141017.0,0.0,8130362.0,207174.0,918729.0,918729.0,918727.0,116906.0,3510743.0,0.093964,329884.0,0.0,859594.0,1778323.0,2210596.0,14106332.0,99071.0,-47310.0,1682092.0,867820.0,,0.0,,2789934.0,,1274496.0,5176713.0,322536.0,322536.0,-322529.0,6350862.0,12784775.0,-1382936.0,3310.0,271648.0,0.0,4415238.0,4415238.0,0.0,-612208.0,110402.0,416909.0,11338468.0,271648.0,4345659.0,329884.0,329884.0,329884.0,329884.0,329884.0,329884.0,329884.0,-1042013.0,-322529.0,-95249.0,-318958.0,-612208.0,-322529.0,,,462848.0,-245674.0,293250.0,3438586.0,329933.0,,1961384.0,442327.89791,2157782.0,4158833.0,1017880.0,17246781.0,3510743.0,1.0,122290.0,,11075.0,2789934.0,,322529.0,,,523187.0,287044.0,857587.0,32372.0,,0.0,5625428.0,245536.0,,537058.0,138376.0,-1042013.0,-95249.0,-247949.0,3324524.0,12070068.0,918729.0,,,-612208.0,,138376.0,329884.0,0.0,,2275.0,3510743.0,-183061.0,6228520.0,3438586.0,-70617.10209,207174.0,0.385757,1339935.0,-207174.0,19214455.0,10643758.0,6556255.0,6228520.0,16228901.0,12985935.0,3359353.0,4855573.0,-7.0,17246781.0,324236.0,-183061.0,-183061.0,,1344246.0,7724740.0,44685.0
2023-12-31,12M,EUR,4855711.0,6133356.0,-948608.0,1855987.0,,658761.0,658761.0,3683593.0,0.189752,2210596.0,-1566346.0,3683593.0,2206012.0,2206012.0,2205746.0,266.0,-1650.0,-4584.0,-2295856.0,937869.0,-158436.0,-334309.0,-1852382.0,-4584.0,3683593.0,,7330312.0,402823.0,,0.0,14223002.0,18034669.0,3044544.0,3044544.0,29634.0,9513761.0,355277.0,140429.0,799190.0,799190.0,140429.0,3683593.0,0.189752,698969.0,3.0,1362866.0,2162056.0,2206012.0,14403284.0,55416.0,1441671.0,1373579.0,-1553694.0,-3.0,-1800.0,,3451558.0,,1452665.0,6417881.0,308620.0,308620.0,-275593.0,8646718.0,14925415.0,-1458907.0,3310.0,402823.0,472821.0,4550559.0,4550559.0,472821.0,-337500.0,233878.0,432485.0,9338576.0,402823.0,5389091.0,698969.0,698969.0,698969.0,698969.0,698969.0,698969.0,698969.0,-1323564.0,-275593.0,44495.0,1038848.0,135321.0,-275593.0,,,504057.0,-179838.0,903527.0,3878754.0,410552.0,,2297010.0,788444.001495,12652.0,4954307.0,1463574.0,20640883.0,3683593.0,,201025.0,,11075.0,3451558.0,,292070.0,,,672524.0,470995.0,1020180.0,65484.0,,0.0,5844329.0,214507.0,,1054246.0,258430.0,-1376963.0,,-189383.0,4781148.0,14223002.0,799190.0,,,-337500.0,,134954.0,698969.0,53399.0,44495.0,9545.0,3683593.0,-134954.0,7330312.0,3878754.0,-45478.998505,355277.0,0.336996,752440.0,-207174.0,22052362.0,11880871.0,7595103.0,7330312.0,19177309.0,14722050.0,4017693.0,5208289.0,-33027.0,20640883.0,517623.0,-134954.0,-134954.0,13300.0,2491991.0,8520908.0,0.0
