asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,5503000.0,5799000.0,,-1356000.0,23000.0,,,4869000.0,4869000.0,,5966000.0,,22381000.0,,,,,19071000.0,1967000.0,,,290000.0,2808000.0,999000.0,7155000.0,,17240000.0,5966000.0,23000.0,14000.0,,,,16000.0,,,383000.0,,9327000.0,4967000.0,4000.0,968000.0,169000.0,1961000.0,12000.0,6932141.0,-7062000.0,,,,1000.0,15000.0,4942000.0,,701000.0,11987000.0,,417000.0,,12654000.0,,6942141.0,5966000.0,4967000.0,417000.0,34005000.0,5966000.0,,6349000.0,27656000.0,11624000.0,8585000.0,1542000.0,52000.0,10000.0,,1778000.0,3310000.0
2023-06-30,3M,EUR,7639000.0,5731000.0,,-1388000.0,268000.0,6024000.0,7123000.0,8336000.0,8336000.0,7123000.0,2446000.0,,29214000.0,960000.0,5162000.0,6122000.0,315000.0,29377000.0,1693000.0,871000.0,18000.0,268000.0,3295000.0,881000.0,7119000.0,8576000.0,12639000.0,7608000.0,268000.0,,16000.0,5064000.0,5064000.0,16000.0,,82000.0,283000.0,,8576000.0,1565000.0,43000.0,889000.0,159000.0,1399000.0,32000.0,6932142.0,,1443000.0,-1000.0,881000.0,-1000.0,-35000.0,4676000.0,416000.0,795000.0,13866000.0,1153000.0,1292000.0,8078000.0,5680000.0,-2084000.0,6942142.0,2446000.0,1565000.0,421000.0,39877000.0,2446000.0,11186000.0,2729000.0,37148000.0,10663000.0,7771000.0,1533000.0,52000.0,10000.0,45000.0,3664000.0,-163000.0
2023-12-31,3M,EUR,6011000.0,5490000.0,-12987000.0,-1321000.0,,,7123000.0,3167000.0,3167000.0,7123000.0,3218000.0,4000.0,21943000.0,,4194000.0,4194000.0,,25649000.0,1278000.0,,,172000.0,2740000.0,933000.0,6811000.0,21227000.0,18517000.0,7412000.0,,14000.0,,,,16000.0,345000.0,5859000.0,213000.0,1027000.0,8241000.0,2285000.0,53000.0,814000.0,150000.0,1302000.0,46000.0,6932141.0,-8035000.0,1000.0,,933000.0,1000.0,-345000.0,2955000.0,3597000.0,834000.0,9989000.0,,756000.0,11767000.0,13791000.0,-6120000.0,6942141.0,3218000.0,2285000.0,1214000.0,32170000.0,3218000.0,4194000.0,3431000.0,28739000.0,10227000.0,3090000.0,1023000.0,24000.0,10000.0,45000.0,1986000.0,-3706000.0
