asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinancingCashFlow,FinishedGoods,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,HeldToMaturitySecurities,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestrictedCash,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,,,10663000.0,,,,,,,,,,,,,,,,,,,-55315000.0,,,0.0,,,,,,,,,78257000.0,,,,,,,,,,,,653000.0,52000.0,,,,310000.0,,,,,,,,,,,,,,,,,,,,,,,,,-165655000.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18307000.0,-6421000.0,,,,,,,,,8193000.0,,,,,,,,,,,,15907000.0,,-165655000.0,0.0,,,,,29000.0,,179719000.0,180029000.0,,,,,,,,,,,,,,,,,,,,,,,3907000.0,,,,,
2020-12-31,12M,EUR,582193000.0,397337000.0,-480602000.0,25838000.0,-10561000.0,15650000.0,80992000.0,977000.0,69986000.0,149352985.0,1.34,731491000.0,57471000.0,-91608000.0,66171000.0,225823000.0,662947000.0,894714000.0,-80477000.0,-68544000.0,-67370000.0,-6785000.0,184877000.0,45087000.0,155809000.0,-68544000.0,225823000.0,-80477000.0,1267354000.0,21452000.0,-14534000.0,48647000.0,1623144000.0,1773030000.0,18178000.0,154297000.0,172475000.0,1003519000.0,56181000.0,,80992000.0,80993000.0,65343000.0,611000.0,152773282.0,1.31,200133000.0,261563000.0,342556000.0,662947000.0,3647659856.0,,51000.0,-117153000.0,351733000.0,375820000.0,,257544000.0,686781000.0,407898000.0,803366000.0,726230000.0,10847000.0,,5249000.0,5249000.0,,,-3750000.0,-39264000.0,432105000.0,1880212000.0,-418819000.0,69986000.0,21452000.0,200000000.0,129262000.0,47993000.0,458561000.0,506554000.0,200000000.0,-221778000.0,30073000.0,59633000.0,152121000.0,3858059856.0,0.0,,-329303000.0,6918000.0,,200133000.0,200133000.0,200133000.0,,200133000.0,200133000.0,200133000.0,200133000.0,-13859000.0,-7720000.0,-264000.0,-21778000.0,-21778000.0,-7720000.0,-18066000.0,322764000.0,-75393000.0,580573000.0,58455000.0,56440000.0,51288000.0,4478000.0,341355000.0,199195019.0,467428000.0,465425000.0,260805000.0,2349374000.0,149653214.0,4143000.0,6784000.0,429237000.0,,,83862000.0,135225000.0,415865000.0,9747000.0,231767000.0,-1349000.0,0.0,814554000.0,9761000.0,5087000.0,256314000.0,0.0,15603000.0,-329303000.0,-14652000.0,,-76956000.0,87538000.0,1623144000.0,80992000.0,,13519000.0,-221778000.0,-14534000.0,79000.0,0.0,816571000.0,793000.0,,1563000.0,,,150548564.0,1201000.0,1267354000.0,580573000.0,263019.0,56181000.0,0.219,22216000.0,-41290000.0,2945569000.0,1725915000.0,679029000.0,1267354000.0,2088569000.0,1678215000.0,1172539000.0,674696000.0,2471000.0,2349374000.0,97136000.0,1201000.0,1201000.0,170000.0,895350.0,14534000.0,32098000.0,769511000.0,148000.0
2021-12-31,12M,EUR,936229000.0,366668000.0,-522022000.0,34300000.0,-15265000.0,21886000.0,93679000.0,1055000.0,70539000.0,149566346.0,2.08,662947000.0,67976000.0,-105096000.0,76266000.0,226344000.0,1026081000.0,1316731000.0,-80671000.0,363134000.0,-312921000.0,13911000.0,320996000.0,47954000.0,69940000.0,363134000.0,226344000.0,,1568577000.0,7110000.0,0.0,37800000.0,2241927000.0,2517774000.0,19038000.0,243091000.0,262129000.0,1489795000.0,88502000.0,,93679000.0,93679000.0,71793000.0,0.0,153250246.0,2.03,311098000.0,406560000.0,500239000.0,1026081000.0,4932623387.0,,,62600000.0,628717000.0,397512000.0,,358405000.0,867877000.0,381933000.0,910500000.0,978284000.0,11062000.0,70222000.0,6309000.0,6309000.0,,,-3923000.0,-46653000.0,769253000.0,2426580000.0,-202074000.0,70539000.0,7110000.0,450000000.0,175020000.0,57228000.0,614912000.0,672140000.0,450000000.0,-356679000.0,7331000.0,66043000.0,161863000.0,4728023387.0,2018000.0,-651000.0,-98866000.0,7110000.0,,311098000.0,311098000.0,311749000.0,,311098000.0,311098000.0,311098000.0,311749000.0,-15745000.0,-10540000.0,-54000.0,93321000.0,93321000.0,-10540000.0,46763000.0,388478000.0,-87409000.0,700700000.0,74297000.0,70070000.0,53378000.0,4604000.0,473659000.0,290392180.0,502608000.0,592605000.0,385679000.0,3220211000.0,150000742.0,7517000.0,8488000.0,509472000.0,,,112989000.0,124511000.0,467841000.0,12015000.0,290650000.0,-1313000.0,0.0,1212838000.0,,7015000.0,400251000.0,0.0,3576000.0,-98866000.0,-16723000.0,-54000.0,-88373000.0,143280000.0,2241927000.0,93679000.0,,19331000.0,-356679000.0,0.0,57000.0,-25329000.0,1031195000.0,978000.0,,964000.0,,,150896092.0,26580000.0,1568577000.0,700700000.0,5874180.0,88502000.0,0.221,33975000.0,-64187000.0,3930901000.0,2183489000.0,934269000.0,1570595000.0,2834532000.0,2360306000.0,1413126000.0,870511000.0,4231000.0,3220211000.0,152098000.0,26580000.0,26580000.0,8880000.0,895350.0,14534000.0,43909000.0,1027979000.0,62000.0
2022-12-31,12M,EUR,540687000.0,278811000.0,-544128000.0,38268000.0,-10591000.0,24267000.0,105838000.0,1189000.0,124624000.0,150362712.0,1.18,1026081000.0,68629000.0,-128920000.0,80824000.0,226590000.0,770247000.0,1126593000.0,-124637000.0,-255834000.0,230225000.0,203000.0,-417726000.0,103352000.0,-83946000.0,-255834000.0,226590000.0,,1659117000.0,3355000.0,,53989000.0,2351547000.0,2014656000.0,20464000.0,112919000.0,133383000.0,922394000.0,58354000.0,,105838000.0,105838000.0,81571000.0,0.0,152955172.0,1.16,177428000.0,252181000.0,358019000.0,770247000.0,3549444403.0,,,-278473000.0,426336000.0,23007000.0,,373754000.0,891181000.0,289402000.0,991027000.0,804837000.0,11691000.0,71753000.0,13984000.0,13984000.0,,,-6334000.0,-56032000.0,550659000.0,2485644000.0,-129288000.0,124624000.0,3355000.0,200000000.0,204008000.0,60360000.0,713608000.0,773968000.0,200000000.0,-379700000.0,6103000.0,72167000.0,172181000.0,3148744403.0,4274000.0,-2415000.0,0.0,3355000.0,56280000.0,177428000.0,177428000.0,179843000.0,,177428000.0,177428000.0,177428000.0,179843000.0,-15282000.0,-20957000.0,-890000.0,-179700000.0,-179700000.0,-20957000.0,28843000.0,446899000.0,-113116000.0,767936000.0,64634000.0,83254000.0,38532000.0,5609000.0,357448000.0,176996895.0,151927000.0,541870000.0,262967000.0,3156384000.0,150000742.0,8860000.0,6373000.0,517427000.0,,,80535000.0,122192000.0,492220000.0,14096000.0,356346000.0,-807000.0,0.0,767945000.0,,8091000.0,238197000.0,0.0,-1661000.0,0.0,-15282000.0,-890000.0,-113638000.0,152934000.0,2351547000.0,105838000.0,,31820000.0,-379700000.0,,57000.0,0.0,1109641000.0,0.0,,522000.0,,,150896092.0,571000.0,1659117000.0,767936000.0,139895.0,58354000.0,0.245,23526000.0,-104086000.0,3553706000.0,2372725000.0,907351000.0,1663391000.0,2893417000.0,1890315000.0,1539050000.0,967921000.0,6973000.0,3156384000.0,105066000.0,571000.0,571000.0,,895350.0,14534000.0,27421000.0,1092262000.0,236000.0
2023-12-31,12M,EUR,716238000.0,272692000.0,-576630000.0,40078000.0,-10791000.0,27550000.0,108191000.0,0.0,,150248220.0,1.67,770247000.0,85803000.0,-95302000.0,98623000.0,226590000.0,1250194000.0,1409939000.0,-72429000.0,479951000.0,34553000.0,11740000.0,186920000.0,2369000.0,235582000.0,479951000.0,226590000.0,,1811139000.0,5101000.0,,62430000.0,2163630000.0,2263979000.0,21005000.0,217402000.0,238407000.0,1213128000.0,76886000.0,,108191000.0,108191000.0,80641000.0,0.0,151568623.0,1.65,250377000.0,329194000.0,437385000.0,1250198000.0,5245525118.0,,,-12159000.0,378890000.0,489030000.0,,371686000.0,878330000.0,283483000.0,1054611000.0,909875000.0,12507000.0,122031000.0,1896000.0,1896000.0,4056000.0,4056000.0,-22327000.0,-52390000.0,504678000.0,2544002000.0,-92222000.0,122031000.0,5101000.0,92934000.0,219496000.0,77618000.0,515461000.0,593079000.0,92934000.0,,4294000.0,71877000.0,188611000.0,4583025118.0,0.0,-35000.0,,5101000.0,,250377000.0,250377000.0,250412000.0,,250377000.0,250377000.0,250377000.0,250412000.0,-18670000.0,-3711000.0,1147000.0,92934000.0,92934000.0,-3711000.0,-15438000.0,477981000.0,-74699000.0,932809000.0,60413000.0,72164000.0,51041000.0,5400000.0,436648000.0,249813195.0,584332000.0,580984000.0,328891000.0,3073505000.0,150164650.0,7515000.0,5695000.0,506644000.0,,,80633000.0,126338000.0,498271000.0,12106000.0,159745000.0,-1101000.0,0.0,954036000.0,,11168000.0,327298000.0,0.0,10851000.0,,-18670000.0,,-76632000.0,142747000.0,2163630000.0,108191000.0,,23618000.0,,,4000.0,,1260577000.0,0.0,1147000.0,1933000.0,,,151060000.0,737000.0,1811139000.0,932809000.0,173195.0,76886000.0,0.235,40885000.0,-97555000.0,3812428000.0,2326600000.0,831486000.0,1811139000.0,2744614000.0,2001289000.0,1548449000.0,788161000.0,5871000.0,3073505000.0,111460000.0,737000.0,737000.0,,895350.0,9658000.0,35431000.0,1050851000.0,364000.0
