symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,DividendsReceivedCFI,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,RepaymentOfDebt,TaxesRefundPaid
B.MI,2019-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25388000.0,,,,,,
B.MI,2023-12-31,TTM,EUR,90000.0,24337000.0,-2635000.0,-1002000.0,-5877000.0,375000.0,691000.0,-2892000.0,-1826000.0,-5877000.0,-1002000.0,1479000.0,8305000.0,8395000.0,819000.0,18460000.0,-8815000.0,-6867000.0,-2748000.0,-6948000.0,7170000.0,9925000.0,9925000.0,-12732000.0,3671000.0,2784000.0,8986000.0,-2807000.0,-2807000.0,-2635000.0,-4232000.0,7831000.0,2144000.0,-12732000.0,-11382000.0
