symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,SaleOfIntangibles,SaleOfPPE
ANIM.MI,2020-12-31,12M,EUR,263711000.0,-3707000.0,-73285000.0,24718000.0,-1061000.0,-7311000.0,-8372000.0,24718000.0,-73285000.0,-19296000.0,55545000.0,55545000.0,288429000.0,-105163000.0,128291000.0,-1808000.0,-2117000.0,-31878000.0,155371000.0,155371000.0,-2142000.0,,25000.0,131998000.0,-50446000.0,1004000.0,-2167000.0,,-1540000.0,25000.0,1565000.0
ANIM.MI,2021-12-31,12M,EUR,288429000.0,-2425000.0,-78741000.0,297952000.0,-77766000.0,211219000.0,133453000.0,297952000.0,-78741000.0,-18723000.0,47027000.0,47027000.0,586381000.0,-112696000.0,410619000.0,1477000.0,-2396000.0,-33955000.0,238656000.0,238656000.0,-1601000.0,,-795000.0,413044000.0,11849000.0,-695000.0,-1601000.0,,-824000.0,,29000.0
ANIM.MI,2022-12-31,12M,EUR,586381000.0,-4046000.0,-95190000.0,-110719000.0,51738000.0,-117091000.0,-65353000.0,-110719000.0,-95190000.0,-28826000.0,,,475662000.0,-190534000.0,79750000.0,3637000.0,-3981000.0,-95344000.0,120801000.0,120801000.0,-3106000.0,,-875000.0,83796000.0,7731000.0,-419000.0,-3106000.0,,-940000.0,,65000.0
ANIM.MI,2023-12-31,12M,EUR,475662000.0,-2240000.0,-71315000.0,-306177000.0,-330610000.0,-16094000.0,-346704000.0,-306177000.0,-71315000.0,6835000.0,,,169485000.0,-116393000.0,-128065000.0,1140000.0,-63959000.0,-45078000.0,148879000.0,149288000.0,-1718000.0,-61735000.0,-506000.0,-125825000.0,16491000.0,-331000.0,-1728000.0,-61735000.0,-512000.0,10000.0,6000.0
ANIM.MI,2024-03-31,TTM,EUR,148024000.0,-2217000.0,,93190000.0,-4507000.0,7096000.0,2589000.0,93190000.0,,17698000.0,,,241214000.0,,256261000.0,,-63932000.0,,171571000.0,171965000.0,-1836000.0,,-362000.0,258478000.0,16275000.0,-4000.0,-1846000.0,,-371000.0,,
