asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherProperties,OtherReceivables,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
2023-06-30,3M,EUR,1860647.0,3521998.0,,,45500.0,1427059.0,9106552.0,9106552.0,65.0,9106487.0,1427059.0,13154927.0,,15852714.0,,,,2490040.0,1079367.0,821722.0,,2962204.0,,1475967.0,3179528.0,13154927.0,45500.0,210476.0,,0.0,,,210476.0,,1082851.0,1475967.0,10192723.0,,4294117.0,446218.0,2962204.0,393116.0,44636.0,2043822.0,,0.0,1916131.0,87381.0,4294117.0,13154927.0,10192723.0,,20546862.0,13154927.0,,13154927.0,7391935.0,4694147.0,4901895.0,183175.0,184030.0,13362674.0
2023-12-31,3M,EUR,4392425.0,5973877.0,-1127211.0,-264000.0,57392.0,1427059.0,7475986.0,7475986.0,399.0,7475587.0,1427059.0,14882614.0,0.0,18723573.0,632241.0,632241.0,173995.0,7611570.0,1348268.0,821722.0,847541.0,3761074.0,6237877.0,2968810.0,4011457.0,16583076.0,57392.0,7351.0,0.0,0.0,1068221.0,1068221.0,7351.0,426246.0,1879166.0,1841599.0,11121540.0,448659.0,,884383.0,2913533.0,1089644.0,282893.0,4788826.0,136714.0,0.0,2663189.0,1823134.0,,14882614.0,11121540.0,805365.0,24437310.0,15950835.0,1700462.0,14882614.0,9554696.0,5713736.0,1943126.0,396401.0,0.0,11112003.0
