symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
BSS.MI,2019-12-31,12M,EUR,132673000.0,116973000.0,-144338000.0,-5939000.0,,2040000.0,128544000.0,34458000.0,27393000.0,86061000.0,88285000.0,84570000.0,1491000.0,27393000.0,217817000.0,2730000.0,384075000.0,7415000.0,43816000.0,51231000.0,333866000.0,16625000.0,67219000.0,23550000.0,83228000.0,122912000.0,284051000.0,429000.0,155498000.0,287639000.0,2040000.0,27043000.0,26006000.0,53049000.0,563000.0,81969000.0,858000.0,139713000.0,134589000.0,13334000.0,2876000.0,13032000.0,2640000.0,27393042.0,20484000.0,,59678000.0,-1000.0,2000.0,31026000.0,70808000.0,5331000.0,2224000.0,183672000.0,11759000.0,0.0,66462000.0,13027000.0,27393042.0,217817000.0,134589000.0,17559000.0,622988000.0,243823000.0,104280000.0,218675000.0,404313000.0,238915000.0,70447000.0,19973000.0,925000.0,21818000.0,50209000.0
BSS.MI,2020-12-31,12M,EUR,132790000.0,102875000.0,-153950000.0,-6327000.0,,2112000.0,126795000.0,30272000.0,27393000.0,163425000.0,190424000.0,162137000.0,1288000.0,27393000.0,214022000.0,1305000.0,439027000.0,6746000.0,67793000.0,74539000.0,359939000.0,19666000.0,51614000.0,23471000.0,73356000.0,109202000.0,279083000.0,1108000.0,129848000.0,324769000.0,2112000.0,23526000.0,42954000.0,66480000.0,322000.0,81327000.0,790000.0,125133000.0,140666000.0,17499000.0,2992000.0,12775000.0,,27393042.0,,-1000.0,49885000.0,-1000.0,-1000.0,29250000.0,69656000.0,3996000.0,26999000.0,180419000.0,12155000.0,0.0,59072000.0,2531000.0,27393042.0,214022000.0,140666000.0,10776000.0,658288000.0,256976000.0,141019000.0,214812000.0,443476000.0,219265000.0,83537000.0,18379000.0,969000.0,19163000.0,79088000.0
BSS.MI,2021-12-31,12M,EUR,186660000.0,125962000.0,-161707000.0,-8726000.0,0.0,2701000.0,120960000.0,22704000.0,27393000.0,127099000.0,154197000.0,125440000.0,1659000.0,27393000.0,248368000.0,3162000.0,479242000.0,7384000.0,4153000.0,11537000.0,430458000.0,24366000.0,67869000.0,46694000.0,97990000.0,134688000.0,278909000.0,892000.0,179417000.0,253201000.0,2701000.0,15320000.0,680000.0,16000000.0,484000.0,81105000.0,849000.0,117202000.0,150378000.0,23763000.0,9102000.0,13318000.0,,27393042.0,,,51296000.0,,,39573000.0,73682000.0,4395000.0,27098000.0,252213000.0,13404000.0,0.0,84895000.0,220975000.0,27393042.0,248368000.0,150378000.0,14379000.0,722774000.0,249048000.0,27537000.0,249217000.0,473557000.0,243532000.0,43099000.0,25980000.0,4195000.0,26653000.0,48784000.0
BSS.MI,2022-12-31,12M,EUR,181996000.0,112513000.0,-173228000.0,-5998000.0,2520000.0,2524000.0,125241000.0,24000000.0,230301000.0,125039000.0,145583000.0,123556000.0,1483000.0,230301000.0,260548000.0,1900000.0,494775000.0,7504000.0,1776000.0,9280000.0,430133000.0,25015000.0,95879000.0,46800000.0,88177000.0,118511000.0,288329000.0,2659000.0,215588000.0,262885000.0,2524000.0,16496000.0,561000.0,17057000.0,,83994000.0,245000.0,115101000.0,172371000.0,24387000.0,8426000.0,10567000.0,,27402593.0,,,41377000.0,1000.0,,44457000.0,77194000.0,4100000.0,20544000.0,241473000.0,13723000.0,0.0,89003000.0,30248000.0,27402593.0,260548000.0,172371000.0,11812000.0,727131000.0,261109000.0,26337000.0,260793000.0,466338000.0,232357000.0,36205000.0,15020000.0,155000.0,30705000.0,64642000.0
