asOfDate,periodType,currencyCode,AccountsPayable,AdditionalPaidInCapital,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,ImpairmentOfCapitalAssets,InterestExpense,InterestIncome,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetPPE,NetTangibleAssets,NormalizedIncome,OperatingExpense,OperatingRevenue,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherSpecialCharges,Payables,PrepaidAssets,PretaxIncome,Receivables,ReconciledDepreciation,RetainedEarnings,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradingSecurities,TreasurySharesNumber,TreasuryStock,WriteOff
2022-12-31,3M,EUR,23858000.0,,,114042140.0,0.505076,155254000.0,,986747000.0,26796000.0,,,10000000.0,10000000.0,123604000.0,114042140.0,0.505076,,96191000.0,,,,88073000.0,140414000.0,163571000.0,,,,,,,0.0,,,6078000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,52341000.0,,21714000.0,2239000.0,,,225862000.0,,86214000.0,10000000.0,,,,,,,,,,,,,,,,,,,,1991000.0,2809497.0,,900000.0
2023-03-31,3M,EUR,,53767000.0,1020267000.0,114936000.0,0.72,,116852000.0,,,116852000.0,1156732000.0,,,,114936000.0,0.72,83071000.0,,504991000.0,2610000.0,26100000.0,,,,9400000.0,20783000.0,91735000.0,1590595000.0,1770621000.0,1773629000.0,,589702000.0,3008000.0,,3350558073.0,381000.0,37000.0,433863000.0,83071000.0,83071000.0,83034000.0,,,83071000.0,83071000.0,83034000.0,70952000.0,294089000.0,1156732000.0,90688192.0,70932000.0,195162000.0,114042140.0,50000000.0,,15119000.0,,,1092000.0,58487000.0,,114423000.0,,,83071000.0,26100000.0,116851637.0,-10492000.0,1156732000.0,1156732000.0,-2874808.0,31389000.0,0.274,86040000.0,17003849000.0,1590595000.0,589702000.0,1157113000.0,15846736000.0,195162000.0,58487000.0,-10492000.0,-10492000.0,,2809497.0,80139000.0,
2023-06-30,3M,EUR,20003000.0,52784000.0,10532137000.0,,,154267000.0,116852000.0,619569000.0,27710000.0,116852000.0,1062359000.0,,,107639000.0,,,91980000.0,79486000.0,507061000.0,-1005000.0,20149000.0,88073000.0,135062000.0,162182000.0,-2099000.0,30319000.0,110821000.0,1440552000.0,11272207000.0,11275134000.0,,531953000.0,2927000.0,7093000.0,3600372037.0,377000.0,11000.0,,91980000.0,91980000.0,91969000.0,,,91980000.0,91980000.0,91969000.0,80502000.0,162182000.0,927297000.0,90755234.790662,127049000.0,251501000.0,114297525.0,50000000.0,46989000.0,59834000.0,16687000.0,822000.0,-841000.0,329427000.0,190141000.0,125252000.0,95934000.0,,175051000.0,21648000.0,116851637.0,1679000.0,1062359000.0,927297000.0,443234.790662,33283000.0,0.265728,23917000.0,15676991000.0,1440552000.0,531953000.0,1062736000.0,14614255000.0,251501000.0,213251000.0,1668000.0,1668000.0,118000.0,2554112.0,72745000.0,
2023-09-30,3M,EUR,,52908000.0,991393000.0,,,,116852000.0,,,116852000.0,1133771000.0,,,98050000.0,,,80050000.0,,506691000.0,5073000.0,35805000.0,,,,21737000.0,36961000.0,113587000.0,1551842000.0,1770576000.0,1773357000.0,,568389000.0,2781000.0,,3817849122.0,364000.0,-5000.0,418071000.0,80050000.0,80050000.0,80055000.0,,,80050000.0,80050000.0,80055000.0,76626000.0,283139000.0,1133771000.0,96214635.36669,17535000.0,152148000.0,113931636.0,50000000.0,,-31797000.0,,,1630000.0,58901000.0,,109425000.0,,,255101000.0,34306000.0,116851637.0,-22106000.0,1133771000.0,1133771000.0,-5930364.63331,29370000.0,0.268403,99132000.0,15547605000.0,1551842000.0,568389000.0,1134135000.0,14413470000.0,152148000.0,58901000.0,-22095000.0,-22095000.0,,2920001.0,85005000.0,
2023-12-31,3M,EUR,33991000.0,52992000.0,10212876000.0,113931636.0,0.623181,142204000.0,116852000.0,832842000.0,29939000.0,116852000.0,1212927000.0,10700000.0,10700000.0,132662000.0,113931636.0,0.623181,71035000.0,75954000.0,509241000.0,3927000.0,25892000.0,88073000.0,150621000.0,150360000.0,10688000.0,41779000.0,118099000.0,1631434000.0,10884238000.0,10886213000.0,0.0,559581000.0,1975000.0,5868000.0,3832660235.0,338000.0,15000.0,,71035000.0,71035000.0,71020000.0,0.0,0.0,71035000.0,71035000.0,71020000.0,76320000.0,150360000.0,1062306000.0,78191943.861019,208322000.0,319907000.0,113931636.0,50000000.0,62548000.0,135108000.0,21934000.0,2288000.0,-1140000.0,214222000.0,191993000.0,94747000.0,108714000.0,10700000.0,326136000.0,29955000.0,116851637.0,-9548000.0,1212927000.0,1062306000.0,-2391056.138981,23727000.0,0.250425,39399000.0,15517162000.0,1631434000.0,559581000.0,1213265000.0,14303897000.0,319907000.0,82343000.0,-9548000.0,-9548000.0,166000.0,2920001.0,85005000.0,-500000.0
2024-03-31,3M,EUR,,52992000.0,1075503000.0,114081000.0,1.07,,116852000.0,,,116852000.0,1339765000.0,,,122340000.0,114081000.0,1.07,121967000.0,,509334000.0,2568000.0,28461000.0,,,,9861000.0,39412000.0,118859000.0,1663901000.0,1762897000.0,1765023000.0,,462793000.0,2126000.0,,4194962837.0,343000.0,0.0,324136000.0,121967000.0,121967000.0,121967000.0,,,121967000.0,121967000.0,121967000.0,79447000.0,285549000.0,1339765000.0,130146578.0,88775000.0,259870000.0,113931636.0,50000000.0,,28123000.0,,,930000.0,74839000.0,,160955000.0,,,121967000.0,28461000.0,113931636.0,-10791000.0,1339765000.0,1339765000.0,-2611422.0,38988000.0,0.242,107003000.0,15189162000.0,1663901000.0,462793000.0,1340108000.0,13849054000.0,259870000.0,74839000.0,-10791000.0,-10791000.0,,,85005000.0,
