symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,DividendsReceivedCFI,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFF,InterestReceivedCFI,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PurchaseOfPPE
KME.MI,2019-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1045000.0,,,,,,,
KME.MI,2023-12-31,TTM,EUR,128844000.0,-29850000.0,-3346000.0,-12154000.0,75443000.0,59481000.0,-132440000.0,26694000.0,19849000.0,-12154000.0,-3346000.0,-13184000.0,57562000.0,57562000.0,0.0,31000.0,118609000.0,-110303000.0,56733000.0,-1697000.0,-42381000.0,6631000.0,11566000.0,34766000.0,-115897000.0,-40335000.0,-46497000.0,,51321000.0,19000.0,-29850000.0,86583000.0,1888000.0,62162000.0,-29850000.0
