symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,DividendReceivedCFO,DividendsReceivedCFI,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFF,InterestReceivedCFI,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PurchaseOfIntangibles,PurchaseOfPPE,SaleOfIntangibles,SaleOfPPE
KME.MI,2019-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1045000.0,,,,,,,,,,,
KME.MI,2019-12-31,12M,EUR,,,-661000.0,,,,,-474000.0,,,,,,,,,,337000.0,,,,,,,,,,,,,,,,,999000.0,,-1232000.0,-1232000.0,,,,-1232000.0,,,,,,999000.0,999000.0
KME.MI,2020-12-31,12M,EUR,44904000.0,-680000.0,,,-29348000.0,,-1987000.0,-3232000.0,547000.0,2027000.0,-2872000.0,-29348000.0,,,,579000.0,579000.0,0.0,,,15415000.0,-18691000.0,-10791000.0,,,,-546000.0,,,,,-192000.0,1273000.0,1323000.0,-57000.0,,,,-18499000.0,-489000.0,-57000.0,,-10111000.0,-141000.0,,-680000.0,-680000.0,623000.0,623000.0
KME.MI,2021-12-31,12M,EUR,15415000.0,-363000.0,,,-10717000.0,0.0,-1698000.0,-311000.0,372000.0,505000.0,-105000.0,-10717000.0,,0.0,0.0,658000.0,658000.0,,476000.0,,4698000.0,-292000.0,64041000.0,,-4172000.0,-205000.0,-74829000.0,0.0,3803000.0,3803000.0,,-128000.0,65306000.0,63851000.0,-170000.0,-73656000.0,3803000.0,3803000.0,205000.0,-1274000.0,-170000.0,,64404000.0,,,-363000.0,-363000.0,193000.0,193000.0
KME.MI,2022-12-31,12M,EUR,4698000.0,-17403000.0,,,20014000.0,13512000.0,-7067000.0,,-47565000.0,77981000.0,23209000.0,20014000.0,0.0,32000.0,4776000.0,50252000.0,50252000.0,,1013000.0,-42000.0,128844000.0,12177000.0,85508000.0,32046000.0,-15496000.0,3459000.0,-95074000.0,32000.0,26250000.0,26250000.0,-84343000.0,32000.0,35456000.0,15554000.0,,-84343000.0,26250000.0,26250000.0,27641000.0,82000.0,-15285000.0,,102911000.0,104174000.0,-33211000.0,,-17403000.0,,2118000.0
KME.MI,2023-12-31,12M,EUR,128844000.0,-29850000.0,,-3346000.0,-12154000.0,75443000.0,59481000.0,,-132440000.0,26694000.0,19849000.0,-12154000.0,-3346000.0,,-13184000.0,57562000.0,57562000.0,,0.0,31000.0,118609000.0,-110303000.0,56733000.0,-1697000.0,-42381000.0,6631000.0,11566000.0,,,,34766000.0,-115897000.0,-40335000.0,-46497000.0,,,,,51321000.0,19000.0,-29850000.0,,86583000.0,1888000.0,62162000.0,,-29850000.0,,
KME.MI,2023-12-31,TTM,EUR,128844000.0,-29850000.0,,-3346000.0,-12154000.0,75443000.0,59481000.0,,-132440000.0,26694000.0,19849000.0,-12154000.0,-3346000.0,,-13184000.0,57562000.0,57562000.0,,0.0,31000.0,118609000.0,-110303000.0,56733000.0,-1697000.0,-42381000.0,6631000.0,11566000.0,,,,34766000.0,-115897000.0,-40335000.0,-46497000.0,,,,,51321000.0,19000.0,-29850000.0,,86583000.0,1888000.0,62162000.0,,-29850000.0,,
