asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,601151000.0,83994000.0,-448575000.0,107198000.0,3009000.0,8831000.0,15878000.0,200070000.0,128844000.0,132943000.0,200070000.0,534991000.0,11395000.0,755882000.0,4709000.0,86034000.0,90743000.0,783325000.0,3865000.0,0.0,236000.0,23626000.0,370316000.0,424064000.0,83994000.0,948531000.0,10967000.0,404903000.0,915626000.0,68175000.0,3009000.0,94059000.0,,,23281000.0,313791000.0,68469000.0,11169000.0,294601000.0,305770000.0,117340000.0,3543000.0,535356000.0,34546000.0,251791000.0,499956000.0,110927000.0,88478000.0,117752000.0,127588000.0,877000.0,315246265.0,21975000.0,53748000.0,3106000.0,482000.0,49023000.0,79158000.0,108411000.0,4099000.0,670005000.0,4051000.0,1585000.0,0.0,363839000.0,,36599000.0,322183576.0,534991000.0,110927000.0,11588000.0,2067445000.0,829592000.0,396513000.0,569537000.0,1497908000.0,1311562000.0,714583000.0,19831000.0,482000.0,6937311.0,2133000.0,17438000.0,-27443000.0
2023-06-30,3M,EUR,633959000.0,81164000.0,-653669000.0,11947000.0,3063000.0,9382000.0,15390000.0,200072000.0,153258000.0,157605000.0,200072000.0,539407000.0,13916000.0,815929000.0,4378000.0,65772000.0,70150000.0,807388000.0,13540000.0,0.0,208000.0,32857000.0,398075000.0,449355000.0,49252000.0,1186080000.0,16804000.0,434038000.0,894423000.0,71383000.0,3063000.0,11965000.0,841000.0,23860000.0,23331000.0,346446000.0,0.0,11012000.0,289244000.0,300256000.0,59997000.0,5231000.0,724160000.0,36310000.0,201758000.0,532411000.0,90052000.0,75362000.0,107052000.0,131869000.0,1545000.0,315457326.0,13395000.0,51280000.0,1000.0,1272000.0,31563000.0,92176000.0,112153000.0,4347000.0,694807000.0,4503000.0,1180000.0,0.0,375094000.0,,46912000.0,322394637.0,539407000.0,90052000.0,12985000.0,2025039000.0,828651000.0,370406000.0,575717000.0,1449322000.0,1209109000.0,641934000.0,29285000.0,,6937311.0,2133000.0,26087000.0,8541000.0
2023-12-31,3M,EUR,590927000.0,46772000.0,-676259000.0,,3052000.0,8421000.0,14978000.0,200105000.0,118593000.0,120975000.0,200105000.0,296678000.0,12860000.0,668695000.0,4162000.0,107562000.0,111724000.0,790377000.0,16121000.0,0.0,115000.0,31095000.0,394833000.0,445263000.0,46772000.0,1205465000.0,4636000.0,374179000.0,748006000.0,66724000.0,3052000.0,14861000.0,,,18126000.0,354166000.0,0.0,10816000.0,343766000.0,354582000.0,32987000.0,6168000.0,733297000.0,62137000.0,332735000.0,529206000.0,-148585000.0,82751000.0,107496000.0,126639000.0,1489000.0,318708418.0,,50430000.0,,,39891000.0,96721000.0,101656000.0,2382000.0,646970000.0,,787000.0,0.0,322573000.0,16000.0,-20266000.0,325645729.0,296678000.0,-148585000.0,18464000.0,1845610000.0,640444000.0,466306000.0,358815000.0,1486795000.0,1176915000.0,696418000.0,16152000.0,1489000.0,6937311.0,126834000.0,20511000.0,-121682000.0
