asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FixedAssetsRevaluationReserve,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,HedgingAssetsCurrent,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,,7192500.0,0.031808,,,,,,,,,,,,,,,,,,3900000.0,,,,,,,,888768.0,,9000.0,,,,,11562.0,7192500.0,0.031808,,,,,,,,,-2.0,,-823.0,,,,,,,,,,,-132010.0,-132010.0,,,,,,105000.0,3900000.0,,2964337.0,2964337.0,,,,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,134901.0,-1.0,,,,,,,,176811.0,,,,,-47719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113327.0,,,,,
2020-12-31,12M,EUR,2492029.0,4709127.0,-5314238.0,5479907.0,640786.0,,20000.0,7192500.0,0.001406,4803359.0,-540655.0,719250.0,4524916.0,4524916.0,4521804.0,3112.0,-641316.0,-278443.0,-648316.0,-115839.0,-271071.0,171230.0,-1505313.0,-278443.0,719250.0,8390742.0,5300000.0,0.0,209200.0,10560736.0,13278222.0,2086976.0,2086976.0,,826013.0,5436225.0,36741.0,1028761.0,1028761.0,937200.0,296414.0,29779.0,7192500.0,0.001406,10114.0,2720.0,1031481.0,4524916.0,8344774.0,0.0,1036271.0,417174.0,,-1031262.0,-16348.0,1665273.0,5178455.0,6809593.0,3796027.0,,0.0,82758.0,82758.0,1920.0,1920.0,-80838.0,,3079928.0,15342189.0,-824107.0,20000.0,27565.0,105000.0,5300000.0,5300000.0,4864471.0,4864471.0,5300000.0,-3399307.0,132565.0,36741.0,1862777.0,5394375.0,0.0,2426531.0,10114.0,10114.0,10114.0,10114.0,10114.0,800.0,10114.0,0.0,-80838.0,-283453.0,1036271.0,1900693.0,-80838.0,,1.0,1495355.0,-540655.0,-864422.0,3212287.0,826013.0,782995.0,1283472.0,201627.16,-490607.0,3541732.0,254295.0,14356763.0,7192500.0,,3513182.0,,19999.0,-2.0,92171.0,438796.0,3885470.0,587376.0,0.0,3176879.0,140356.0,180025.0,-80038.0,852146.0,211796.0,0.0,-307035.0,-540655.0,2297780.0,10560736.0,1028761.0,-3399307.0,0.0,144082.0,10114.0,,23582.0,0.0,7192500.0,-236549.0,8390742.0,3212287.0,-60477.84,-90152.0,0.24,196850.0,-79670.0,20427774.0,13255213.0,6951447.0,8390742.0,14102468.0,12037032.0,7149552.0,6600807.0,14356763.0,246054.0,-251991.0,-251991.0,60808.0,,1341.0,364974.0,7841997.0,92467.0
2021-12-31,12M,EUR,3348762.0,5471335.0,-5647935.0,2788344.0,535852.0,535852.0,39733.0,7065625.0,0.284046,4524916.0,-3940108.0,719250.0,4637487.0,4637487.0,4629054.0,8433.0,40259.0,112571.0,-601573.0,356836.0,909076.0,-596959.0,107639.0,112571.0,719250.0,10271963.0,,-118906.0,0.0,12835795.0,14339403.0,8315380.0,8315380.0,206689.0,,13243140.0,,338196.0,874048.0,874048.0,338196.0,27216.0,7065625.0,0.284046,2006962.0,1978798.0,2852846.0,4637487.0,19297936.0,3556.0,1245027.0,644198.0,,-1145370.0,90141.0,1494215.0,4184546.0,11147759.0,5810674.0,,105000.0,108728.0,108728.0,2400.0,2400.0,-106328.0,,3530137.0,18587343.0,-3927194.0,39733.0,27565.0,0.0,,3780000.0,6363319.0,6363319.0,3780000.0,-2281152.0,27565.0,,2239912.0,13989937.0,-118906.0,3677893.0,2006962.0,2006962.0,2006962.0,2006962.0,2006962.0,1961898.0,2006962.0,-5685.0,-106328.0,-57086.0,-2416067.0,-2281152.0,-106328.0,3780000.0,,5499824.0,-3864423.0,-134915.0,6087417.0,132330.0,791811.0,3343687.0,2380001.16,2794738.0,3342580.0,2468094.0,18646469.0,7065625.0,,2690331.0,-6805.0,2.0,,188071.0,546751.0,4163782.0,183359.0,0.0,4658731.0,155110.0,230812.0,1870070.0,4744065.0,197081.0,-5685.0,-57086.0,-3934423.0,2454986.0,12835795.0,874048.0,-2281152.0,-118906.0,144596.0,2006962.0,,0.0,70000.0,7192500.0,-505953.0,10271963.0,6087417.0,-117801.84,-136892.0,0.24,79584.0,-193228.0,24466460.0,10271963.0,8315380.0,10271963.0,16178375.0,14194497.0,10127057.0,951357.0,18646469.0,763218.0,-490841.0,-490841.0,12209.0,126875.0,,430953.0,1096263.0,361357.0
2022-12-31,12M,EUR,2586017.0,4692375.0,-6088788.0,2788344.0,526658.0,526658.0,37273.0,6943125.0,0.101498,4637487.0,-522173.0,719250.0,2171905.0,2171905.0,2151731.0,20174.0,6436.0,-2465581.0,-1241180.0,-78201.0,-847925.0,814583.0,-1346287.0,-2467582.0,719250.0,10960699.0,,-195467.0,,12200778.0,12447164.0,7349137.0,7349137.0,225049.0,,10835683.0,,450108.0,976766.0,976766.0,450108.0,,6943125.0,0.101498,704710.0,1234270.0,2211036.0,2171905.0,17264872.0,219906.0,-1161710.0,927697.0,,-789490.0,-47477.0,1323155.0,3657888.0,11647334.0,4998842.0,40087.0,,140804.0,140804.0,14241.0,14241.0,,140804.0,4860856.0,18309836.0,-1038555.0,37273.0,905.0,,,,,,,-1966243.0,905.0,,2355772.0,12055500.0,-195467.0,5177232.0,704710.0,704710.0,704710.0,704710.0,704710.0,944309.0,704710.0,13343.0,-126563.0,-529725.0,-1966243.0,-1966243.0,-126563.0,1000000.0,,5558546.0,-522173.0,,7302811.0,174184.0,887687.0,2349068.0,793667.983806,-267317.0,3652083.0,1346759.0,17199620.0,6943125.0,2000.0,2334733.0,-44659.0,,,90037.0,450087.0,4457012.0,192395.0,0.0,3296261.0,,141273.0,1093466.0,4834550.0,102650.0,,-551455.0,-522173.0,3357704.0,12200778.0,976766.0,-1966243.0,-195467.0,164033.0,704710.0,13343.0,21730.0,0.0,7192500.0,-198790.0,10960699.0,7302811.0,-49074.016194,388756.0,0.355526,123224.0,-976185.0,22858253.0,10960699.0,7349137.0,10960699.0,15852861.0,11897554.0,10411089.0,1061871.0,17199620.0,260157.0,-138032.0,-138032.0,,249375.0,,575455.0,1611481.0,34757.0
2023-12-31,12M,EUR,1853138.0,4349056.0,-6313456.0,2788344.0,396798.0,396798.0,39056.0,,,2171905.0,-339273.0,719250.0,2083612.0,2083612.0,2076811.0,6801.0,-48923.0,-88293.0,978800.0,-1614582.0,-778953.0,351673.0,-1111985.0,88293.0,719250.0,10882449.0,,,,10889846.0,12542942.0,7175859.0,7175859.0,235591.0,,9762306.0,,480039.0,876837.0,876837.0,480039.0,,,,203626.0,895672.0,1772509.0,2083612.0,16831237.0,113662.0,-299967.0,514104.0,,-481668.0,,1152097.0,3261089.0,11731236.0,4267333.0,19231.0,,266957.0,266957.0,166833.0,166833.0,-104445.0,,3836542.0,18058308.0,530655.0,39056.0,905.0,,,,,,,-2098839.0,905.0,,2267119.0,9924918.0,-201128.0,5092247.0,203626.0,203626.0,203626.0,203626.0,203626.0,748210.0,203626.0,1.0,-100124.0,614556.0,-2098839.0,-2098839.0,-100124.0,2000000.0,,5417780.0,-83902.0,,7621360.0,308713.0,869298.0,1994168.0,372086.84,-142395.0,3312514.0,954819.0,15157179.0,6816875.0,-176586.0,2108992.0,,,,78248.0,450128.0,4567481.0,1777855.0,0.0,2491159.0,,186787.0,628715.0,4896636.0,159732.0,,0.0,-339273.0,2809182.0,10889846.0,876837.0,-2098839.0,,134732.0,203626.0,1.0,614556.0,255371.0,7192500.0,-223835.0,10882449.0,7621360.0,-53198.16,425089.0,0.24,54268.0,-497353.0,21822766.0,10882449.0,7175859.0,10882449.0,14202360.0,10940317.0,9279824.0,1178011.0,15157179.0,187893.0,-221659.0,-221659.0,,375625.0,,513256.0,2780636.0,89103.0
