asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnSaleOfPPE,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFI,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RetainedEarnings,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital,WriteOff
2021-12-31,12M,EUR,76399000.0,74793000.0,,-4282000.0,461000.0,,,3600000.0,8.770278,44989000.0,9294000.0,,11123000.0,,61901000.0,86085000.0,0.0,61901000.0,16912000.0,,,,,,16912000.0,,268668000.0,13265000.0,182071000.0,275127000.0,2196000.0,11463000.0,13659000.0,434000.0,111583000.0,,,,28333000.0,27872000.0,3600000.0,8.770278,31573000.0,44643000.0,72976000.0,61901000.0,,-3666000.0,69506000.0,55616000.0,,12110000.0,13064000.0,79075000.0,148061000.0,127244000.0,564000.0,564000.0,6000.0,6000.0,,,-2353000.0,104400000.0,293695000.0,-35038000.0,522000.0,64630000.0,8927000.0,13564000.0,22491000.0,1856000.0,60164000.0,,,-1798000.0,,31573000.0,31573000.0,33371000.0,31573000.0,31573000.0,,33371000.0,,-9319000.0,,-9319000.0,,148061000.0,,255604000.0,1294000.0,2362000.0,5430000.0,4259000.0,73133000.0,31691860.387032,55616000.0,76101000.0,51143000.0,309315000.0,117000000.0,,,954000.0,,,1396000.0,2264000.0,10643000.0,708000.0,749000.0,24184000.0,-92000.0,0.0,88917000.0,,8228000.0,623000.0,44079000.0,0.0,,,,,11947000.0,182071000.0,28333000.0,408000.0,,,,117000000.0,-411000.0,268668000.0,255604000.0,-38139.612968,10708000.0,0.242927,8043000.0,,441141000.0,282232000.0,36150000.0,268668000.0,258172000.0,172473000.0,166014000.0,60890000.0,52128000.0,8761000.0,309315000.0,1875000.0,-157000.0,-157000.0,4489000.0,,25300000.0,163544000.0,503000.0
2022-12-31,12M,EUR,95044000.0,92633000.0,-366933000.0,-4540000.0,446000.0,446000.0,6000.0,3600000.0,14.456667,61901000.0,17050000.0,-55033000.0,18921000.0,3096000.0,49147000.0,64669000.0,0.0,49147000.0,-12754000.0,-36441000.0,-21821000.0,17404000.0,-20346000.0,-63111000.0,-12754000.0,3096000.0,304071000.0,26969000.0,241412000.0,316659000.0,3738000.0,7661000.0,11399000.0,542000.0,130449000.0,16408000.0,30095000.0,30541000.0,30541000.0,30095000.0,3600000.0,14.456667,52044000.0,72012000.0,102553000.0,49147000.0,,-10326000.0,89047000.0,-9946000.0,111000.0,12110000.0,13113000.0,97173000.0,541882000.0,151037000.0,1019000.0,1019000.0,0.0,0.0,-920000.0,146000.0,-3212000.0,140703000.0,327673000.0,-47515000.0,6000.0,94452000.0,15183000.0,15941000.0,31124000.0,1745000.0,402972000.0,,6835000.0,-2541000.0,-3361000.0,52044000.0,52044000.0,54585000.0,52044000.0,52044000.0,54585000.0,54585000.0,-495000.0,-7601000.0,9598000.0,-7601000.0,-7919000.0,174949000.0,-53403000.0,290958000.0,3016000.0,2145000.0,7072000.0,4327000.0,102821000.0,52250059.470652,45087000.0,75098000.0,75939000.0,392449000.0,117000000.0,765000.0,3205000.0,1003000.0,7274000.0,1802000.0,2600000.0,527000.0,8818000.0,439000.0,1031000.0,15522000.0,115000.0,0.0,101802000.0,2273000.0,8539000.0,419000.0,70993000.0,0.0,-3361000.0,-495000.0,-7366000.0,-54538000.0,15230000.0,241412000.0,30541000.0,419000.0,52044000.0,16964000.0,1135000.0,117000000.0,-595000.0,304071000.0,290958000.0,-61940.529348,16408000.0,0.231121,15897000.0,-2074000.0,509234000.0,320012000.0,42523000.0,310906000.0,316510000.0,198328000.0,192574000.0,67879000.0,77944000.0,6582000.0,392449000.0,6758000.0,-268000.0,-268000.0,1802000.0,,39638000.0,186210000.0,480000.0
2023-12-31,12M,EUR,80427000.0,83396000.0,-401309000.0,-5250000.0,563000.0,563000.0,6000.0,,,49147000.0,9423000.0,-53211000.0,10202000.0,3096000.0,69596000.0,87553000.0,,69596000.0,20449000.0,749000.0,-172000.0,-21134000.0,9722000.0,-12849000.0,20449000.0,3096000.0,393958000.0,12922000.0,250933000.0,336786000.0,2283000.0,12939000.0,15222000.0,596000.0,115388000.0,2737000.0,33613000.0,34176000.0,34176000.0,33613000.0,,,55266000.0,62034000.0,96210000.0,69596000.0,958903000.0,-7532000.0,42395000.0,29100000.0,-142000.0,12110000.0,13074000.0,88646000.0,605324000.0,144888000.0,1459000.0,1459000.0,615000.0,615000.0,-1462000.0,877000.0,-3761000.0,139954000.0,416552000.0,-54330000.0,6000.0,121887000.0,7919000.0,9655000.0,17574000.0,1856000.0,460544000.0,980460000.0,9384000.0,-2572000.0,0.0,55266000.0,55266000.0,57838000.0,55266000.0,55266000.0,57838000.0,57838000.0,-529000.0,-2546000.0,-2241000.0,-2546000.0,-3319000.0,204015000.0,-52437000.0,380884000.0,9282000.0,2450000.0,6363000.0,5077000.0,95869000.0,54940407.626909,82311000.0,83085000.0,61803000.0,395821000.0,117000000.0,538000.0,2156000.0,964000.0,2199000.0,,1064000.0,607000.0,,548000.0,652000.0,17957000.0,-141000.0,0.0,87570000.0,2623000.0,9290000.0,507000.0,60575000.0,0.0,0.0,-529000.0,-10092000.0,-52682000.0,13396000.0,250933000.0,34176000.0,1174000.0,55266000.0,7851000.0,245000.0,117000000.0,-6000.0,393958000.0,380884000.0,15407.626909,2737000.0,0.045184,23590000.0,-2809000.0,558882000.0,403613000.0,32796000.0,403342000.0,334018000.0,155540000.0,222097000.0,40152000.0,62861000.0,1702000.0,395821000.0,7143000.0,341000.0,341000.0,,0.0,87924000.0,221398000.0,147000.0
