asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,DefinedPensionBenefit,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RetainedEarnings,SaleOfInvestment,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital,WriteOff
2022-12-31,3M,EUR,,,-27329000.0,,-1411000.0,,,,32673000.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,20741000.0,,,,,,,,254000.0,,6933000.0,,,,23242000.0,,,,,,,,,,,6000.0,877000.0,0.0,,11082000.0,,,,,,,,9220000.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,1023000.0,,,,,,,,,,31810000.0,-1000.0,,,,,,,,,,,,,,1410000.0,,0.0,,,,,,10401000.0,,,,,,,,,,,,,,,-6107000.0,,,,,,,,,,,,,,,,3818000.0,,376000.0
2023-03-31,3M,EUR,42304000.0,29965000.0,,3563000.0,,26926298.0,0.05062,42978000.0,,-1165000.0,31256000.0,20217000.0,45480000.0,45480000.0,,2502000.0,-2591000.0,-1699000.0,-5952000.0,-1873000.0,-12115000.0,2501000.0,20217000.0,,59302000.0,,0.0,44994000.0,113822000.0,4099000.0,18793000.0,22892000.0,141328000.0,1272000.0,,3460000.0,3460000.0,3460000.0,3460000.0,,26926298.0,0.05062,1363000.0,5406000.0,8866000.0,45480000.0,,,31686000.0,,-3792000.0,134058000.0,195482000.0,,56403000.0,17951000.0,2744000.0,2744000.0,212000.0,212000.0,-80000.0,28710000.0,138765000.0,-26558000.0,,,,37800000.0,,27157000.0,60670000.0,87827000.0,37800000.0,-4413000.0,858000.0,4205000.0,,,54000.0,-28000.0,-23969000.0,0.0,33983000.0,1363000.0,1363000.0,1391000.0,0.0,1363000.0,1363000.0,1391000.0,1391000.0,-139000.0,-2532000.0,-1423000.0,32777000.0,33387000.0,-2532000.0,,-1000.0,56403000.0,-1026000.0,-610000.0,-136180000.0,2990000.0,12010000.0,5942000.0,,8923000.0,1406320.0,-2627000.0,12701000.0,5250000.0,62945000.0,26926298.0,1000.0,6247000.0,1000.0,,61424000.0,3186000.0,4510000.0,917000.0,424000.0,23241000.0,56403000.0,1424000.0,,0.0,70266000.0,406000.0,8356000.0,,2662000.0,,41000.0,-23969000.0,-139000.0,-1423000.0,-1026000.0,,44994000.0,3460000.0,-4413000.0,0.0,35627000.0,0.0,26926298.0,-57000.0,59302000.0,-136180000.0,-13680.0,1272000.0,0.24,1996000.0,,374066000.0,119972000.0,110719000.0,59356000.0,57695000.0,314710000.0,260243000.0,173382000.0,5194000.0,62945000.0,4721000.0,-57000.0,-57000.0,,,,-27506000.0,57000.0
2023-06-30,3M,EUR,41926000.0,32592000.0,-43621000.0,66971000.0,-1618000.0,,,45480000.0,41447000.0,-1397000.0,30775000.0,26926000.0,51796000.0,76849000.0,,6316000.0,-973000.0,-479000.0,-442000.0,-341000.0,-2235000.0,6318000.0,26926000.0,,133771000.0,,,48950000.0,147502000.0,4154000.0,22954000.0,27108000.0,108165000.0,2196000.0,1820000.0,4450000.0,4450000.0,4446000.0,4446000.0,54864000.0,,,4210000.0,9614000.0,14064000.0,51796000.0,365736485.0,281000.0,65933000.0,11741000.0,1377000.0,102172000.0,205994000.0,34210000.0,99479000.0,23499000.0,3189000.0,3189000.0,1082000.0,1082000.0,-1157000.0,28699000.0,213100000.0,-62389000.0,6000.0,814000.0,,2706000.0,12223000.0,26621000.0,56375000.0,82996000.0,2706000.0,-3077000.0,820000.0,4238000.0,29915000.0,300497485.0,73000.0,-19000.0,-36907000.0,,27533000.0,4210000.0,4210000.0,4229000.0,,4210000.0,4210000.0,4229000.0,4229000.0,-29000.0,-2107000.0,-24085000.0,164000.0,-371000.0,-2107000.0,,0.0,55858000.0,-1368000.0,535000.0,-72223000.0,2521000.0,23891000.0,6202000.0,1129000.0,14202000.0,4300832.996109,2774000.0,14827000.0,8672000.0,72449000.0,26926298.0,-2000.0,567000.0,-1000.0,,103822000.0,1253000.0,1000.0,864000.0,337000.0,23197000.0,15894000.0,2747000.0,25053000.0,0.0,67265000.0,-68000.0,,1621000.0,6425000.0,0.0,150000.0,-36907000.0,-29000.0,-24085000.0,-1368000.0,12273000.0,48950000.0,4450000.0,-3077000.0,,39837000.0,,26926298.0,-138000.0,133771000.0,-72223000.0,-47167.003891,2196000.0,0.34179,4427000.0,,417149000.0,190146000.0,110104000.0,133844000.0,63777000.0,283305000.0,269647000.0,175140000.0,8532000.0,72449000.0,2142000.0,-138000.0,-138000.0,2085000.0,,4685000.0,39337000.0,138000.0
2023-09-30,3M,EUR,38405000.0,33553000.0,,66971000.0,,,,51796000.0,,-1942000.0,33327000.0,26926000.0,35583000.0,46986000.0,0.0,-16213000.0,-1043000.0,-4202000.0,-8838000.0,2187000.0,-11896000.0,-16214000.0,26926000.0,0.0,135777000.0,0.0,,43846000.0,131214000.0,5362000.0,17273000.0,22635000.0,106491000.0,1226000.0,,4272000.0,4272000.0,4263000.0,4263000.0,,,,1942000.0,5811000.0,10083000.0,35583000.0,281515467.0,,-12922000.0,,-5316000.0,143867000.0,246359000.0,,60259000.0,19027000.0,2600000.0,2600000.0,314000.0,314000.0,-499000.0,39157000.0,213382000.0,82000.0,,,0.0,913000.0,,27965000.0,60332000.0,88297000.0,913000.0,-11914000.0,14000.0,4639000.0,,248260467.0,116000.0,-43000.0,-18303000.0,0.0,42022000.0,1942000.0,1942000.0,1985000.0,,1942000.0,1942000.0,1985000.0,1985000.0,-268000.0,-2286000.0,20326000.0,-11188000.0,-11001000.0,-2286000.0,-401000.0,,60259000.0,-1674000.0,-187000.0,-110582000.0,3530000.0,23597000.0,6700000.0,,10206000.0,2018037.060106,-3374000.0,13408000.0,5619000.0,62873000.0,26926298.0,,4588000.0,2000.0,,102492000.0,2321000.0,6017000.0,810000.0,54000.0,24426000.0,60259000.0,4735000.0,11403000.0,0.0,64007000.0,-54000.0,,,3211000.0,,-6000.0,-18303000.0,-268000.0,19223000.0,-1674000.0,,43846000.0,4272000.0,-11914000.0,,41779000.0,,26926298.0,-123000.0,135777000.0,-110582000.0,-46962.939894,1226000.0,0.381813,2195000.0,-768000.0,447394000.0,196109000.0,110932000.0,135893000.0,57254000.0,311501000.0,316179000.0,205010000.0,5498000.0,62873000.0,1176000.0,-123000.0,-123000.0,,,,24723000.0,123000.0
2023-12-31,3M,EUR,51271000.0,38961000.0,-59211000.0,66971000.0,-1396000.0,,,35583000.0,44988000.0,-2613000.0,33701000.0,26926000.0,41457000.0,70078000.0,0.0,5874000.0,1866000.0,-3000.0,13527000.0,-5839000.0,9551000.0,5874000.0,26926000.0,0.0,154378000.0,0.0,,39693000.0,161743000.0,5671000.0,20422000.0,26093000.0,125217000.0,4445000.0,,-1952000.0,5099000.0,5112000.0,5112000.0,54556000.0,,,20288000.0,27611000.0,32723000.0,41457000.0,338005047.0,338000.0,4217000.0,13276000.0,20425000.0,134919000.0,243635000.0,40357000.0,120752000.0,49390000.0,2845000.0,2845000.0,-1086000.0,-1086000.0,-1630000.0,34306000.0,238766000.0,-21381000.0,6000.0,0.0,0.0,10932000.0,12742000.0,28030000.0,63966000.0,91996000.0,10932000.0,-3857000.0,6000.0,4917000.0,37001000.0,274059047.0,0.0,-33000.0,37273000.0,-47000.0,42931000.0,20288000.0,20288000.0,20321000.0,,20288000.0,20288000.0,20321000.0,20321000.0,88000.0,9160000.0,-56042000.0,5569000.0,7075000.0,9160000.0,400000.0,,61541000.0,-2701000.0,-1506000.0,-89257000.0,3648000.0,25712000.0,7027000.0,1378000.0,34094000.0,21412933.013002,23038000.0,32411000.0,16979000.0,89083000.0,26921321.0,,6923000.0,,-1000.0,108716000.0,-9074000.0,1000.0,838000.0,747000.0,24599000.0,26021000.0,4779000.0,28621000.0,0.0,77132000.0,464000.0,,2561000.0,24766000.0,0.0,274000.0,37273000.0,88000.0,-54939000.0,-2701000.0,15037000.0,39693000.0,5099000.0,-3857000.0,,61528000.0,,26926298.0,-1371000.0,154378000.0,-89257000.0,-246066.986998,4445000.0,0.17948,4135000.0,-5845000.0,475462000.0,218344000.0,118089000.0,154378000.0,72104000.0,321084000.0,313719000.0,195867000.0,15606000.0,89083000.0,1262000.0,-1371000.0,-1371000.0,,4977.0,5993000.0,36526000.0,
2024-03-31,3M,EUR,43966000.0,42524000.0,,66971000.0,,31300000.0,0.01,41457000.0,,-2393000.0,33909000.0,26926000.0,42475000.0,61441000.0,,1019000.0,-2354000.0,1457000.0,-7306000.0,-1537000.0,-9740000.0,1019000.0,26926000.0,,154222000.0,,-692000.0,50723000.0,157428000.0,5988000.0,20912000.0,26900000.0,121523000.0,1085000.0,,5089000.0,5089000.0,5089000.0,5089000.0,,31300000.0,0.01,313000.0,4792000.0,9881000.0,42475000.0,305206476.0,,-4849000.0,,-2815000.0,134910000.0,241750000.0,,62432000.0,22020000.0,3394000.0,3394000.0,962000.0,962000.0,133000.0,39221000.0,237018000.0,6290000.0,,,,643000.0,,27921000.0,61884000.0,89805000.0,643000.0,-2669000.0,6000.0,5303000.0,,257195476.0,0.0,0.0,0.0,-692000.0,40321000.0,313000.0,313000.0,313000.0,,313000.0,313000.0,313000.0,313000.0,-78000.0,-2432000.0,8682000.0,-2243000.0,-2026000.0,-2432000.0,,1000.0,62432000.0,-2315000.0,-217000.0,-87528000.0,3957000.0,25256000.0,6861000.0,,10118000.0,455200.0,-422000.0,17953000.0,4067000.0,72743000.0,26847127.0,-1000.0,9447000.0,-2000.0,1000.0,106840000.0,2677000.0,4804000.0,824000.0,612000.0,25196000.0,62432000.0,2795000.0,18966000.0,0.0,70686000.0,549000.0,,,1398000.0,,237000.0,0.0,-78000.0,-973000.0,-2315000.0,,50723000.0,5089000.0,-2669000.0,-692000.0,61841000.0,9655000.0,26926298.0,-237000.0,154222000.0,-87528000.0,-94800.0,1085000.0,0.4,2000000.0,,470377000.0,216106000.0,116705000.0,154222000.0,68676000.0,316155000.0,312949000.0,194632000.0,3830000.0,72743000.0,1524000.0,-237000.0,-237000.0,,79171.0,,35905000.0,237000.0
